,census_tract,Total population in occupied housing units:,Owner_occupied,Owner_occupied_Moved in 1999 or earlier,Renter_occupied,Renter_occupied_Moved in 1999 or earlier,year,percent_owners,percent_renters,percent_old_owners,percent_old_renters,renters_owners_ratio,old_renters_owners_ratio
317,901.0,4658,1351,699,3307,916,2010,0.29003864319450406,0.7099613568054959,0.5173945225758697,0.21136982159056547,0.4085273661929241,0.7631004366812227
288,901.0,4941,1580,804,3361,647,2011,0.3197733252378061,0.6802266747621939,0.5088607594936709,0.23921451948824754,0.47009818506396905,1.242658423493045
259,901.0,4941,1317,712,3624,482,2012,0.2665452337583485,0.7334547662416515,0.5406226271829917,0.19646799116997793,0.36341059602649006,1.4771784232365146
230,901.0,4986,926,689,4060,400,2013,0.1857200160449258,0.8142799839550742,0.744060475161987,0.16970443349753694,0.22807881773399014,1.7225
201,901.0,5108,913,677,4195,250,2014,0.17873923257635083,0.8212607674236492,0.7415115005476451,0.16138259833134685,0.21764004767580453,2.708
172,901.0,4783,889,575,3894,311,2015,0.18586661091365253,0.8141333890863475,0.6467941507311586,0.14766307139188495,0.2282999486389317,1.8488745980707395
143,901.0,4842,743,491,4099,483,2016,0.15344898802147872,0.8465510119785212,0.6608344549125168,0.11978531349109539,0.18126372285923395,1.0165631469979297
114,901.0,4918,671,460,4247,445,2017,0.13643757625050834,0.8635624237494917,0.6855439642324889,0.10831174947021427,0.15799387803155168,1.0337078651685394
58,901.0,4994,992,560,4002,470,2019,0.1986383660392471,0.8013616339607529,0.5645161290322581,0.13993003498250875,0.2478760619690155,1.1914893617021276
29,901.0,5258,742,391,4516,368,2020,0.1411182959300114,0.8588817040699885,0.5269541778975741,0.08658104517271922,0.16430469441984058,1.0625
0,901.0,5185,771,491,4414,250,2021,0.14869816779170686,0.8513018322082931,0.6368352788586251,0.11123697326687812,0.17467149977344812,1.964
318,902.0,2075,214,114,1861,410,2010,0.10313253012048193,0.896867469879518,0.5327102803738317,0.06125738850080602,0.11499193981730252,0.2780487804878049
289,902.0,2422,212,144,2210,379,2011,0.0875309661436829,0.9124690338563171,0.6792452830188679,0.06515837104072399,0.09592760180995476,0.37994722955145116
260,902.0,2453,335,158,2118,416,2012,0.13656746840603343,0.8634325315939666,0.4716417910447761,0.07459867799811143,0.15816808309726157,0.3798076923076923
231,902.0,2235,337,156,1898,275,2013,0.15078299776286352,0.8492170022371365,0.4629080118694362,0.0821917808219178,0.17755532139093783,0.5672727272727273
202,902.0,2526,176,22,2350,264,2014,0.06967537608867776,0.9303246239113222,0.125,0.009361702127659575,0.0748936170212766,0.08333333333333333
173,902.0,2383,250,89,2133,325,2015,0.1049097775912715,0.8950902224087285,0.356,0.04172526957337084,0.11720581340834506,0.27384615384615385
144,902.0,2481,288,47,2193,365,2016,0.11608222490931076,0.8839177750906893,0.16319444444444445,0.021431828545371637,0.13132694938440492,0.12876712328767123
115,902.0,2455,260,82,2195,431,2017,0.10590631364562118,0.8940936863543788,0.3153846153846154,0.03735763097949886,0.11845102505694761,0.1902552204176334
59,902.0,2337,376,184,1961,236,2019,0.1608900299529311,0.8391099700470689,0.48936170212765956,0.09382967873533911,0.1917389087200408,0.7796610169491526
30,902.0,2395,339,140,2056,164,2020,0.14154488517745303,0.858455114822547,0.41297935103244837,0.06809338521400778,0.16488326848249027,0.8536585365853658
1,902.0,3084,516,356,2568,178,2021,0.16731517509727625,0.8326848249027238,0.689922480620155,0.13862928348909656,0.20093457943925233,2.0
319,903.0,2525,591,406,1934,235,2010,0.23405940594059407,0.765940594059406,0.6869712351945855,0.20992761116856257,0.30558428128231646,1.7276595744680852
290,903.0,2551,588,390,1963,181,2011,0.23049784398275186,0.7695021560172481,0.6632653061224489,0.1986754966887417,0.2995415180845644,2.154696132596685
261,903.0,3155,680,313,2475,162,2012,0.21553090332805072,0.7844690966719493,0.4602941176470588,0.12646464646464647,0.27474747474747474,1.9320987654320987
232,903.0,3354,644,321,2710,198,2013,0.19200954084675015,0.8079904591532499,0.4984472049689441,0.11845018450184502,0.23763837638376384,1.621212121212121
203,903.0,3641,759,254,2882,206,2014,0.2084592145015106,0.7915407854984894,0.3346508563899868,0.08813324080499653,0.2633587786259542,1.233009708737864
174,903.0,3630,644,152,2986,189,2015,0.17741046831955923,0.8225895316804408,0.2360248447204969,0.050904219691895514,0.2156731413261889,0.8042328042328042
145,903.0,3557,641,231,2916,150,2016,0.18020804048355354,0.8197919595164465,0.36037441497659906,0.07921810699588477,0.21982167352537724,1.54
116,903.0,3386,559,306,2827,162,2017,0.1650915534554046,0.8349084465445954,0.5474060822898033,0.10824195259992925,0.19773611602405378,1.8888888888888888
87,903.0,3465,718,258,2747,152,2018,0.2072150072150072,0.7927849927849928,0.3593314763231198,0.0939206406989443,0.2613760465962869,1.6973684210526316
60,903.0,3090,551,333,2539,140,2019,0.17831715210355986,0.8216828478964401,0.604355716878403,0.13115399763686492,0.2170145726664041,2.3785714285714286
31,903.0,3066,596,381,2470,97,2020,0.1943900848010437,0.8056099151989563,0.639261744966443,0.154251012145749,0.24129554655870444,3.9278350515463916
2,903.0,3206,404,236,2802,64,2021,0.1260137242669994,0.8739862757330006,0.5841584158415841,0.08422555317630265,0.1441827266238401,3.6875
320,907.0,4157,1279,586,2878,434,2010,0.3076738032234785,0.6923261967765215,0.4581704456606724,0.20361362056984017,0.44440583738707434,1.3502304147465438
291,907.0,3972,1058,578,2914,393,2011,0.2663645518630413,0.7336354481369587,0.5463137996219282,0.19835277968428278,0.3630748112560055,1.470737913486005
262,907.0,4136,1413,608,2723,355,2012,0.34163442940038685,0.6583655705996132,0.4302901627742392,0.22328314359162688,0.5189129636430407,1.712676056338028
233,907.0,4675,1276,544,3399,261,2013,0.27294117647058824,0.7270588235294118,0.4263322884012539,0.1600470726684319,0.37540453074433655,2.0842911877394634
204,907.0,4515,1375,493,3140,247,2014,0.30454042081949056,0.6954595791805094,0.35854545454545456,0.15700636942675159,0.43789808917197454,1.9959514170040487
175,907.0,4582,1378,529,3204,253,2015,0.300742034046268,0.699257965953732,0.3838896952104499,0.16510611735330835,0.43008739076154806,2.090909090909091
146,907.0,4517,1543,591,2974,143,2016,0.34159840602169583,0.6584015939783042,0.3830200907323396,0.19872225958305312,0.5188298587760591,4.1328671328671325
117,907.0,4146,1254,550,2892,52,2017,0.3024602026049204,0.6975397973950795,0.43859649122807015,0.19017980636237897,0.4336099585062241,10.576923076923077
88,907.0,3849,1459,561,2390,106,2018,0.37905949597298,0.6209405040270201,0.3845099383139136,0.23472803347280335,0.6104602510460251,5.2924528301886795
61,907.0,3845,1223,511,2622,154,2019,0.31807542262678806,0.681924577373212,0.4178250204415372,0.1948893974065599,0.4664378337147216,3.3181818181818183
32,907.0,4025,1509,303,2516,219,2020,0.37490683229813665,0.6250931677018634,0.20079522862823063,0.12042925278219396,0.5997615262321144,1.3835616438356164
3,907.0,4059,1648,377,2411,199,2021,0.40601133284060115,0.5939886671593989,0.2287621359223301,0.15636665284114476,0.6835338034010784,1.8944723618090453
323,911.0,4344,2097,1276,2247,442,2010,0.48273480662983426,0.5172651933701657,0.6084883166428231,0.5678682688028482,0.9332443257676902,2.8868778280542986
294,911.0,4628,2112,948,2516,457,2011,0.45635263612791704,0.543647363872083,0.44886363636363635,0.3767885532591415,0.8394276629570747,2.0743982494529543
265,911.0,4826,1838,811,2988,709,2012,0.3808537090758392,0.6191462909241608,0.44124047878128403,0.2714190093708166,0.6151271753681392,1.1438645980253879
236,911.0,5534,2163,746,3371,589,2013,0.3908565233104445,0.6091434766895555,0.34489135460009246,0.22129931770987837,0.6416493622070603,1.266553480475382
207,911.0,5286,2041,707,3245,581,2014,0.38611426409383276,0.6138857359061672,0.34639882410583045,0.21787365177195686,0.6289676425269646,1.216867469879518
178,911.0,5462,2231,632,3231,546,2015,0.40845844013181987,0.5915415598681801,0.2832810398924249,0.19560507582791706,0.6904982977406375,1.1575091575091576
149,911.0,5302,2467,697,2835,354,2016,0.465296114673708,0.534703885326292,0.28252938792055127,0.24585537918871253,0.8701940035273369,1.9689265536723164
120,911.0,5029,2239,650,2790,119,2017,0.4452177371246769,0.5547822628753232,0.29030817329164804,0.23297491039426524,0.8025089605734766,5.46218487394958
91,911.0,4742,2189,667,2553,128,2018,0.4616195698017714,0.5383804301982286,0.30470534490634993,0.26126126126126126,0.8574226400313357,5.2109375
64,911.0,4802,2023,639,2779,332,2019,0.42128279883381925,0.5787172011661808,0.3158675234799802,0.22993882691615689,0.7279596977329975,1.9246987951807228
35,911.0,4916,2504,683,2412,258,2020,0.5093572009764036,0.4906427990235964,0.2727635782747604,0.28316749585406303,1.0381426202321724,2.647286821705426
6,911.0,4599,2087,685,2512,248,2021,0.4537943031093716,0.5462056968906284,0.3282223287014854,0.2726910828025478,0.830812101910828,2.7620967741935485
324,912.0,2714,1189,1042,1525,300,2010,0.43809874723655123,0.5619012527634488,0.8763666947014298,0.6832786885245902,0.779672131147541,3.473333333333333
295,912.0,2781,1258,948,1523,188,2011,0.45235526788924846,0.5476447321107515,0.753577106518283,0.6224556795797768,0.8260013131976363,5.042553191489362
266,912.0,2756,1037,724,1719,203,2012,0.3762699564586357,0.6237300435413643,0.6981677917068466,0.42117510180337403,0.6032577079697499,3.5665024630541873
237,912.0,2913,1127,702,1786,130,2013,0.3868863714383797,0.6131136285616203,0.6228926353149956,0.393057110862262,0.6310190369540873,5.4
208,912.0,3001,1038,641,1963,337,2014,0.34588470509830055,0.6541152949016994,0.617533718689788,0.32654100866021396,0.5287824758023434,1.9020771513353116
179,912.0,3074,1074,574,2000,233,2015,0.34938191281717634,0.6506180871828237,0.5344506517690876,0.287,0.537,2.463519313304721
150,912.0,2989,1052,496,1937,267,2016,0.3519571763131482,0.6480428236868518,0.4714828897338403,0.2560660815694373,0.5431078988125968,1.857677902621723
