X,Y,Number,Name,Latitude,Longitude,District,Public_,Total_docks,ObjectId
-71.12852452,42.3602737,A32040,Honan Library,42.3602737,-71.12852452,Boston,Yes,15,1
-71.11467361,42.34414899,K32015,1200 Beacon St,42.34414899,-71.11467361,Brookline,Yes,15,2
-71.07304573,42.38004535,D32060,Hood Park,42.38004535,-71.07304573,Boston,Yes,23,3
-71.09651506,42.40721644,F32006,Hormel Stadium,42.40721644,-71.09651506,Medford,Yes,11,4
-71.09886996,42.33658555,B32033,Huntington Ave at Mass Art,42.33658555,-71.09886996,Boston,Yes,15,5
-71.13426981,42.38165061,M32044,Huron Ave At Vassal Lane,42.38165061,-71.13426981,Cambridge,Yes,19,6
-71.116012,42.29606705,C32089,Hyde Park Ave at Walk Hill St,42.29606705,-71.116012,Boston,Yes,15,7
-71.122509,42.2568376,E32013,Hyde Park Library,42.2568376,-71.122509,Boston,Yes,15,8
-71.10984161,42.32176526,E32003,Hyde Square - Barbara St at Centre St,42.32176526,-71.10984161,Boston,Yes,15,9
-71.028664,42.344827,C32020,ID Building East,42.344827,-71.028664,Boston,Yes,17,10
-71.031614,42.344796,C32021,ID Building West,42.344796,-71.031614,Boston,Yes,19,11
-71.063187,42.345901,C32025,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,Boston,Yes,25,12
-71.10026479,42.37426714,M32062,Inman Square at Springfield St.,42.37426714,-71.10026479,Cambridge,Yes,25,13
-71.12459779,42.36371276,A32011,Innovation Lab - 125 Western Ave at Batten Way,42.36371276,-71.12459779,Boston,Yes,19,14
-71.10014141,42.32293117,E32006,Jackson Square T Stop,42.32293117,-71.10014141,Boston,Yes,18,15
-71.11570891,42.30604563,D32052,Jamaica St at South St,42.30604563,-71.11570891,Boston,Yes,19,16
-71.12833211,42.34655124,K32004,JFK Crossing at Harvard St. / Thorndike St.,42.34655124,-71.12833211,Brookline,Yes,15,17
-71.05118036,42.32033974,C32013,JFK/UMass T Stop,42.32033974,-71.05118036,Boston,Yes,31,18
-71.0863096,42.36903567,M32083,John Ahern Field at Kennedy-Longfellow School,42.36903567,-71.0863096,Cambridge,Yes,19,19
-71.06041655,42.40616124,V32013,Kearins Playground,42.40616124,-71.06041655,Everett,Yes,11,20
-71.08216792,42.36356016,M32032,Kendall Street,42.36356016,-71.08216792,Cambridge,Yes,17,21
-71.08495474,42.36242784,M32004,Kendall T,42.36242784,-71.08495474,Cambridge,Yes,23,22
-71.097009,42.348706,B32010,Kenmore Square,42.348706,-71.097009,Boston,Yes,26,23
-71.08579015,42.36955298,M32065,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,Cambridge,Yes,19,24
-70.89183301,42.51142784,T32006,Lafayette at Leach St,42.51142784,-70.89183301,Salem,Yes,11,25
-71.10057324,42.36346469,M32009,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,Cambridge,Yes,15,26
