,year,Median income (dollars),Mean income (dollars),median_income_difference,mean_income_difference,census_tract
0,2021,33652.0,55348.0,0.017629804348483474,0.1067386522695461,901.0
1,2020,33069.0,50010.0,-0.03292879075888288,-0.10528669827354861,901.0
2,2019,34195.0,55895.0,0.045654700018347504,0.1855976243504083,901.0
3,2018,32702.0,47145.0,0.07987980054816234,0.07654191309113328,901.0
4,2017,30283.0,43793.0,0.06773147168746915,0.06438362823254909,901.0
5,2016,28362.0,41144.0,-0.08341143392689784,-0.05726004170199116,901.0
6,2015,30943.0,43643.0,-0.026276040027692113,0.0137511323778774,901.0
7,2014,31778.0,43051.0,0.009755012551237648,-0.019250045562238017,901.0
8,2013,31471.0,43896.0,-0.05586055860558606,-0.021445450086941015,901.0
9,2012,33333.0,44858.0,-0.024009603841536616,-0.017758216733451574,901.0
10,2011,34153.0,45669.0,0.1238606074566455,0.10629587461544052,901.0
11,2010,30389.0,41281.0,,,901.0
12,2021,39773.0,62675.0,0.39740706907455553,0.6776412644878075,902.0
13,2020,28462.0,37359.0,0.06380115866193235,-0.033627357148400115,902.0
14,2019,26755.0,38659.0,-0.12278688524590164,-0.07684409102848819,902.0
15,2018,30500.0,41877.0,0.1124484808695335,0.11922706863373958,902.0
16,2017,27417.0,37416.0,0.013754853022739879,-0.062020556530458765,902.0
17,2016,27045.0,39890.0,0.10694990176817289,0.11724176562850101,902.0
18,2015,24432.0,35704.0,0.05917544544153986,-0.09715268295149952,902.0
19,2014,23067.0,39546.0,0.039100860399117074,-0.04369695064445143,902.0
20,2013,22199.0,41353.0,0.060022920446948715,0.014125610025259337,902.0
21,2012,20942.0,40777.0,0.10903987713816661,0.3308420365535248,902.0
22,2011,18883.0,30640.0,0.17614450327000936,-0.021805063371963095,902.0
23,2010,16055.0,31323.0,,,902.0
24,2021,33824.0,58420.0,0.04890377399448011,0.13008995067221202,903.0
25,2020,32247.0,51695.0,0.04106537530266344,0.26048473617477813,903.0
26,2019,30975.0,41012.0,0.021400778210116732,-0.06928401225462386,903.0
27,2018,30326.0,44065.0,-0.017876805492583716,0.0948642134817502,903.0
28,2017,30878.0,40247.0,0.0027278041176852633,-0.01013305787156595,903.0
29,2016,30794.0,40659.0,0.200452206455637,0.06031919887341574,903.0
30,2015,25652.0,38346.0,0.05689918009146718,-0.00750595299720468,903.0
31,2014,24271.0,38636.0,-0.10932110091743119,-0.016445191181711727,903.0
32,2013,27250.0,39282.0,0.02121121271173737,-0.01946982177624682,903.0
33,2012,26684.0,40062.0,0.5633934848839934,0.22121627800640145,903.0
34,2011,17068.0,32805.0,0.03473779933313125,0.03515193588084945,903.0
35,2010,16495.0,31691.0,,,903.0
36,2021,75972.0,111461.0,-0.13043677318926838,-0.006781201546933757,907.0
37,2020,87368.0,112222.0,0.24197537884172518,0.2958361238770467,907.0
38,2019,70346.0,86602.0,-0.0032447750619907898,0.0035226772346983706,907.0
39,2018,70575.0,86298.0,0.1317713845857789,0.11389627487931435,907.0
40,2017,62358.0,77474.0,-0.04465858777748839,0.06396945726214019,907.0
41,2016,65273.0,72816.0,0.258032186566445,0.08249215811616395,907.0
42,2015,51885.0,67267.0,0.004219327617241179,-0.010240866353751306,907.0
43,2014,51667.0,67963.0,-0.048367192824120976,-0.027585812193272382,907.0
44,2013,54293.0,69891.0,0.020660224837387674,0.03964240026180347,907.0
45,2012,53194.0,67226.0,0.3713681713887958,0.1266864430924967,907.0
46,2011,38789.0,59667.0,-0.07092215568862276,-0.05673770077146832,907.0
47,2010,41750.0,63256.0,,,907.0
48,2021,30373.0,52529.0,0.1825189799493868,0.15152245873249007,909.01
49,2020,25685.0,45617.0,0.0008962668537136622,-0.05888056776216707,909.01
50,2019,25662.0,48471.0,0.04798464491362764,0.08332029591220973,909.01
51,2018,24487.0,44743.0,-0.12658724497075188,-0.01618329338815717,909.01
52,2017,28036.0,45479.0,0.0166074407136123,0.01170111004827264,909.01
53,2016,27578.0,44953.0,0.034433608402100524,-0.04760593220338983,909.01
54,2015,26660.0,47200.0,0.07821726118256087,0.13409740743410462,909.01
55,2014,24726.0,41619.0,-0.07680244931486391,0.04031895215717642,909.01
56,2013,26783.0,40006.0,0.15324664140544264,0.07847418789594285,909.01
57,2012,23224.0,37095.0,-0.0900756180699761,-0.039860230361071565,909.01
58,2011,25523.0,38635.0,-0.16626923202561003,0.001166105208603265,909.01
59,2010,30613.0,38590.0,,,909.01
60,2021,90893.0,114861.0,-0.13287413781589566,0.021059275326245422,910.01
61,2020,104821.0,112492.0,0.10458818074523689,-0.013738503756827607,910.01
62,2019,94896.0,114059.0,-0.023462583353914546,-0.04726941646201908,910.01
63,2018,97176.0,119718.0,0.16308797127468583,0.20437008943392052,910.01
64,2017,83550.0,99403.0,0.12578319746681937,0.08827457849791986,910.01
65,2016,74215.0,91340.0,0.159609375,0.09315907894106946,910.01
66,2015,64000.0,83556.0,-0.033962264150943396,0.042547351084271205,910.01
67,2014,66250.0,80146.0,0.06369314259107621,0.054871869118285795,910.01
68,2013,62283.0,75977.0,0.05380437541241561,0.05123557572571049,910.01
69,2012,59103.0,72274.0,-0.07562013200287779,-0.1154491047278691,910.01
70,2011,63938.0,81707.0,0.07739489426236414,0.027657594204356796,910.01
71,2010,59345.0,79508.0,,,910.01
72,2021,108079.0,114038.0,0.2107385708044406,0.09029198615599365,911.0
73,2020,89267.0,104594.0,0.050546062232264745,-0.003847692336996895,911.0
74,2019,84972.0,104998.0,0.07441172379784289,0.09786904786800225,911.0
75,2018,79087.0,95638.0,0.02047741935483871,0.011079395284913838,911.0
76,2017,77500.0,94590.0,0.154132539091586,0.08039885323982593,911.0
77,2016,67150.0,87551.0,0.07691567501683934,0.023784744553714467,911.0
78,2015,62354.0,85517.0,0.013787272786394824,0.006769324951143133,911.0
79,2014,61506.0,84942.0,-0.18188347964884277,-0.045048286096527224,911.0
80,2013,75180.0,88949.0,0.38165511918107803,0.14214358171008873,911.0
81,2012,54413.0,77879.0,-0.14905229575878895,-0.043737183973674196,911.0
82,2011,63944.0,81441.0,0.03626875830551324,0.0617153584418632,911.0
83,2010,61706.0,76707.0,,,911.0
84,2021,71125.0,103719.0,-0.30114077407563894,-0.03125204315135665,912.0
85,2020,101773.0,107065.0,0.16589149062915273,0.010790959385207983,912.0
86,2019,87292.0,105922.0,-0.032968493818407406,0.04832787339542157,912.0
87,2018,90268.0,101039.0,0.07782686567164179,0.048524848749001176,912.0
88,2017,83750.0,96363.0,0.30289359054138143,0.2420793483024413,912.0
89,2016,64280.0,77582.0,-0.038242863127655756,-0.022391915220705907,912.0
90,2015,66836.0,79359.0,-0.05596203282578604,0.07326012279895053,912.0
91,2014,70798.0,73942.0,0.042051191474956215,0.030292052168097203,912.0
92,2013,67941.0,71768.0,0.04601859834955044,0.01471856575282424,912.0
93,2012,64952.0,70727.0,-0.022734453756225268,-0.07697226753670473,912.0
94,2011,66463.0,76625.0,0.23866410719943343,0.24696903122914937,912.0
95,2010,53657.0,61449.0,,,912.0
96,2021,35078.0,62183.0,-0.18708720539500823,-0.02709849018227333,913.0
97,2020,43151.0,63915.0,0.05195026816187226,0.11690694626474443,913.0
98,2019,41020.0,57225.0,0.05858064516129032,0.028579131841466703,913.0
99,2018,38750.0,55635.0,0.2435416064952986,0.12002496325971856,913.0
100,2017,31161.0,49673.0,-0.13292336802270577,-0.010478296380405984,913.0
