Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income- Restricted Rental,Income- Restricted Ownership,Tenure,Public/ Private,Includes Elderly Units?,Section_8
Suppressed1,South End,2118,17,17,0,0,0,0,17,17,0,Rental - Suppressed,Private,,
Suppressed2,South End,2120,75,75,0,0,0,0,75,75,0,Rental - Suppressed,Private,,
Suppressed3,Allston/Brighton,2134,12,12,0,0,0,0,12,12,0,Rental - Suppressed,Private,,
Suppressed4,Dorchester,2125,9,9,0,1,1,0,8,8,0,Rental - Suppressed,Private,,Y
Suppressed5,Dorchester,2125,12,12,0,0,0,0,12,12,0,Rental - Suppressed,Private,,
Suppressed6,West Roxbury,2132,4,4,0,0,0,0,4,4,0,Rental - Suppressed,Private,,
Suppressed7,Charlestown,2129,25,25,0,0,0,0,25,25,0,Rental - Suppressed,Private,,
Suppressed8,Fenway/Kenmore,2115,14,14,0,1,1,0,13,13,0,Rental - Suppressed,Private,,
Suppressed9,Roxbury,2119,9,9,0,0,0,0,9,9,0,Rental - Suppressed,Private,,
Suppressed10,Roxbury,2124,11,11,0,0,0,0,11,11,0,Rental - Suppressed,Private,,
Suppressed11,Fenway/Kenmore,2115,75,75,0,0,0,0,75,75,0,Rental - Suppressed,Private,Y,
Suppressed12,Roxbury,2119,20,20,0,0,0,0,20,20,0,Rental - Suppressed,Private,,
Suppressed13,Fenway/Kenmore,2215,16,16,0,0,0,0,16,16,0,Rental - Suppressed,Private,,
Suppressed14,Roxbury,2119,12,12,0,0,0,0,12,12,0,Rental - Suppressed,Private,,
Suppressed15,Allston/Brighton,2135,18,18,0,0,0,0,18,18,0,Rental - Suppressed,Private,,
Suppressed16,South End,2118,15,15,0,0,0,0,15,15,0,Rental - Suppressed,Private,,
Suppressed17,East Boston,2128,18,18,0,0,0,0,18,18,0,Rental - Suppressed,Private,,
Suppressed18,Dorchester,2122,4,4,0,0,0,0,4,4,0,Rental - Suppressed,Private,,
Suppressed19,Dorchester,2122,6,6,0,0,0,0,6,6,0,Rental - Suppressed,Private,,
Suppressed20,Dorchester,2125,6,6,0,0,0,0,6,6,0,Rental - Suppressed,Private,,
Suppressed21,South End,2118,3,3,0,0,0,0,3,3,0,Rental - Suppressed,Private,,
Suppressed22,South End,2118,23,23,0,0,0,0,23,23,0,Rental - Suppressed,Private,,
Suppressed23,Mattapan,2124,4,4,0,0,0,0,4,4,0,Rental - Suppressed,Private,,
Suppressed24,Mattapan,2124,5,5,0,0,0,0,5,5,0,Rental - Suppressed,Private,,
Suppressed25,Dorchester,2124,11,11,0,1,1,0,10,10,0,Rental - Suppressed,Private,,
Suppressed26,Central,2116,56,56,0,0,0,0,56,56,0,Rental - Suppressed,Private,,
