Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income- Restricted Rental,Income- Restricted Ownership,Tenure,Public/ Private,Includes Elderly Units?,Section_8
Bowdoin Geneva Phase III (HOME AGAIN),Dorchester,2122,20,2,18,0,0,0,20,2,18,Ownership/Rental,Private,,
Bowdoin Place,Back Bay/Beacon Hill,2114,75,0,75,56,0,56,19,0,19,Ownership,Private,,
Bowdoin School,Back Bay/Beacon Hill,2114,35,35,0,0,0,0,35,35,0,Rental - Elderly,Private,Y,Y
Bowdoin St. Lodging House,Back Bay/Beacon Hill,2114,120,120,0,0,0,0,120,120,0,Rental - SRO,Private,,
Bowdoin/Geneva - HOME AGAIN,Dorchester,2122,7,0,7,0,0,0,7,0,7,Ownership,Private,,
Bowdoin/Geneva (Phase II),Dorchester,2125,10,5,5,2,1,1,8,4,4,Ownership/Rental,Private,,
Bowdoin-Geneva & Dudley Rental,Roxbury,2119,3,3,0,0,0,0,3,3,0,Rental,Private,,
Bowen,Mattapan,2124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Boylston West (Fenway Triangle Mixed Use),Fenway/Kenmore,2215,172,172,0,159,159,0,13,13,0,Rental,Private,,
Boylston-Brookside (p/o Self Help Apts),Roxbury,2130,6,6,0,0,0,0,6,6,0,Rental,Private,,
Bradford Estates,Mattapan,2124,24,0,24,0,0,0,24,0,24,Ownership,Private,,
Bradlee-Fowler,Dorchester,2124,3,1,2,0,0,0,3,1,2,Ownership/Rental,Private,,
Bradley Properties,South End,2118,70,70,0,0,0,0,70,70,0,Rental,Private,,Y
Brandywyne Village,East Boston,2128,402,402,0,136,136,0,266,266,0,Rental,Private,,Y
Brantley,Mattapan,2126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Braxton,Roxbury,2121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Brewery Lofts,Jamaica Plain,2130,79,0,79,71,0,71,8,0,8,Ownership,Private,,
Brian J Honan Apartments,Allston/Brighton,2134,50,50,0,0,0,0,50,50,0,Rental,Private,,
Brighton Gardens,Allston/Brighton,2135,62,62,0,49,49,0,13,13,0,Rental,Private,Y,
Brighton-Allston Apts,Allston/Brighton,2134,62,62,0,0,0,0,62,62,0,Rental,Private,Y,
Brighton-Allston Elderly,Allston/Brighton,2134,80,80,0,1,1,0,79,79,0,Rental - Elderly,Private,Y,Y
"Bromley Park (2-19, -75, -101)",Jamaica Plain,2130,779,779,0,0,0,0,779,779,0,Rental,Public,Y,
Brook Avenue Cooperative,Roxbury,2119,36,36,0,0,0,0,36,36,0,Cooperative,Private,,
Julian Phase 2 HOME AGAIN,Roxbury,2125,18,1,17,0,0,0,18,1,17,Ownership/Rental,Private,,
Brookside Artists Housing,Roxbury,2130,21,0,21,3,0,3,18,0,18,Ownership,Private,,
Brookview House,Mattapan,2124,8,8,0,0,0,0,8,8,0,Rental - Homeless,Private,,
Brookview House II,Mattapan,2124,12,12,0,0,0,0,12,12,0,Rental,Private,,
Brown,Dorchester,2121,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
"Brown, J & D",Roxbury,2121,1,1,0,0,0,0,1,1,0,Rental,Private,,
Brown-Kaplan Townhomes,Mattapan,2124,60,60,0,0,0,0,60,60,0,Rental,Private,,Y
Brownstone Apartments,South End,2118,75,75,0,0,0,0,75,75,0,Rental,Private,,Y
Brunswick Street,Roxbury,2121,3,3,0,0,0,0,3,3,0,Rental,Private,,
Brush Hill Commons,Jamaica Plain,2130,14,0,14,8,0,8,6,0,6,Ownership,Private,,
Buckminster Hotel,Fenway/Kenmore,2215,18,18,0,16,16,0,2,2,0,Rental,Private,,
Buildable Lots - Codman Square,Dorchester,,6,0,6,1,0,1,5,0,5,Ownership,Private,,
Buildable Lots - Ferndale,Dorchester,2124,12,0,12,3,0,3,9,0,9,Ownership,Private,,
Buildable Lots - Uphams,Dorchester,,6,0,6,0,0,0,6,0,6,Ownership,Private,,
Buildable Lots- 1&2,Dorchester,2124,15,0,15,6,0,6,9,0,9,Ownership,Private,,
Buildable Lots- 3&4,Dorchester,,18,0,18,8,0,8,10,0,10,Ownership,Private,,
Buildable Lots- 5,Dorchester,2124,9,0,9,0,0,0,9,0,9,Ownership,Private,,
Buildable Lots- 6,Mattapan,2126,12,0,12,0,0,0,12,0,12,Ownership,Private,,
Building 104,Charlestown,2129,46,46,0,0,0,0,46,46,0,Rental - Elderly,Private,Y,
Builduing 33 at Navy Yard,Charlestown,2129,47,47,0,41,41,0,6,6,0,Rental,Private,,
Burbank Gardens,Fenway/Kenmore,2115,52,52,0,0,0,0,52,52,0,Rental,Private,,Y
Burton Apts (18u),South End,2120,18,18,0,0,0,0,18,18,0,Rental,Private,,Y
Burton-Dudley,Roxbury,2119,16,16,0,0,0,0,16,16,0,Rental,Private,,
Camden Street (200-2),South End,2118,72,72,0,0,0,0,72,72,0,Rental,Public,,
Camfield Gardens,South End,2118,102,102,0,0,0,0,102,102,0,Rental,Private,,Y
Candor Place (p/o Self Help Apts),Jamaica Plain,2130,6,6,0,0,0,0,6,6,0,Rental,Private,,
Capen Green,Mattapan,2124,18,0,18,0,0,0,18,0,18,Ownership,Private,,
Cardella,South Boston,2127,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Cardinal Medeiros Manor,Roxbury,2125,54,54,0,0,0,0,54,54,0,Rental - Elderly,Private,Y,Y
Caritas Centre St,Dorchester,2122,12,12,0,0,0,0,12,12,0,Rental - SRO,Private,,
Caritas Centre St II,Dorchester,2124,11,11,0,0,0,0,11,11,0,Rental - SRO,Private,,
Caritas SRO Refinance,Dorchester,2125,23,23,0,0,0,0,23,23,0,Rental - SRO,Private,,
Carlton House AKA: Forward Inc. rental,Roxbury,2119,44,44,0,0,0,0,44,44,0,Rental,Private,,
Carlton Wharf,East Boston,2128,30,0,30,0,0,0,30,0,30,Ownership,Private,,
Carol Ave. Limited Coop,Allston/Brighton,2135,33,33,0,9,9,0,24,24,0,Rental,Private,,
Carroll,Roxbury,2125,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Carvalho,Dorchester,2125,2,2,0,0,0,0,2,2,0,Rental,Private,,
Cary Cottage,Roxbury,2119,10,10,0,0,0,0,10,10,0,Rental,Private,,
Casa Familias Unidas,Roxbury,2119,9,9,0,0,0,0,9,9,0,Rental,Private,,
Casa Maria,Central,2113,84,84,0,0,0,0,84,84,0,Rental - Elderly,Private,Y,Y
Casa Nueva Vida,Jamaica Plain,2130,7,7,0,0,0,0,7,7,0,Rental,Private,,
Casas Borinquen,South End,2118,36,36,0,0,0,0,36,36,0,Rental,Private,,Y
Cass House,Roxbury,2121,111,111,0,0,0,0,111,111,0,Rental,Private,,
Castle Square,South End,2116,500,500,0,0,0,0,500,500,0,Rental,Private,,Y
Cathedral (2-6),South End,2118,414,414,0,0,0,0,414,414,0,Rental,Public,,
Catherine H Gallagher Coop Housing,Jamaica Plain,2130,34,34,0,0,0,0,34,34,0,Rental,Private,,Y
Central Boston Elder Services,Roxbury,2119,57,57,0,0,0,0,57,57,0,Rental - Elderly,Private,Y,
Ceylon Field Apts,Roxbury,2119,66,66,0,0,0,0,66,66,0,Rental,Private,,
Chaisson,Dorchester,2125,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Channel View Condominiums,South Boston,2127,18,0,18,16,0,16,2,0,2,Ownership,Private,,
Channel Wharf,South Boston,2127,45,0,45,40,0,40,5,0,5,Ownership,Private,,
Chapman House,East Boston,2128,30,30,0,22,22,0,8,8,0,Rental,Private,,
Charlame Park Homes 2A&B,Roxbury,2121,41,41,0,0,0,0,41,41,0,Rental,Private,,Y
Charlame Park Homes I,Roxbury,2119,92,92,0,0,0,0,92,92,0,Rental,Private,,Y
Charles Newtowne Cooperative,Charlestown,2129,262,262,0,0,0,0,262,262,0,Rental,Private,,Y
Charles Street Gardens,Charlestown,2129,21,0,21,14,0,14,7,0,7,Ownership,Private,,
Charlestown (2-1),Charlestown,2129,1100,1100,0,0,0,0,1100,1100,0,Rental,Public,,
Charlestown Elderly,Charlestown,2129,42,42,0,0,0,0,42,42,0,Rental - Elderly,Private,Y,
Charlestown Navy Yard Row Houses,Charlestown,2129,50,0,50,34,0,34,16,0,16,Ownership,Private,,
Charlesview Apartments,Allston/Brighton,2135,260,240,20,20,20,0,240,220,20,Rental,Private,,Y
Charlesview Inc.,Allston/Brighton,2135,213,213,0,0,0,0,213,213,0,Rental,Private,,Y
Charlysade Apartments,Back Bay/Beacon Hill,2114,10,10,0,0,0,0,10,10,0,Rental,Private,,Y
Chauncy House,Central,2111,87,87,0,0,0,0,87,87,0,Rental - Elderly,Private,Y,Y
Cheriton Grove,West Roxbury,2132,70,70,0,7,7,0,63,63,0,Rental - Elderly,Private,Y,Y
Chestnut Avenue (p/o Self Help Apts),Jamaica Plain,2130,3,3,0,0,0,0,3,3,0,Rental,Private,,
Chestnut Hill Gardens,Allston/Brighton,2135,36,0,36,32,0,32,4,0,4,Ownership,Private,,
Chestnut Hill Park,Allston/Brighton,2135,47,0,47,45,0,45,2,0,2,Ownership,Private,,
Chestnut Hill Waterworks,Allston/Brighton,2135,108,0,108,97,0,97,11,0,11,Ownership,Private,,
Cheverus School Apts,East Boston,2128,48,48,0,1,1,0,47,47,0,Rental - Elderly,Private,Y,
Chinagate Apartments,Central,2111,15,15,0,0,0,0,15,15,0,Rental,Private,,Y
Church St SRO,Dorchester,2122,12,12,0,0,0,0,12,12,0,Rental - SRO,Private,,
City Square Elderly Housing,Charlestown,2129,120,120,0,1,1,0,119,119,0,Rental - Elderly,Private,Y,Y
Clarendon Square,South End,2116,60,0,60,51,0,51,9,0,9,Ownership,Private,,
Clarendon-Warren Condominium,South End,2116,31,0,31,21,0,21,10,0,10,Ownership,Private,,
Cleaves Court Apts,Roxbury,2119,36,36,0,0,0,0,36,36,0,Rental,Private,,
Cliffmont Condominium (Grew Ave),Roslindale,2131,90,0,90,89,0,89,1,0,1,Ownership,Private,,
CNY - Harborview Point (Parcel 4),Charlestown,2129,224,224,0,203,203,0,21,21,0,Rental,Private,,
Codman Commons,Mattapan,2124,28,0,28,11,0,11,17,0,17,Ownership,Private,,
Codman Square Apts (2-51),Dorchester,2124,102,102,0,0,0,0,102,102,0,Rental - Elderly,Public,Y,
Collins (Margaret) Apts (2-26),Jamaica Plain,2130,44,44,0,0,0,0,44,44,0,Rental - Elderly,Public,Y,
Columbia Road/Lighthouse,Dorchester,2125,4,4,0,0,0,0,4,4,0,Rental,Private,,
Columbia West,Dorchester,2125,57,57,0,0,0,0,57,57,0,Rental,Private,,
Columbia-Wood Apartments,Roxbury,2121,49,49,0,1,1,0,48,48,0,Rental,Private,,Y
Comaven Apartments,Allston/Brighton,2134,89,89,0,0,0,0,89,89,0,Rental,Private,,Y
Commerce Apartments,Roxbury,2130,60,60,0,0,0,0,60,60,0,Rental,Private,,
"Commonwealth (2-82,-95,-96,-97)",Allston/Brighton,2135,394,394,0,0,0,0,394,394,0,Rental,Public,Y,
Commonwealth Housing,Allston/Brighton,2134,118,118,0,0,0,0,118,118,0,Rental,Private,,Y
Concord Houses,South End,2118,181,181,0,0,0,0,181,181,0,Rental,Private,Y,
Concord St. Elder Housing,South End,2118,40,40,0,0,0,0,40,40,0,Rental - Elderly,Private,Y,Y
Condor-Harve Garden Apartments,East Boston,2128,7,7,0,0,0,0,7,7,0,Rental - Homeless,Private,,
Condor-Havre Garden Apartments,East Boston,2128,7,7,0,0,0,0,7,7,0,Rental,Private,,
Continuum (Barry's Corner),Allston/Brighton,2134,325,325,0,283,283,0,42,42,0,Rental,Private,,
Conway Court,Roslindale,2131,28,28,0,0,0,0,28,28,0,Rental,Private,,
Cortes Street SRO,Central,2116,41,41,0,1,1,0,40,40,0,Rental - SRO,Private,,
Costello Homes - West 2nd & F St,South Boston,2127,15,0,15,7,0,7,8,0,8,Ownership,Private,,
Cottage Brook Apartments,Roxbury,2125,147,147,0,0,0,0,147,147,0,Rental,Private,,Y
Council of Elders,Roxbury,2119,145,145,0,1,1,0,144,144,0,Rental - Elderly,Private,Y,Y
Court St SRO,Central,2108,96,96,0,0,0,0,96,96,0,Rental - SRO,Private,,
Courtyard at Cedar Grove,Dorchester,2124,18,0,18,16,0,16,2,0,2,Ownership,Private,,
Covenant House 202,Allston/Brighton,2135,200,200,0,1,1,0,199,199,0,Rental - Elderly,Private,Y,Y
Cox Building,Roxbury,2119,31,31,0,0,0,0,31,31,0,Rental,Private,,Y
Crawford House Apts,Roxbury,2121,9,9,0,0,0,0,9,9,0,Rental,Private,,Y
Creighton Commons Condominiums,Jamaica Plain,2130,16,0,16,0,0,0,16,0,16,Ownership,Private,,
Crittenton Hastings House,Allston/Brighton,2135,62,62,0,0,0,0,62,62,0,Rental,Private,,
Cummins Towers,Roslindale,2131,239,239,0,59,59,0,180,180,0,Rental,Private,,
CWL HOUSING,Jamaica Plain,2130,30,30,0,0,0,0,30,30,0,Rental,Private,,
D4 Police Station,South End,2136,26,0,26,24,0,24,2,0,2,Ownership,Private,,
Dacia Residence at Beauford Green,Roxbury,2125,24,0,24,0,0,0,24,0,24,Ownership,Private,,
Dale Street Condominium,Roxbury,2119,4,0,4,0,0,0,4,0,4,Ownership,Private,,
Daly House,Roxbury,2119,19,19,0,0,0,0,19,19,0,Rental - SRO,Private,,
Danube Apartments,Roxbury,2130,65,65,0,0,0,0,65,65,0,Rental,Private,,Y
DaRosa,Dorchester,2122,1,1,0,0,0,0,1,1,0,Rental,Private,,
Dartmouth Hotel,Roxbury,2129,71,71,0,7,7,0,64,64,0,Rental,Private,,
Dartmouth Tcb,South End,2118,83,83,0,0,0,0,83,83,0,Rental,Private,,
Davenport Commons,South End,2120,60,0,60,48,0,48,12,0,12,Ownership,Private,,
Davis,Dorchester,2125,2,2,0,0,0,0,2,2,0,Rental,Private,,
Davison (2-34),Hyde Park,2136,47,47,0,0,0,0,47,47,0,Rental,Public,,
DeMarco,East Boston,2128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Derne Street Lodging Home,Back Bay/Beacon Hill,2114,18,18,0,0,0,0,18,18,0,Rental - SRO,Private,,
Dexter Building,Central,2111,58,0,58,57,0,57,1,0,1,Ownership,Private,,
DiGirolamo,East Boston,2128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Dillon,Dorchester,2122,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Dimock-Bragdon Apartments,Roxbury,2119,54,54,0,0,0,0,54,54,0,Rental - Elderly,Private,?,Y
Disilvio,East Boston,2128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Distillery Project Phase I,South Boston,2127,28,28,0,24,24,0,4,4,0,Rental,Private,,
Ditson St Senior Housing,Dorchester,2122,40,40,0,0,0,0,40,40,0,Rental - Elderly,Private,Y,
DNA Lofts,Dorchester,2125,59,0,59,51,0,51,8,0,8,Ownership,Private,,
Domicilia I & II,Dorchester,2122,10,10,0,0,0,0,10,10,0,Rental - Elderly,Private,Y,Y
Domicilia III,Jamaica Plain,2130,8,8,0,0,0,0,8,8,0,Rental,Private,,Y
Dorchester House,Dorchester,2122,91,91,0,0,0,0,91,91,0,Rental - Elderly,Private,Y,Y
Douglass Park,South End,2118,122,122,0,0,0,0,122,122,0,Rental,Private,,
Dover Lofts,South End,2118,16,0,16,14,0,14,2,0,2,Ownership,Private,,
Drayton Homes,Dorchester,2125,12,0,12,0,0,0,12,0,12,Ownership,Private,,
Dudley Greenville,Roxbury,2119,43,43,0,0,0,0,43,43,0,Rental,Private,,
Dudley Street Apts,Roxbury,2119,26,26,0,0,0,0,26,26,0,Rental,Private,,
Dudley Terrace,Dorchester,2125,56,56,0,2,2,0,54,54,0,Rental,Private,,
Dudley Village Phase I (North),Roxbury,2125,24,24,0,0,0,0,24,24,0,Rental,Private,,
Dudley Village Phase II (South),Roxbury,2125,26,26,0,0,0,0,26,26,0,Rental,Private,,
Dunmore Place,Roxbury,2119,6,6,0,0,0,0,6,6,0,Rental,Private,,
Dwight St Apts,South End,2118,9,9,0,0,0,0,9,9,0,Rental,Private,,
Eagle Hill Rehab,East Boston,2128,17,17,0,0,0,0,17,17,0,Rental,Private,,
East Berkeley Street,South End,2118,24,0,24,12,0,12,12,0,12,Ownership,Private,,
East Canton St Apts,South End,2118,80,80,0,0,0,0,80,80,0,Rental - Elderly,Private,Y,Y
East Springfield/Northampton Streets,South End,2118,10,0,10,1,0,1,9,0,9,Ownership,Private,,
Ebenezer Homes,South End,2118,32,32,0,0,0,0,32,32,0,Rental,Private,Y,Y
Edison Green,Dorchester,2125,95,95,0,1,1,0,94,94,0,Rental - Elderly,Private,Y,Y
Edward Everett Square,Dorchester,2125,6,0,6,4,0,4,2,0,2,Ownership,Private,,
Egleston Crossing,Roxbury,2119,64,64,0,1,1,0,63,63,0,Rental,Private,,
Eleven West (Lechmore Point),South Boston,2127,50,50,0,44,44,0,6,6,0,Rental,Private,,
Elm Hill/Seaver St Conversion,Roxbury,2121,18,18,0,15,15,0,3,3,0,Rental,Private,,
Elven Road,Roslindale,2131,8,3,5,0,0,0,8,3,5,Ownership/Rental,Private,,
Emerson Place - Charles River Park,Central,2114,320,320,0,301,301,0,19,19,0,Rental,Private,,
Epps,Roxbury,2121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Erie-Ellington Homes,Roxbury,2121,100,100,0,0,0,0,100,100,0,Rental,Private,,
Esperanza Walnut,Roxbury,2119,42,42,0,0,0,0,42,42,0,Rental,Private,,Y
ETC Associates,South End,2118,71,71,0,0,0,0,71,71,0,Rental,Private,,Y
Eutaw/Meridian,East Boston,2128,1,0,1,0,0,0,1,0,1,Rental,Private,,
Eva White (2-41),South End,2116,102,102,0,0,0,0,102,102,0,Rental - Elderly,Public,Y,
Factory 63,South Boston,2127,62,62,0,51,51,0,11,11,0,Rental,Private,,
Fairfield Properties,Roxbury,2119,30,30,0,0,0,0,30,30,0,Rental,Private,,
