,year,Median income (dollars),Mean income (dollars),median_income_difference,mean_income_difference,census_tract
0,2021,,160064.0,,0.294073894413453,708.01
1,2020,,123690.0,,-0.15507100846363506,708.01
2,2019,94653.0,146391.0,0.04534661556981457,0.06235168615156859,708.01
3,2018,90547.0,137799.0,0.13895597484276728,0.14473815378480762,708.01
4,2017,79500.0,120376.0,0.10929716605969275,0.0537945041188469,708.01
5,2016,71667.0,114231.0,-0.22522162162162163,0.0011042460891284344,708.01
6,2015,92500.0,114105.0,-0.038011543861473665,-0.014186112815018964,708.01
7,2014,96155.0,115747.0,0.3867176233054514,0.10385572732387918,708.01
8,2013,69340.0,104857.0,0.07774565575554104,0.16563469213068466,708.01
9,2012,64338.0,89957.0,0.13693473996713143,-0.021557772001000664,708.01
10,2011,56589.0,91939.0,,,708.01
11,2010,,,,,708.01
12,2021,30357.0,60760.0,-0.1579429142048764,0.021794699313870576,709.01
13,2020,36051.0,59464.0,-0.3197924528301887,-0.5679775648244346,709.01
14,2019,53000.0,137641.0,-0.05145413870246085,0.10901531693403485,709.01
15,2018,55875.0,124111.0,-0.08578487515952747,0.06867869290050373,709.01
16,2017,61118.0,116135.0,0.2816222110384164,0.2949355514919049,709.01
17,2016,47688.0,89684.0,0.026166293682217248,0.0381173964880601,709.01
18,2015,46472.0,86391.0,-0.3454647887323944,-0.16777288622154576,709.01
19,2014,71000.0,103807.0,0.3059392646274394,0.057657822879732645,709.01
20,2013,54367.0,98148.0,0.012930151100180724,0.06798694232861806,709.01
21,2012,53673.0,91900.0,0.05171062428968923,0.04072295705743794,709.01
22,2011,51034.0,88304.0,0.23377816458756406,0.12845678065736338,709.01
23,2010,41364.0,78252.0,,,709.01
24,2021,42563.0,60228.0,0.0173773783344488,0.04260217771391971,801.0
25,2020,41836.0,57767.0,0.29691859383718766,0.3041721226351199,801.0
26,2019,32258.0,44294.0,0.033181730830824416,0.01610387227014131,801.0
27,2018,31222.0,43592.0,6.406149903907751e-05,-0.03687501380879786,801.0
28,2017,31220.0,45261.0,0.020328126021308582,0.06236503614684067,801.0
29,2016,30598.0,42604.0,0.002424321845105491,0.10832466181061394,801.0
30,2015,30524.0,38440.0,0.11735851819313273,0.010834122225728412,801.0
31,2014,27318.0,38028.0,-0.1385595358224016,-0.16062244785343782,801.0
32,2013,31712.0,45305.0,0.02687649763616346,0.036585365853658534,801.0
33,2012,30882.0,43706.0,-0.23424830766941904,-0.11622922311643143,801.0
34,2011,40329.0,49454.0,,,801.0
35,2010,,,,,801.0
36,2021,41211.0,60163.0,0.028654868581983375,-0.014141513453282208,803.0
