OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,PARK_ID,REGION,OS_ID,F_100ftRule,ZipCode,ParcelNumber,YearAcquired,Shape_Length,Shape_Area
1,Wilson Park,City of Boston,,1,Allston-Brighton,0.09718357,10 Wilson Park,Open Space District,"Malls, Squares & Plazas",NULL,NULL,N,X, ,PWD,,PARK_Maintenance_Region 4,2000,YES,02135,2102093500,0,0.00086875428031689,4.29649684020472e-08
2,James H. Roberts Playground,City of Boston,A97,3,Allston-Brighton,1.00413568,120 Hooker Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"Hooker-Sorrento Street Playground; Roberts Playground",BPRD,156,PARK_Maintenance_Region 4,156,YES,02134,2200030000,0,0.00276645624440773,4.44056680836158e-07
3,Smith Playground,City of Boston,A97/LWCF,3,Allston-Brighton,15.02524742,235 Western Avenue,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"William F. Smith Playground; North Brighton Playground",BPRD,284,PARK_Maintenance_Region 4,284,YES,02134,2200542000,1894,0.0112161592017543,6.64515891684877e-06
4,Fern Square,City of Boston,A97,1,Allston-Brighton,0.04450911,1 Fern Street,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"James F. Collins Square, Franklin Square",BPRD,115,PARK_Maintenance_Region 4,115,YES,02134,2201194000,0,0.000672302369145406,1.96831288593685e-08
5,Ringer Playground,City of Boston,A97/LWCF/USH,3,Allston-Brighton,10.26309317,85 Allston Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Stanley A. Ringer Playground,BPRD,259,PARK_Maintenance_Region 4,259,YES,"02134, 02135",2101101000,1916,0.012526448002969,4.53798789259633e-06
6,McKinney Playground,City of Boston,A97/USH,3,Allston-Brighton,5.89186071,74 Faneuil Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,193,PARK_Maintenance_Region 4,193,YES,02135,2202540000,1930,0.00692411788352284,2.60535298132017e-06
7,Hobart Park,City of Boston,A97/LWCF,3,Allston-Brighton,0.80891409,85 Hobart Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,154,PARK_Maintenance_Region 4,154,YES,02135,2202935000,1970,0.00244555164371999,3.57702747187574e-07
8,Market Street Burying Ground,City of Boston,Ch114S7/A97,4,Allston-Brighton,0.39538045,380 Market Street,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, ,BPRD,188,PARK_Cemetery Maintenance Request,188,YES,02135,2202372000,1764,0.00176912377978196,1.74823169765269e-07
9,Jackson Square,City of Boston,A97,1,Allston-Brighton,0.12032328,58 Chestnut Hill Avenue,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Viola Square,BPRD,162,PARK_Maintenance_Region 4,162,YES,02135,2102849000,0,0.0008713589612544,5.31991263942222e-08
10,Reilly Playground,Commonwealth of Massachusetts,A97,3,Allston-Brighton,6.96749208, ,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR,NULL,X,X, ,,,INFO_Reallocation From Dept,3000,YES,02135,,0,0.00831160687232864,3.06413754322026e-06
