OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,PARK_ID,REGION,OS_ID,F_100ftRule,ZipCode,ParcelNumber,YearAcquired,Shape_Length,Shape_Area
11,Boyden Park,Commonwealth of Massachusetts,A97,1,Allston-Brighton,0.48183069, ,Institutional District,"Malls, Squares & Plazas",DCR,NULL,X,X, ,,,INFO_Reallocation From Dept,3001,YES,02467,,0,0.00187777582920979,2.13012447937482e-07
12,Evergreen Cemetery,City of Boston,Ch114S7/A97,4,Allston-Brighton,20.77387518,2060 Commonwealth Avenue,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, ,BPRD,110,PARK_Cemetery Maintenance Request,110,YES,02135,"2102444000,2102444001,2102443001",1848,0.0128686875220274,9.05749838072679e-06
13,Hardiman Playground,City of Boston,A97,3,Allston-Brighton,1.47315094,380 Faneuil Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"PFC Kevin B. Hardiman Playground; Tar Park",BPRD,143,PARK_Maintenance_Region 4,143,YES,02135,2203801020,1948,0.00348944531458444,6.51385782788531e-07
14,Rogers Park,City of Boston,A97,3,Allston-Brighton,8.17184526,30 Rogers Park Avenue,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"Thomas Galvin Park; Rogers-Galvin Park; Galvin Ball Fields",BPRD,267,PARK_Maintenance_Region 4,267,YES,02135,2205190000,1899,0.00870836153733077,3.61314697126764e-06
15,Chandler Pond,City of Boston,A97/WPA,3,Allston-Brighton,19.03417426,95 Lake Shore Road,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"Alice E. Gallagher Memorial Park; Gallagher Memorial Park",BPRD,128,PARK_Maintenance_Region 4,128,YES,02135,"2205651000,2205530000,2205550000",0,0.0134929072756356,8.41555243335922e-06
16,Mullen Square,City of Boston,A97,1,Dorchester,0.22676977,24 Edison Green,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"Drohan Square, Edison Green",BPRD,210,PARK_Maintenance_Region 2,210,YES,02125,1301906000,0,0.00139548104273949,1.00220745773016e-07
17,Dorchester North Burying Ground,City of Boston,Ch114S7/A97,4,Dorchester,3.30419728,611 Columbia Road,Commercial/Office/Business District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, ,BPRD,089,PARK_Cemetery Maintenance Request,89,YES,02125,"0703999000,0703999010",1633,0.00580555258994139,1.46023992609053e-06
18,Downer Avenue Playground,City of Boston,A97,3,Dorchester,0.77917123,40 Downer Avenue,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,092,PARK_Maintenance_Region 2,92,YES,02125,1301674000,1972,0.00310725374766974,3.44312987673429e-07
19,Quincy/Stanley Play Area,City of Boston,A97,3,Dorchester,0.37525126,21 Stanley Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"Quincy Stanley Play Area; Stanley Street Play Area",BPRD,251,PARK_Maintenance_Region 5,251,YES,02125,1502974000,1955,0.00173694628027193,1.65821059494616e-07
20,Deer Street Park,City of Boston,A97,3,Dorchester,0.24657505,39 Deer Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,080,PARK_Maintenance_Region 2,80,YES,02125,1502549000,0,0.00152647723494428,1.08959592572831e-07
21,Savin Hill Beach,Commonwealth of Massachusetts,A97,2,Dorchester,3.43397589, ,Open Space District,"Parkways, Reservations & Beaches",DCR,NULL,X,X, ,,,INFO_Reallocation From Dept,3002,YES,02125,,0,0.0123004266497034,1.51736783377313e-06
22,Coppens Square,City of Boston,A97,1,Dorchester,0.35705028,325 Bowdoin Street,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"Rev. Francis X. Coppens Square; Eaton Square",BPRD,070,PARK_Maintenance_Region 2,70,YES,02122,1502942500,0,0.00159894487651107,1.57771016081114e-07
23,Old Harbor Park,Commonwealth of Massachusetts,A97/LWCF/WPA/Ch91,2,Dorchester,8.04452136, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR,NULL,X,X, ,,,INFO_Reallocation From Dept,3003,YES,02125,,0,0.0224852793961209,3.55530298962217e-06
24,McConnell Park,City of Boston,A97/LWCF,3,Dorchester,6.76240432,30 Denny Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Savin Hill Playground,BPRD,191,PARK_Maintenance_Region 2,191,YES,02125,"1302238000,1302237000",1899,0.0106885104431509,2.98814136973193e-06
25,Boston Common,City of Boston,A97/LWCF/NHL,3,Back Bay/Beacon Hill,45.74095034,139 Tremont St (Visitor Info Center) 1B Charles St (Earl of Sandwich)  38 Beacon St (Frog Pond) 167 Tremont St (Parkman Bandstand) 115 Boylston St (Deer Park),Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,The Common,BPRD,027,PARK_Maintenance_Region 1,27,YES,02108,"0500812001,0500812001,0500812000,0500812001,0500812001",1634,0.0202963506806345,2.02265583279394e-05
26,Central Burying Ground,City of Boston,A97/NHL/PR/BL,4,Back Bay/Beacon Hill,1.48917439,125 Boylston Street,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, ,BPRD,047,PARK_Cemetery Maintenance Request,47,YES,02108,0500813000,1756,0.00372171816824267,6.5848597233889e-07
27,Public Garden,City of Boston,A97/LWCF,3,Back Bay/Beacon Hill,23.50816815,4 Charles Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,246,PARK_Maintenance_Region 1,246,YES,"02108, 02116",0501259000,1823,0.0131131489472276,1.03950801281366e-05
28,Granary Burying Ground,City of Boston,A97/NRHP/PR/BL,4,Central Boston,1.85683737,95 Tremont Street,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, ,BPRD,137,PARK_Cemetery Maintenance Request,137,YES,02108,0304676000,1660,0.0037697560402635,8.2111910569613e-07
29,Phillips Street Play Area,City of Boston,A97,3,Back Bay/Beacon Hill,0.11527547,21 Phillips Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,237,PARK_Maintenance_Region 1,237,YES,02114,0502198000,1941,0.00103896028690028,5.09790505682767e-08
30,Myrtle Street Playground,City of Boston,A97/LWCF,3,Back Bay/Beacon Hill,0.16074066,50 Myrtle Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,212,PARK_Maintenance_Region 1,212,YES,02114,0501878000,1949,0.00113860132312273,7.10832643864467e-08
31,Copley Square Park,City of Boston,A97,1,Back Bay/Beacon Hill,1.85443363,560 Boylston Street,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Copley Square,BPRD,069,PARK_Maintenance_Region 1,69,YES,02116,0401089000,0,0.0047155868044594,8.19959009809861e-07
32,Clarendon Street Playlot,City of Boston,A97,3,Back Bay/Beacon Hill,0.32391688,260 Clarendon Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Commonwealth Playground,BPRD,058,PARK_Maintenance_Region 1,58,YES,02116,0502921000,1975,0.00153120197775908,1.43230093499333e-07
33,DeFilippo Playground,City of Boston,A97,3,Central Boston,1.11810624,135 Prince Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"Pvt. John DeFilippo Playground; Snow Hill Street Playground; ""The Gassy""",BPRD,081,PARK_Maintenance_Region 1,81,YES,02113,0301936000,1937,0.00300630565219784,4.94512353323085e-07
34,Copp's Hill Burying Ground,City of Boston,A97/NRHP/PR,4,Central Boston,1.9815775,Opposite 34 Hull Str.,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, ,BPRD,071,PARK_Cemetery Maintenance Request,71,YES,02113,0302160000,0,0.00418995485415779,8.76415717225578e-07
35,Copp's Hill Terrace,City of Boston,A97/NRHP,1,Central Boston,0.61203713,536 Commericial Str.,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X, ,BPRD,072,PARK_Maintenance_Region 1,72,YES,02113,0301982000,0,0.00225445225422139,2.70695437818404e-07
36,Foster Street Play Area,City of Boston,A97,3,Central Boston,0.10758423,15 Foster Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"Foster Street Playground; Foster Street Park",BPRD,123,PARK_Maintenance_Region 1,123,YES,02113,0302026000,1930,0.000963201689319397,4.75826555523585e-08
37,Charter Street Park,City of Boston,A97,3,Central Boston,0.23871022,21P Charter Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,052,PARK_Maintenance_Region 1,52,YES,02113,"0302067001,0302068000",1940,0.00154112152780623,1.05576496878707e-07
38,Paul Revere Mall,City of Boston,A97,1,Central Boston,0.85716454,370 Hanover Street,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"The Prado;  Webster Avenue Playground",BPRD,231,PARK_Maintenance_Region 1,231,YES,02113,"0302074000,0302150000",1925,0.00401525942286879,3.79099335320408e-07
39,Polcari Park,City of Boston,A97,3,Central Boston,0.27894045,45 Prince Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"Capt. Louis Polcari Park; Prince Street Playground",BPRD,240,PARK_Maintenance_Region 1,240,YES,02113,0302320000,1897,0.00169177783046409,1.23365799099245e-07
40,Cutillo Park,City of Boston,A97/LWCF,3,Central Boston,0.28935655,10 Stillman Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"Vincent Cutillo Park; Stillman Street Park",BPRD,077,PARK_Maintenance_Region 1,77,YES,02113,0302466000,1917,0.00164827316487951,1.27969584446979e-07
41,City Hall Plaza,BRA,A97,1,Central Boston,6.01397006, ,Open Space District,"Malls, Squares & Plazas",NULL,NULL,X,X,City Hall Square,,,PARK_Maintenance_Ground Maintenance,2141,YES,02203,,0,0.00933841249084754,2.65958383983206e-06
42,Norman Leventhal Park,Private,Agrmnt,3,Central Boston,1.54089431,130 Congress Str.,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BRA,Private,X,X,Post Office Square Park,,,INFO_Reallocation From Dept,7008,YES,02110,,0,0.00337475329656173,6.81391186581053e-07
43,Angell Memorial Square,City of Boston,A97,1,Central Boston,0.17664515,152-158 Congress Street,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD,BPRD,X,X, ,BPRD,010,PARK_Maintenance_Ground Maintenance,10,YES,02109,ROW,0,0.00122084389467822,7.81145719640511e-08
44,Union Street Park I,BRA,A97,1,Central Boston,0.50833641,Between Union Street & Congress Street opposite City Hall,Open Space District,"Malls, Squares & Plazas",NULL,BPRD,X,X,"Holocaust Memorial;  Curley Memorial",BRA,,PARK_Maintenance_Ground Maintenance,2144,YES,02108,,0,0.00261028869090018,2.24805871171059e-07
45,Langone Park,City of Boston,A97/Ch91/WPA,3,Central Boston,2.1838685,529-543 Commercial Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Joseph & Clementine Langone Park,BPRD,175,PARK_Maintenance_Region 1,175,YES,02109,"0303056000,0303057000,0303058000",1973,0.00459730237161961,9.65906633380179e-07
46,Prince Street Park,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Central Boston,1.28400688, ,Open Space District,"Parkways, Reservations & Beaches",DCR,NULL,X,X, ,,,INFO_Reallocation From Dept,3004,YES,02109,,0,0.00696359392417463,5.67898645781189e-07
47,Rachel Revere Square,City of Boston,A97,1,Central Boston,0.08036273,200 North Street,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X, ,BPRD,252,PARK_Maintenance_Region 1,252,YES,02113,0303252000,1945,0.000764940033756911,3.55408419575828e-08
48,Tai Tung Park,City of Boston,A97,3,Central Boston,0.03349567,110 Tyler Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Tai Tung Tot Lot,BPRD,299,PARK_Maintenance_Region 1,299,YES,02111,0305123000,1991,0.000641152683154737,1.48102230021916e-08
49,Leo F. McCarthy Playground,City of Boston,A97,3,Charlestown,1.33874237,10 Eden Street,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"McCarthy-Eden Playground, Leo McCarthy Playground, Edwards Playground",BPRD,101,PARK_Maintenance_Region 1,101,YES,02129,"0201032000,0201033000,0201031000,0201021010",1991,0.00334606190228324,5.922146763795e-07
50,City Square,Commonwealth of Massachusetts,A97/LL,1,Charlestown,1.20876298, ,Open Space District,"Malls, Squares & Plazas",DCR,NULL,X,X, ,,,INFO_Reallocation From Dept,3005,YES,02129,,0,0.00301872171294876,5.34651246029786e-07
51,John Harvard Mall,City of Boston,A97,1,Charlestown,0.82983814,29 Harvard Street,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Harvard Mall,BPRD,145,PARK_Maintenance_Region 1,145,YES,02129,0203709000,1943,0.00306975475441454,3.67053216899044e-07
52,Paul Revere Park,Commonwealth of Massachusetts,A97,2,Charlestown,6.40064499, ,Open Space District,"Parkways, Reservations & Beaches",DCR,NULL,X,X, ,,,INFO_Reallocation From Dept,3006,YES,02129,,0,0.00722663673117371,2.83100913374339e-06
53,Charlestown H.S. Athletic Fields,City of Boston,Ch91/WPA,3,Charlestown,10.41698001,39 Terminal Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPS,BPRD,N,X,Little Mystic Harborwalk,BPS,051,PARK_Maintenance_Region 1,51,YES,02129,0202735000,0,0.019633389846015,4.60822757224389e-06
54,Ryan Playground,City of Boston,A97/USH/Ch91/WPA,3,Charlestown,8.77653179,75 Alford Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"John J. Ryan Playground; Charlestown Playground",BPRD,274,PARK_Maintenance_Region 1,274,YES,02129,0201830000,1891,0.00912319373666259,3.88285491639429e-06
55,Barry Playground,City of Boston,A97/PARC/Ch91/WPA,3,Charlestown,3.5513371,41 Medford Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"William. J. Barry Playground; Mystic Playground",BPRD,015,PARK_Maintenance_Region 1,15,YES,02129,0202733000,1897,0.00552754013111378,1.57099225413789e-06
56,Doherty Playground,City of Boston,A97/USH,3,Charlestown,3.75245886,349 Bunker Hill Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,087,PARK_Maintenance_Region 1,87,YES,02129,"0201465000,0201503000",0,0.00531946535352493,1.66003738674475e-06
57,St Francis De Sales Cemetery,Private,,4,Charlestown,1.79988905, ,Residential District,Cemeteries & Burying Grounds,Private,NULL,N,,,,,INFO_Reallocation From Dept,7010,NO,02129,,0,0.00426241065911303,7.96237360173086e-07
58,Bunker Hill Monument,United States of America,A97/NRHP/PR,1,Charlestown,3.77625645, ,Residential District,"Malls, Squares & Plazas",National Park Service,National Park Service,X,X,Monument Square,NPS,,INFO_Reallocation From Dept,5000,YES,02129,,0,0.00521728372709395,1.6704057531682e-06
59,Phipps Street Burying Ground,City of Boston,Ch114S7/A97,4,Charlestown,1.72179063,25 Phipps Street,Residential District,Cemeteries & Burying Grounds,BPRD,BPRD,X,A,,BPRD,238,PARK_Maintenance_Ground Maintenance,238,YES,02129,0202341000,1630,0.00357798795333725,7.6162469569436e-07
60,Winthrop Square,City of Boston,A97,1,Charlestown,0.900859,55 Winthrop Street,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Training Field,BPRD,326,PARK_Maintenance_Region 1,326,YES,02129,0203340000,0,0.00248645925220892,3.98477647099291e-07
61,Hayes Square,City of Boston,A97,1,Charlestown,0.1747193,45 Bunker Hill Street,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,,BPRD,148,PARK_Maintenance_Region 1,148,YES,02129,0202640000,0,0.00121639556936425,7.72868496898496e-08
62,Charlestown Sprouts Garden,City of Boston,,5,Charlestown,0.4765882, ,Open Space District,Community Gardens,NULL,NULL,N,,,,,PARK_Maintenance_Region 1,2006,NO,02129,,0,0.00184462362619596,2.10834307204775e-07
63,East Boston Memorial Park I,City of Boston,A97/UPARR,3,East Boston,17.6796181, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Satori Stadium,BPRD,098,PARK_Maintenance_Region 1,98,YES,02128,"0104164001,0104164004,0104164003,0104164002,0104164006,0104164007,0104164008",0,0.0230738611015797,7.82079410819792e-06
64,Noyes Playground,City of Boston,A97/LWCF,3,East Boston,8.31709266,86 Boardman Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,216,PARK_Maintenance_Region 1,216,YES,02128,0100524000,1909,0.00865706580624427,3.67968327181786e-06
65,Temple Ohabei Shalom Cemetery,Private,,4,East Boston,2.33966592, ,Open Space District,Cemeteries & Burying Grounds,Private,NULL,N,,,,,INFO_Reallocation From Dept,7011,NO,02128,,0,0.00409269645083142,1.03503840991991e-06
66,Cuneo Park,City of Boston,A97,3,East Boston,0.23069055,765 Saratoga Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Saratoga St. Play Area,BPRD,074,PARK_Maintenance_Region 1,74,YES,02128,0100925000,1969,0.00130432717733445,1.02056564166948e-07
67,Bennington Street Cemetery,City of Boston,Ch114S7/A97,4,East Boston,3.59002599,495 Bennington Street,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,A,,BPRD,022,PARK_Cemetery Maintenance Request,22,YES,02128,0104274000,1838,0.00523826876123454,1.58814413975766e-06
68,American Legion Playground,City of Boston,A97/LWCF/UPARR/PARC,3,East Boston,3.3805977,25 Glendon Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,009,PARK_Maintenance_Region 1,9,YES,02128,0100312000,1924,0.00493224010617689,1.49552091019671e-06
69,Prescott Square,City of Boston,A97,1,East Boston,0.27470857,2 Prescott Street,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,,BPRD,245,PARK_Maintenance_Region 1,245,YES,02128,0103200000,0,0.00162635250487478,1.21524941919575e-07
70,Putnam Square,City of Boston,A97,1,East Boston,0.26683758,70 Putnam Street,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,,BPRD,249,PARK_Maintenance_Region 1,249,YES,02128,0103148000,0,0.00163417138728481,1.18041614856573e-07
71,Paris Street Playground,City of Boston,A97,3,East Boston,1.28144947,115 Paris Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,226,PARK_Maintenance_Region 1,226,YES,02128,0105745000,1912,0.0035410774463926,5.66806439641562e-07
72,Brophy Park,City of Boston,A97/LWCF,3,East Boston,0.78252588,192 Webster Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Belmont Square,BPRD,033,PARK_Maintenance_Region 1,33,YES,02128,0104724000,0,0.0024602890423154,3.46087955938654e-07
73,Sumner & Lamson Street Playground,City of Boston,A97,3,East Boston,0.47865985,430 Sumner Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,296,PARK_Maintenance_Region 1,296,YES,02128,0105041000,1955,0.0020560735024581,2.1169863634078e-07
74,Condor Street Beach I,City of Boston,A97/LWCF/Ch91/WPA/AUL,6,East Boston,2.74385229,300 Condor St.,Open Space District,Urban Wilds,BCC,BPRD,X,X,,BCC,,PARK_Maintenance_Region 1,1001,YES,02128,"0103711000,0103711001",0,0.00659603215737351,1.21385384056274e-06
75,East Boston Greenway,City of Boston,A97/WPA,2,East Boston,3.50179329,44 Marginal Street,Residential District,"Parkways, Reservations & Beaches",BPRD,BPRD,X,X,Mary Ellen Welch Greenway,BPRD,097,PARK_Maintenance_Region 1,97,YES,02128,"0103918002,0103920055,0105346060,0103918055,0105381055,0105346050,0105381060",0,0.0173346239394491,1.54882998964606e-06
76,Symphony Community Park,City of Boston,A97,3,Fenway/Longwood,0.47762031,39 Edgerly Road,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Morville Park,BPRD,298,PARK_Maintenance_Region 3,298,YES,02115,0401439000,0,0.00238144133449259,2.11168314996071e-07
77,Edgerly Road Playground,City of Boston,A97,3,Fenway/Longwood,0.12319958,6 Edgerly Road,Special District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,099,PARK_Maintenance_Region 3,99,YES,02115,0401438000,1991,0.000941113140385055,5.44708207504568e-08
78,Commonwealth Avenue Mall II,City of Boston,A97/LWCF,1,Fenway/Longwood,0.97100607,"Commonwealth Ave btwn Charlesgate West & Kenmore St, nr Kenmore T Station",Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Commonwealth Ave Mall (west of Charlesgate),BPRD,063,PARK_Maintenance_Region 1,63,YES,02215,0503893500,0,0.00431786944919769,4.29334409101253e-07
79,Stony Brook Sewer Easement,Private,Sewer Easement,1,Fenway/Longwood,0.31277237, ,Residential District,"Malls, Squares & Plazas",Private,Private,N,X,Forsyth School Path,BWSC,,INFO_Reallocation From Dept,7015,YES,02115,,0,0.00188167699978011,1.3827697552377e-07
80,Gallops Island,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Harbor Islands,25.09617342, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR,NULL,X,X, ,,,INFO_Reallocation From Dept,3007,YES, ,,0,0.0180988391367072,1.10925458072809e-05
81,Lovells Island,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Harbor Islands,60.96033399, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR,NULL,X,X,,,,INFO_Reallocation From Dept,3008,YES, ,,0,0.0292897233919246,2.69458292113407e-05
82,Georges Island,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Harbor Islands,40.45544066, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR,NULL,X,X,,,,INFO_Reallocation From Dept,3009,YES, ,,0,0.0179835823455342,1.78795149089922e-05
83,Thompson Island,Private,A97/CR,2,Harbor Islands,169.88699023,"Boston Harbor, west of Harbor Point, Dorchester",Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR/NPS,Private,X,L,,,,INFO_Reallocation From Dept,7016,YES, ,,0,0.0516875133271695,7.5077077272261e-05
84,Connell Fields/Hickey Courts,Commonwealth of Massachusetts,A97,3,Hyde Park,16.78363393, ,Residential District,"Parks, Playgrounds & Athletic Fields",DCR,NULL,X,X,Smith Pond Playground,,,INFO_Reallocation From Dept,3017,YES,02136,,0,0.0126142122224458,7.41019603328219e-06
85,Weider Park,Commonwealth of Massachusetts,A97,3,Hyde Park,6.88373071, ,Residential District,"Parks, Playgrounds & Athletic Fields",DCR,NULL,X,X,Sherrin&Dale St.,,,INFO_Reallocation From Dept,3018,YES,02136,,0,0.00740479604888935,3.03995429154104e-06
86,Monterey Hilltop I,City of Boston,A97,6,Hyde Park,6.67237544,700 Beechmont Street,Residential District,Urban Wilds,BCC,BPRD,X,X,Beechmont Footpath,BCC,,PARK_Maintenance_Region 4,1002,YES,"02136, 02131","1808518018,1808518016,1808518015,1808518013,1808518012,1808518022,1808518019,1808518014,1808518023,1808518020,1808518024,1808585002,1808518021,1808518017,1808527000,1808525004,1808516000,1808585006,1808525002,1808526003,1808585007,1808526002,1808585005,1808585001,1808526001,1808525003",0,0.0157480893844173,2.94660801150081e-06
87,Sherrin Woods I,City of Boston,LWCF/A97/WPA,6,Hyde Park,23.948824,1 Marston Street,Residential District,Urban Wilds,BCC,BPRD,X,X,,BCC,,PARK_Maintenance_Ground Maintenance,1003,YES,02136,"1808199001,1808200000",0,0.016606551748816,1.05755761926604e-05
88,Doyle Playground,Commonwealth of Massachusetts,A97,3,Hyde Park,0.94494899, ,Residential District,"Parks, Playgrounds & Athletic Fields",DCR,NULL,X,X,,,,INFO_Reallocation From Dept,3019,YES,02136,,0,0.00416702646158909,4.17238926081806e-07
