,census_tract,Total population in occupied housing units:,Owner_occupied,Owner_occupied_Moved in 1999 or earlier,Renter_occupied,Renter_occupied_Moved in 1999 or earlier,year,percent_owners,percent_renters,percent_old_owners,percent_old_renters,renters_owners_ratio,old_renters_owners_ratio
196,708.0,3436,959,378,2477,355,2010,0.2791036088474971,0.7208963911525029,0.39416058394160586,0.1526039563988696,0.3871618893823173,1.064788732394366
178,708.0,3531,996,273,2535,305,2011,0.2820730671197961,0.7179269328802039,0.2740963855421687,0.1076923076923077,0.39289940828402364,0.8950819672131147
160,708.0,3737,955,251,2782,470,2012,0.25555258228525557,0.7444474177147444,0.2628272251308901,0.09022286125089864,0.3432782171099928,0.5340425531914894
142,708.0,3947,1127,257,2820,497,2013,0.285533316442868,0.714466683557132,0.22803904170363798,0.09113475177304965,0.399645390070922,0.5171026156941649
124,708.0,3643,1318,417,2325,373,2014,0.36178973373593193,0.6382102662640681,0.3163884673748103,0.17935483870967742,0.5668817204301075,1.1179624664879357
106,708.0,3662,1267,283,2395,352,2015,0.3459858001092299,0.65401419989077,0.22336227308603,0.11816283924843424,0.5290187891440501,0.8039772727272727
88,708.0,3508,1216,225,2292,343,2016,0.346636259977195,0.6533637400228051,0.18503289473684212,0.09816753926701571,0.5305410122164049,0.6559766763848397
70,708.0,3394,1216,243,2178,287,2017,0.3582793164407778,0.6417206835592222,0.19983552631578946,0.1115702479338843,0.5583103764921947,0.8466898954703833
54,708.0,3519,1132,230,2387,112,2018,0.32168229610684856,0.6783177038931515,0.20318021201413428,0.09635525764558023,0.47423544197737744,2.0535714285714284
36,708.0,3539,1137,100,2402,151,2019,0.3212771969482905,0.6787228030517095,0.08795074758135445,0.041631973355537054,0.4733555370524563,0.6622516556291391
197,709.0,2955,1027,218,1928,287,2010,0.3475465313028765,0.6524534686971235,0.21226874391431352,0.11307053941908714,0.5326763485477178,0.759581881533101
179,709.0,3203,1085,254,2118,259,2011,0.3387449266312832,0.6612550733687168,0.23410138248847925,0.11992445703493862,0.512275731822474,0.9806949806949807
161,709.0,2955,979,286,1976,259,2012,0.33130287648054146,0.6686971235194585,0.29213483146067415,0.14473684210526316,0.49544534412955465,1.1042471042471043
143,709.0,3312,998,259,2314,274,2013,0.30132850241545894,0.6986714975845411,0.2595190380761523,0.11192739844425238,0.4312878133102852,0.9452554744525548
125,709.0,3176,958,224,2218,293,2014,0.30163727959697734,0.6983627204030227,0.23382045929018788,0.10099188458070334,0.43192064923354373,0.764505119453925
107,709.0,3121,647,73,2474,342,2015,0.20730535084908683,0.7926946491509131,0.11282843894899536,0.02950687146321746,0.261519805982215,0.2134502923976608
89,709.0,3121,730,116,2391,351,2016,0.2338993912207626,0.7661006087792375,0.1589041095890411,0.04851526557925554,0.3053115851108323,0.33048433048433046
71,709.0,2933,956,157,1977,187,2017,0.325946130242073,0.674053869757927,0.16422594142259414,0.07941325240263025,0.48356095093576124,0.839572192513369
55,709.0,2775,777,132,1998,280,2018,0.28,0.72,0.16988416988416988,0.06606606606606606,0.3888888888888889,0.4714285714285714
