"Label (Grouping)","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Percent","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"    Moved in 1990 to 1999","254","±90","20.4%","±7.2"
"    Moved in 1980 to 1989","98","±72","7.9%","±5.8"
"    Moved in 1970 to 1979","49","±40","3.9%","±3.2"
"    Moved in 1969 or earlier","0","±12","0.0%","±2.8"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","1,246","±89","1,246","(X)"
"    No vehicles available","825","±128","66.2%","±9.1"
"    1 vehicle available","384","±111","30.8%","±8.7"
"    2 vehicles available","31","±24","2.5%","±1.9"
"    3 or more vehicles available","6","±11","0.5%","±0.8"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","1,246","±89","1,246","(X)"
"    Utility gas","557","±124","44.7%","±9.6"
"    Bottled, tank, or LP gas","21","±23","1.7%","±1.9"
"    Electricity","527","±121","42.3%","±9.2"
"    Fuel oil, kerosene, etc.","108","±66","8.7%","±5.2"
"    Coal or coke","0","±12","0.0%","±2.8"
"    Wood","0","±12","0.0%","±2.8"
"    Solar energy","0","±12","0.0%","±2.8"
"    Other fuel","33","±40","2.6%","±3.2"
"    No fuel used","0","±12","0.0%","±2.8"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","1,246","±89","1,246","(X)"
"    Lacking complete plumbing facilities","42","±65","3.4%","±5.2"
"    Lacking complete kitchen facilities","54","±67","4.3%","±5.3"
"    No telephone service available","38","±58","3.0%","±4.7"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","1,246","±89","1,246","(X)"
"    1.00 or less","1,183","±100","94.9%","±4.8"
"    1.01 to 1.50","0","±12","0.0%","±2.8"
"    1.51 or more","63","±61","5.1%","±4.8"
"VALUE","","","",""
"    Owner-occupied units","179","±70","179","(X)"
"    Less than $50,000","0","±12","0.0%","±17.7"
"    $50,000 to $99,999","0","±12","0.0%","±17.7"
"    $100,000 to $149,999","0","±12","0.0%","±17.7"
"    $150,000 to $199,999","46","±37","25.7%","±20.9"
"    $200,000 to $299,999","45","±44","25.1%","±21.9"
"    $300,000 to $499,999","88","±53","49.2%","±23.2"
"    $500,000 to $999,999","0","±12","0.0%","±17.7"
"    $1,000,000 or more","0","±12","0.0%","±17.7"
"    Median (dollars)","296,300","±84,484","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","179","±70","179","(X)"
"    Housing units with a mortgage","174","±71","97.2%","±4.7"
"    Housing units without a mortgage","5","±8","2.8%","±4.7"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","174","±71","174","(X)"
"    Less than $300","0","±12","0.0%","±18.1"
"    $300 to $499","0","±12","0.0%","±18.1"
"    $500 to $699","0","±12","0.0%","±18.1"
"    $700 to $999","11","±16","6.3%","±10.5"
"    $1,000 to $1,499","45","±30","25.9%","±16.2"
"    $1,500 to $1,999","36","±44","20.7%","±25.9"
"    $2,000 or more","82","±69","47.1%","±30.2"
"    Median (dollars)","1,861","±786","(X)","(X)"
"    Housing units without a mortgage","5","±8","5","(X)"
"    Less than $100","0","±12","0.0%","±100.0"
"    $100 to $199","0","±12","0.0%","±100.0"
"    $200 to $299","0","±12","0.0%","±100.0"
"    $300 to $399","0","±12","0.0%","±100.0"
"    $400 or more","5","±8","100.0%","±100.0"
"    Median (dollars)","-","**","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","174","±71","174","(X)"
"    Less than 20.0 percent","52","±41","29.9%","±25.6"
"    20.0 to 24.9 percent","0","±12","0.0%","±18.1"
"    25.0 to 29.9 percent","11","±17","6.3%","±10.5"
"    30.0 to 34.9 percent","34","±33","19.5%","±18.5"
"    35.0 percent or more","77","±67","44.3%","±30.3"
"    Not computed","0","±12","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","5","±8","5","(X)"
"    Less than 10.0 percent","0","±12","0.0%","±100.0"
"    10.0 to 14.9 percent","0","±12","0.0%","±100.0"
"    15.0 to 19.9 percent","0","±12","0.0%","±100.0"
"    20.0 to 24.9 percent","0","±12","0.0%","±100.0"
"    25.0 to 29.9 percent","0","±12","0.0%","±100.0"
"    30.0 to 34.9 percent","0","±12","0.0%","±100.0"
"    35.0 percent or more","5","±8","100.0%","±100.0"
"    Not computed","0","±12","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","1,067","±106","1,067","(X)"
"    Less than $200","94","±59","8.8%","±5.4"
"    $200 to $299","289","±98","27.1%","±8.7"
"    $300 to $499","159","±73","14.9%","±6.8"
"    $500 to $749","125","±70","11.7%","±6.4"
"    $750 to $999","191","±76","17.9%","±7.1"
"    $1,000 to $1,499","129","±83","12.1%","±7.7"
"    $1,500 or more","80","±57","7.5%","±5.2"
"    Median (dollars)","444","±251","(X)","(X)"
"    No rent paid","0","±12","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","991","±112","991","(X)"
"    Less than 15.0 percent","93","±62","9.4%","±6.0"
"    15.0 to 19.9 percent","95","±51","9.6%","±5.0"
"    20.0 to 24.9 percent","95","±57","9.6%","±5.6"
"    25.0 to 29.9 percent","148","±69","14.9%","±6.9"
"    30.0 to 34.9 percent","147","±63","14.8%","±6.2"
"    35.0 percent or more","413","±94","41.7%","±8.6"
"    Not computed","76","±67","(X)","(X)"
