"Label (Grouping)","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Percent","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","1,343","±49","1,343","(X)"
"    Occupied housing units","1,246","±89","92.8%","±5.2"
"    Vacant housing units","97","±68","7.2%","±5.2"
"    Homeowner vacancy rate","0.0","±17.7","(X)","(X)"
"    Rental vacancy rate","4.7","±4.1","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","1,343","±49","1,343","(X)"
"    1-unit, detached","0","±12","0.0%","±2.6"
"    1-unit, attached","290","±90","21.6%","±7.0"
"    2 units","94","±69","7.0%","±5.2"
"    3 or 4 units","71","±43","5.3%","±3.2"
"    5 to 9 units","87","±43","6.5%","±3.2"
"    10 to 19 units","37","±36","2.8%","±2.7"
"    20 or more units","764","±127","56.9%","±8.7"
"    Mobile home","0","±12","0.0%","±2.6"
"    Boat, RV, van, etc.","0","±12","0.0%","±2.6"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","1,343","±49","1,343","(X)"
"    Built 2010 or later","0","±12","0.0%","±2.6"
"    Built 2000 to 2009","202","±75","15.0%","±5.6"
"    Built 1990 to 1999","169","±72","12.6%","±5.3"
"    Built 1980 to 1989","183","±78","13.6%","±5.9"
"    Built 1970 to 1979","279","±88","20.8%","±6.6"
"    Built 1960 to 1969","140","±69","10.4%","±5.1"
"    Built 1950 to 1959","48","±38","3.6%","±2.9"
"    Built 1940 to 1949","0","±12","0.0%","±2.6"
"    Built 1939 or earlier","322","±113","24.0%","±8.2"
"ROOMS","","","",""
"    Total housing units","1,343","±49","1,343","(X)"
"    1 room","240","±84","17.9%","±6.1"
"    2 rooms","79","±37","5.9%","±2.8"
"    3 rooms","318","±90","23.7%","±6.8"
"    4 rooms","309","±98","23.0%","±7.4"
"    5 rooms","256","±88","19.1%","±6.4"
"    6 rooms","107","±54","8.0%","±4.1"
"    7 rooms","26","±24","1.9%","±1.8"
"    8 rooms","0","±12","0.0%","±2.6"
"    9 rooms or more","8","±13","0.6%","±1.0"
"    Median rooms","3.6","±0.3","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","1,343","±49","1,343","(X)"
"    No bedroom","251","±82","18.7%","±6.0"
"    1 bedroom","327","±91","24.3%","±6.8"
"    2 bedrooms","530","±114","39.5%","±8.5"
"    3 bedrooms","190","±74","14.1%","±5.6"
"    4 bedrooms","26","±20","1.9%","±1.5"
"    5 or more bedrooms","19","±24","1.4%","±1.8"
"HOUSING TENURE","","","",""
"    Occupied housing units","1,246","±89","1,246","(X)"
"    Owner-occupied","179","±70","14.4%","±5.6"
"    Renter-occupied","1,067","±106","85.6%","±5.6"
"    Average household size of owner-occupied unit","1.56","±0.47","(X)","(X)"
"    Average household size of renter-occupied unit","2.05","±0.21","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","1,246","±89","1,246","(X)"
"    Moved in 2010 or later","180","±85","14.4%","±6.8"
"    Moved in 2000 to 2009","665","±123","53.4%","±9.0"
