,census_tract,Total population in occupied housing units:,Owner_occupied,Owner_occupied_Moved in 1999 or earlier,Renter_occupied,Renter_occupied_Moved in 1999 or earlier,year,percent_owners,percent_renters,percent_old_owners,percent_old_renters,renters_owners_ratio,old_renters_owners_ratio
196,708,3436,959,378,2477,355,2010,0.110011641443539,0.10331781140861467,0.39416058394160586,0.1526039563988696,0.3871618893823173,1.064788732394366
178,708,3531,996,273,2535,305,2011,0.07731520815632965,0.08637779665817048,0.2740963855421687,0.1076923076923077,0.39289940828402364,0.8950819672131147
160,708,3737,955,251,2782,470,2012,0.06716617607706717,0.12576933369012577,0.2628272251308901,0.09022286125089864,0.3432782171099928,0.5340425531914894
142,708,3947,1127,257,2820,497,2013,0.06511274385609324,0.12591841905244489,0.22803904170363798,0.09113475177304965,0.399645390070922,0.5171026156941649
124,708,3643,1318,417,2325,373,2014,0.11446609936865221,0.10238814164150425,0.3163884673748103,0.17935483870967742,0.5668817204301075,1.1179624664879357
106,708,3662,1267,283,2395,352,2015,0.0772801747678864,0.0961223375204806,0.22336227308603,0.11816283924843424,0.5290187891440501,0.8039772727272727
88,708,3508,1216,225,2292,343,2016,0.06413911060433296,0.09777651083238312,0.18503289473684212,0.09816753926701571,0.5305410122164049,0.6559766763848397
70,708,3394,1216,243,2178,287,2017,0.07159693576900412,0.08456098998232174,0.19983552631578946,0.1115702479338843,0.5583103764921947,0.8466898954703833
54,708,3519,1132,230,2387,112,2018,0.06535947712418301,0.031827223643080424,0.20318021201413428,0.09635525764558023,0.47423544197737744,2.0535714285714284
36,708,3539,1137,100,2402,151,2019,0.028256569652444195,0.042667420175190734,0.08795074758135445,0.041631973355537054,0.4733555370524563,0.6622516556291391
197,709,2955,1027,218,1928,287,2010,0.07377326565143824,0.09712351945854483,0.21226874391431352,0.11307053941908714,0.5326763485477178,0.759581881533101
179,709,3203,1085,254,2118,259,2011,0.07930065563534186,0.08086169216359662,0.23410138248847925,0.11992445703493862,0.512275731822474,0.9806949806949807
161,709,2955,979,286,1976,259,2012,0.09678510998307953,0.08764805414551607,0.29213483146067415,0.14473684210526316,0.49544534412955465,1.1042471042471043
143,709,3312,998,259,2314,274,2013,0.07820048309178744,0.08272946859903382,0.2595190380761523,0.11192739844425238,0.4312878133102852,0.9452554744525548
125,709,3176,958,224,2218,293,2014,0.07052896725440806,0.0922544080604534,0.23382045929018788,0.10099188458070334,0.43192064923354373,0.764505119453925
107,709,3121,647,73,2474,342,2015,0.023389939122076257,0.10958026273630246,0.11282843894899536,0.02950687146321746,0.261519805982215,0.2134502923976608
89,709,3121,730,116,2391,351,2016,0.03716757449535405,0.112463953860942,0.1589041095890411,0.04851526557925554,0.3053115851108323,0.33048433048433046
71,709,2933,956,157,1977,187,2017,0.053528810092055915,0.06375724514149335,0.16422594142259414,0.07941325240263025,0.48356095093576124,0.839572192513369
55,709,2775,777,132,1998,280,2018,0.04756756756756757,0.1009009009009009,0.16988416988416988,0.06606606606606606,0.3888888888888889,0.4714285714285714
37,709,3098,1146,275,1952,165,2019,0.08876694641704326,0.05326016785022595,0.2399650959860384,0.1408811475409836,0.5870901639344263,1.6666666666666667
198,801,1359,664,534,695,78,2010,0.39293598233995586,0.05739514348785872,0.8042168674698795,0.7683453237410072,0.9553956834532374,6.846153846153846
180,801,1690,772,679,918,131,2011,0.4017751479289941,0.07751479289940828,0.8795336787564767,0.7396514161220044,0.840958605664488,5.183206106870229
162,801,1537,607,528,930,143,2012,0.3435263500325309,0.09303838646714378,0.8698517298187809,0.567741935483871,0.6526881720430108,3.6923076923076925
144,801,1592,700,612,892,170,2013,0.3844221105527638,0.10678391959798995,0.8742857142857143,0.6860986547085202,0.7847533632286996,3.6
126,801,1570,547,317,1023,143,2014,0.20191082802547772,0.0910828025477707,0.5795246800731262,0.3098729227761486,0.5347018572825024,2.2167832167832167
108,801,1618,485,204,1133,131,2015,0.1260815822002472,0.08096415327564895,0.42061855670103093,0.18005295675198588,0.42806707855251547,1.5572519083969465
90,801,1684,603,267,1081,75,2016,0.15855106888361045,0.04453681710213777,0.4427860696517413,0.24699352451433856,0.5578168362627197,3.56
72,801,1748,587,276,1161,113,2017,0.15789473684210525,0.06464530892448513,0.47018739352640543,0.23772609819121446,0.5055986218776917,2.4424778761061945
38,801,1809,496,291,1313,127,2019,0.16086235489220563,0.07020453289110005,0.5866935483870968,0.22162985529322163,0.37776085300837775,2.2913385826771653
20,801,1845,633,400,1212,139,2020,0.21680216802168023,0.07533875338753387,0.631911532385466,0.33003300330033003,0.5222772277227723,2.8776978417266186
2,801,1658,443,249,1215,141,2021,0.15018094089264172,0.0850422195416164,0.5620767494356659,0.20493827160493827,0.36460905349794237,1.7659574468085106
199,803,1648,250,118,1398,436,2010,0.07160194174757281,0.2645631067961165,0.472,0.0844062947067239,0.17882689556509299,0.2706422018348624
181,803,1699,255,77,1444,366,2011,0.04532077692760447,0.21542083578575633,0.30196078431372547,0.05332409972299169,0.17659279778393353,0.2103825136612022
163,803,1656,328,119,1328,189,2012,0.07185990338164251,0.11413043478260869,0.3628048780487805,0.08960843373493976,0.2469879518072289,0.6296296296296297
145,803,1826,239,98,1587,185,2013,0.05366922234392114,0.10131434830230011,0.4100418410041841,0.06175173282923756,0.15059861373660996,0.5297297297297298
127,803,2027,205,51,1822,218,2014,0.025160335471139616,0.10754810064134189,0.24878048780487805,0.027991218441273325,0.11251372118551042,0.23394495412844038
109,803,2049,263,71,1786,141,2015,0.03465104929233773,0.06881405563689605,0.26996197718631176,0.03975363941769317,0.14725643896976484,0.5035460992907801
91,803,2054,272,87,1782,138,2016,0.04235637779941578,0.06718597857838364,0.31985294117647056,0.04882154882154882,0.1526374859708193,0.6304347826086957
73,803,2321,461,92,1860,128,2017,0.03963808703145196,0.055148642826367944,0.19956616052060738,0.04946236559139785,0.2478494623655914,0.71875
56,803,2067,489,170,1578,147,2018,0.0822447992259313,0.07111756168359942,0.3476482617586912,0.10773130544993663,0.30988593155893535,1.1564625850340136
39,803,2185,565,168,1620,182,2019,0.07688787185354691,0.08329519450800915,0.2973451327433628,0.1037037037037037,0.3487654320987654,0.9230769230769231
21,803,2178,578,202,1600,147,2020,0.09274563820018365,0.0674931129476584,0.3494809688581315,0.12625,0.36125,1.3741496598639455
3,803,2371,516,75,1855,170,2021,0.03163222269084774,0.07169970476592155,0.14534883720930233,0.04043126684636118,0.27816711590296495,0.4411764705882353
201,805,2744,166,166,2578,613,2010,0.060495626822157436,0.22339650145772594,1.0,0.0643910007757952,0.0643910007757952,0.2707993474714519
183,805,3061,134,134,2927,511,2011,0.0437765436131983,0.16693890885331591,1.0,0.04578066279467031,0.04578066279467031,0.2622309197651663
165,805,2623,46,25,2577,464,2012,0.009531071292413268,0.17689668318719023,0.5434782608695652,0.009701202949165696,0.01785021342646488,0.05387931034482758
147,805,3163,82,30,3081,471,2013,0.0094846664558963,0.14890926335757193,0.36585365853658536,0.009737098344693282,0.02661473547549497,0.06369426751592357
129,805,3068,103,34,2965,557,2014,0.01108213820078227,0.18155149934810952,0.3300970873786408,0.011467116357504217,0.03473861720067454,0.06104129263913824
111,805,3280,148,78,3132,666,2015,0.02378048780487805,0.2030487804878049,0.527027027027027,0.02490421455938697,0.04725415070242656,0.11711711711711711
93,805,3189,147,54,3042,557,2016,0.016933207902163686,0.1746629037315773,0.3673469387755102,0.01775147928994083,0.048323471400394474,0.09694793536804308
75,805,3116,187,43,2929,552,2017,0.0137997432605905,0.17715019255455713,0.22994652406417113,0.014680778422669852,0.06384431546602937,0.07789855072463768
57,805,3205,139,41,3066,491,2018,0.012792511700468018,0.153198127925117,0.2949640287769784,0.013372472276581865,0.045335942596216566,0.0835030549898167
41,805,3593,114,31,3479,459,2019,0.008627887559142778,0.12774839966601725,0.2719298245614035,0.008910606496119574,0.03276803679218166,0.06753812636165578
23,805,3448,62,0,3386,366,2020,0.0,0.10614849187935035,0.0,0.0,0.01831069108092144,0.0
5,805,3583,89,0,3494,309,2021,0.0,0.08624058051911805,0.0,0.0,0.025472238122495706,0.0
203,813,4789,562,146,4227,1213,2010,0.03048653163499687,0.2532887868030904,0.2597864768683274,0.03453986278684646,0.13295481428909392,0.12036273701566365
185,813,4920,449,106,4471,811,2011,0.021544715447154472,0.16483739837398373,0.23608017817371937,0.023708342652650413,0.10042496085886826,0.13070283600493218
167,813,4934,301,152,4633,752,2012,0.030806647750304013,0.15241183623834617,0.5049833887043189,0.032808115691776385,0.06496870278437297,0.20212765957446807
149,813,5197,353,94,4844,739,2013,0.018087358091206464,0.14219742158937848,0.26628895184135976,0.019405450041288193,0.07287365813377374,0.12719891745602166
131,813,5402,429,105,4973,702,2014,0.019437245464642726,0.12995186967789707,0.24475524475524477,0.021114015684697365,0.08626583551176352,0.14957264957264957
113,813,5289,450,71,4839,848,2015,0.013424087729249386,0.16033276611835887,0.15777777777777777,0.014672452986154164,0.0929944203347799,0.08372641509433962
95,813,5149,745,181,4404,900,2016,0.03515245678772577,0.1747912215964265,0.24295302013422818,0.04109900090826522,0.16916439600363306,0.2011111111111111
77,813,5425,630,171,4795,819,2017,0.03152073732718894,0.15096774193548387,0.2714285714285714,0.035662148070907194,0.13138686131386862,0.2087912087912088
59,813,5179,454,153,4725,593,2018,0.02954238269936281,0.1145008688936088,0.3370044052863436,0.03238095238095238,0.09608465608465608,0.2580101180438449
43,813,4739,576,388,4163,790,2019,0.08187381304072588,0.16670183583034395,0.6736111111111112,0.09320201777564256,0.13836175834734565,0.4911392405063291
204,814,2943,1327,742,1616,302,2010,0.2521236833163439,0.10261637784573564,0.5591559909570459,0.4591584158415842,0.8211633663366337,2.456953642384106
186,814,2750,1083,599,1667,333,2011,0.21781818181818183,0.1210909090909091,0.5530932594644506,0.3593281343731254,0.6496700659868027,1.7987987987987988
168,814,2680,821,492,1859,304,2012,0.18358208955223881,0.11343283582089553,0.5992691839220463,0.26465841850457233,0.44163528778913397,1.618421052631579
150,814,2916,800,503,2116,309,2013,0.1724965706447188,0.10596707818930041,0.62875,0.23771266540642721,0.3780718336483932,1.627831715210356
132,814,2898,855,380,2043,333,2014,0.13112491373360938,0.11490683229813664,0.4444444444444444,0.1860009789525208,0.4185022026431718,1.1411411411411412
114,814,2842,695,269,2147,331,2015,0.09465165376495425,0.11646727656579874,0.38705035971223023,0.12529110386585934,0.32370749883558453,0.8126888217522659
96,814,2734,727,238,2007,241,2016,0.08705193855157278,0.08814923189465984,0.32737276478679506,0.11858495266567015,0.36223218734429496,0.9875518672199171
78,814,2900,832,278,2068,230,2017,0.09586206896551724,0.07931034482758621,0.33413461538461536,0.1344294003868472,0.402321083172147,1.208695652173913
60,814,2921,1045,358,1876,233,2018,0.12256076686066415,0.07976720301266689,0.34258373205741627,0.1908315565031983,0.5570362473347548,1.536480686695279
44,814,2905,1231,496,1674,145,2019,0.17074010327022376,0.04991394148020654,0.40292445166531277,0.2962962962962963,0.7353643966547192,3.420689655172414
26,814,2978,1267,585,1711,45,2020,0.1964405641370047,0.01511081262592344,0.4617205998421468,0.3419053185271771,0.7405026300409118,13.0
8,814,3241,1257,660,1984,108,2021,0.20364085158901574,0.03332304844183894,0.5250596658711217,0.3326612903225806,0.6335685483870968,6.111111111111111
205,815,1994,588,234,1406,357,2010,0.11735205616850551,0.17903711133400202,0.3979591836734694,0.16642958748221906,0.4182076813655761,0.6554621848739496
187,815,1949,588,192,1361,385,2011,0.09851205746536686,0.19753719856336582,0.32653061224489793,0.14107274063188832,0.432035268185158,0.4987012987012987
169,815,2000,644,165,1356,246,2012,0.0825,0.123,0.2562111801242236,0.12168141592920353,0.4749262536873156,0.6707317073170732
151,815,2068,659,174,1409,260,2013,0.08413926499032882,0.12572533849129594,0.26403641881638845,0.12349183818310859,0.46770759403832507,0.6692307692307692
133,815,2144,501,119,1643,294,2014,0.05550373134328358,0.13712686567164178,0.2375249500998004,0.07242848447961046,0.3049300060864273,0.40476190476190477
115,815,2139,599,212,1540,201,2015,0.09911173445535297,0.09396914446002805,0.35392320534223703,0.13766233766233765,0.38896103896103895,1.054726368159204
97,815,2197,657,169,1540,196,2016,0.07692307692307693,0.08921256258534364,0.2572298325722983,0.10974025974025974,0.4266233766233766,0.8622448979591837
79,815,2408,840,367,1568,165,2017,0.15240863787375417,0.06852159468438539,0.4369047619047619,0.23405612244897958,0.5357142857142857,2.224242424242424
61,815,2566,829,319,1737,305,2018,0.12431800467653936,0.11886204208885424,0.3848009650180941,0.18364997121473806,0.47725964306275187,1.0459016393442624
45,815,2754,1019,440,1735,294,2019,0.15976761074800291,0.10675381263616558,0.43179587831207067,0.25360230547550433,0.5873198847262248,1.4965986394557824
27,815,2908,1256,628,1652,256,2020,0.21595598349381018,0.08803301237964237,0.5,0.3801452784503632,0.7602905569007264,2.453125
9,815,2827,1011,555,1816,301,2021,0.19632118853908737,0.10647329324372126,0.5489614243323442,0.30561674008810574,0.5567180616740088,1.8438538205980066
206,817,3446,1066,599,2380,582,2010,0.1738247243180499,0.1688914683691236,0.5619136960600375,0.25168067226890756,0.44789915966386556,1.029209621993127
188,817,3667,889,516,2778,778,2011,0.14071448050177257,0.21216253067902918,0.5804274465691789,0.1857451403887689,0.32001439884809213,0.6632390745501285
170,817,3410,821,432,2589,804,2012,0.12668621700879765,0.23577712609970675,0.5261875761266748,0.16685979142526072,0.317110853611433,0.5373134328358209
152,817,3232,551,340,2681,820,2013,0.1051980198019802,0.2537128712871287,0.617059891107078,0.1268183513614323,0.20552032823573294,0.4146341463414634
134,817,3392,793,543,2599,623,2014,0.16008254716981132,0.18366745283018868,0.6847414880201765,0.20892651019622932,0.3051173528280108,0.8715890850722311
116,817,3291,837,544,2454,655,2015,0.16529930112427835,0.19902765116985718,0.6499402628434886,0.22167889160554197,0.3410757946210269,0.8305343511450382
98,817,3356,751,519,2605,676,2016,0.15464839094159713,0.20143027413587605,0.6910785619174434,0.19923224568138195,0.2882917466410749,0.7677514792899408
80,817,3833,1065,563,2768,688,2017,0.14688233759457345,0.17949386903208975,0.5286384976525822,0.20339595375722544,0.3847543352601156,0.8183139534883721
62,817,4101,1120,449,2981,727,2018,0.10948549134357474,0.1772738356498415,0.40089285714285716,0.15062059711506207,0.37571284803757127,0.6176066024759285
46,817,3941,901,286,3040,863,2019,0.07257041360060898,0.21897995432631312,0.3174250832408435,0.09407894736842105,0.29638157894736844,0.3314020857473928
28,817,4189,1147,373,3042,909,2020,0.08904273096204345,0.21699689663404154,0.32519616390584133,0.12261669953977647,0.37705456936226167,0.41034103410341033
10,817,4341,1133,316,3208,633,2021,0.0727942870306381,0.14581893572909468,0.27890556045895853,0.09850374064837905,0.3531795511221945,0.49921011058451814
207,818,2793,1329,800,1464,308,2010,0.2864303616183315,0.11027568922305764,0.6019563581640331,0.546448087431694,0.9077868852459017,2.5974025974025974
189,818,2793,1144,685,1649,228,2011,0.24525599713569637,0.08163265306122448,0.5987762237762237,0.41540327471194666,0.6937537901758641,3.004385964912281
171,818,3137,1166,683,1971,254,2012,0.2177239400701307,0.08096907873764743,0.5857632933104632,0.3465246067985794,0.5915778792491121,2.688976377952756
153,818,3224,1084,595,2140,282,2013,0.18455334987593053,0.08746898263027296,0.5488929889298892,0.2780373831775701,0.5065420560747663,2.1099290780141846
