,year,Total,Median income (dollars),Mean income (dollars),median_income_difference,mean_income_difference,census_tract
0,2021,1980.0,33652.0,55348.0,0.017629804348483474,0.1067386522695461,901
1,2020,2002.0,33069.0,50010.0,-0.03292879075888288,-0.10528669827354861,901
2,2019,1822.0,34195.0,55895.0,0.045654700018347504,0.1855976243504083,901
3,2018,1815.0,32702.0,47145.0,0.07987980054816234,0.07654191309113328,901
4,2017,1803.0,30283.0,43793.0,0.06773147168746915,0.06438362823254909,901
5,2016,1786.0,28362.0,41144.0,-0.08341143392689784,-0.05726004170199116,901
6,2015,1807.0,30943.0,43643.0,-0.026276040027692113,0.0137511323778774,901
7,2014,1848.0,31778.0,43051.0,0.009755012551237648,-0.019250045562238017,901
8,2013,1836.0,31471.0,43896.0,-0.05586055860558606,-0.021445450086941015,901
9,2012,1840.0,33333.0,44858.0,-0.024009603841536616,-0.017758216733451574,901
10,2011,1838.0,34153.0,45669.0,0.1238606074566455,0.10629587461544052,901
11,2010,1709.0,30389.0,41281.0,,,901
12,2021,736.0,39773.0,62675.0,0.39740706907455553,0.6776412644878075,902
13,2020,730.0,28462.0,37359.0,0.06380115866193235,-0.033627357148400115,902
14,2019,791.0,26755.0,38659.0,-0.12278688524590164,-0.07684409102848819,902
15,2018,812.0,30500.0,41877.0,0.1124484808695335,0.11922706863373958,902
16,2017,803.0,27417.0,37416.0,0.013754853022739879,-0.062020556530458765,902
17,2016,800.0,27045.0,39890.0,0.10694990176817289,0.11724176562850101,902
18,2015,814.0,24432.0,35704.0,0.05917544544153986,-0.09715268295149952,902
19,2014,822.0,23067.0,39546.0,0.039100860399117074,-0.04369695064445143,902
20,2013,806.0,22199.0,41353.0,0.060022920446948715,0.014125610025259337,902
21,2012,802.0,20942.0,40777.0,0.10903987713816661,0.3308420365535248,902
22,2011,776.0,18883.0,30640.0,0.17614450327000936,-0.021805063371963095,902
23,2010,706.0,16055.0,31323.0,,,902
24,2021,1123.0,33824.0,58420.0,0.04890377399448011,0.13008995067221202,903
25,2020,1135.0,32247.0,51695.0,0.04106537530266344,0.26048473617477813,903
26,2019,1209.0,30975.0,41012.0,0.021400778210116732,-0.06928401225462386,903
27,2018,1239.0,30326.0,44065.0,-0.017876805492583716,0.0948642134817502,903
28,2017,1263.0,30878.0,40247.0,0.0027278041176852633,-0.01013305787156595,903
29,2016,1289.0,30794.0,40659.0,0.200452206455637,0.06031919887341574,903
30,2015,1264.0,25652.0,38346.0,0.05689918009146718,-0.00750595299720468,903
31,2014,1248.0,24271.0,38636.0,-0.10932110091743119,-0.016445191181711727,903
32,2013,1094.0,27250.0,39282.0,0.02121121271173737,-0.01946982177624682,903
33,2012,1068.0,26684.0,40062.0,0.5633934848839934,0.22121627800640145,903
34,2011,967.0,17068.0,32805.0,0.03473779933313125,0.03515193588084945,903
35,2010,961.0,16495.0,31691.0,,,903
36,2021,1751.0,75972.0,111461.0,-0.13043677318926838,-0.006781201546933757,907
37,2020,1632.0,87368.0,112222.0,0.24197537884172518,0.2958361238770467,907
38,2019,1741.0,70346.0,86602.0,-0.0032447750619907898,0.0035226772346983706,907
39,2018,1755.0,70575.0,86298.0,0.1317713845857789,0.11389627487931435,907
40,2017,1749.0,62358.0,77474.0,-0.04465858777748839,0.06396945726214019,907
41,2016,1832.0,65273.0,72816.0,0.258032186566445,0.08249215811616395,907
42,2015,1822.0,51885.0,67267.0,0.004219327617241179,-0.010240866353751306,907
43,2014,1776.0,51667.0,67963.0,-0.048367192824120976,-0.027585812193272382,907
44,2013,1774.0,54293.0,69891.0,0.020660224837387674,0.03964240026180347,907
45,2012,1736.0,53194.0,67226.0,0.3713681713887958,0.1266864430924967,907
46,2011,1744.0,38789.0,59667.0,-0.07092215568862276,-0.05673770077146832,907
47,2010,1800.0,41750.0,63256.0,,,907
48,2021,1323.0,30373.0,52529.0,0.1825189799493868,0.15152245873249007,90901
49,2020,1326.0,25685.0,45617.0,0.0008962668537136622,-0.05888056776216707,90901
50,2019,1440.0,25662.0,48471.0,0.04798464491362764,0.08332029591220973,90901
51,2018,1447.0,24487.0,44743.0,-0.12658724497075188,-0.01618329338815717,90901
52,2017,1425.0,28036.0,45479.0,0.0166074407136123,0.01170111004827264,90901
53,2016,1461.0,27578.0,44953.0,0.034433608402100524,-0.04760593220338983,90901
54,2015,1437.0,26660.0,47200.0,0.07821726118256087,0.13409740743410462,90901
55,2014,1485.0,24726.0,41619.0,-0.07680244931486391,0.04031895215717642,90901
56,2013,1477.0,26783.0,40006.0,0.15324664140544264,0.07847418789594285,90901
57,2012,1472.0,23224.0,37095.0,-0.0900756180699761,-0.039860230361071565,90901
58,2011,1502.0,25523.0,38635.0,-0.16626923202561003,0.001166105208603265,90901
59,2010,1581.0,30613.0,38590.0,,,90901
60,2021,1432.0,90893.0,114861.0,-0.13287413781589566,0.021059275326245422,91001
61,2020,1354.0,104821.0,112492.0,0.10458818074523689,-0.013738503756827607,91001
62,2019,1347.0,94896.0,114059.0,-0.023462583353914546,-0.04726941646201908,91001
63,2018,1303.0,97176.0,119718.0,0.16308797127468583,0.20437008943392052,91001
64,2017,1354.0,83550.0,99403.0,0.12578319746681937,0.08827457849791986,91001
65,2016,1349.0,74215.0,91340.0,0.159609375,0.09315907894106946,91001
66,2015,1360.0,64000.0,83556.0,-0.033962264150943396,0.042547351084271205,91001
67,2014,1298.0,66250.0,80146.0,0.06369314259107621,0.054871869118285795,91001
68,2013,1288.0,62283.0,75977.0,0.05380437541241561,0.05123557572571049,91001
69,2012,1244.0,59103.0,72274.0,-0.07562013200287779,-0.1154491047278691,91001
70,2011,1255.0,63938.0,81707.0,0.07739489426236414,0.027657594204356796,91001
71,2010,1164.0,59345.0,79508.0,,,91001
72,2021,1913.0,108079.0,114038.0,0.2107385708044406,0.09029198615599365,911
73,2020,1963.0,89267.0,104594.0,0.050546062232264745,-0.003847692336996895,911
74,2019,1825.0,84972.0,104998.0,0.07441172379784289,0.09786904786800225,911
75,2018,1867.0,79087.0,95638.0,0.02047741935483871,0.011079395284913838,911
76,2017,1888.0,77500.0,94590.0,0.154132539091586,0.08039885323982593,911
77,2016,1883.0,67150.0,87551.0,0.07691567501683934,0.023784744553714467,911
78,2015,1815.0,62354.0,85517.0,0.013787272786394824,0.006769324951143133,911
79,2014,1703.0,61506.0,84942.0,-0.18188347964884277,-0.045048286096527224,911
80,2013,1694.0,75180.0,88949.0,0.38165511918107803,0.14214358171008873,911
81,2012,1591.0,54413.0,77879.0,-0.14905229575878895,-0.043737183973674196,911
82,2011,1560.0,63944.0,81441.0,0.03626875830551324,0.0617153584418632,911
83,2010,1544.0,61706.0,76707.0,,,911
84,2021,1237.0,71125.0,103719.0,-0.30114077407563894,-0.03125204315135665,912
85,2020,1241.0,101773.0,107065.0,0.16589149062915273,0.010790959385207983,912
86,2019,1209.0,87292.0,105922.0,-0.032968493818407406,0.04832787339542157,912
87,2018,1096.0,90268.0,101039.0,0.07782686567164179,0.048524848749001176,912
88,2017,1114.0,83750.0,96363.0,0.30289359054138143,0.2420793483024413,912
89,2016,1137.0,64280.0,77582.0,-0.038242863127655756,-0.022391915220705907,912
90,2015,1175.0,66836.0,79359.0,-0.05596203282578604,0.07326012279895053,912
91,2014,1126.0,70798.0,73942.0,0.042051191474956215,0.030292052168097203,912
92,2013,1126.0,67941.0,71768.0,0.04601859834955044,0.01471856575282424,912
93,2012,1053.0,64952.0,70727.0,-0.022734453756225268,-0.07697226753670473,912
94,2011,1055.0,66463.0,76625.0,0.23866410719943343,0.24696903122914937,912
95,2010,1044.0,53657.0,61449.0,,,912
96,2021,815.0,35078.0,62183.0,-0.18708720539500823,-0.02709849018227333,913
97,2020,843.0,43151.0,63915.0,0.05195026816187226,0.11690694626474443,913
98,2019,826.0,41020.0,57225.0,0.05858064516129032,0.028579131841466703,913
99,2018,808.0,38750.0,55635.0,0.2435416064952986,0.12002496325971856,913
100,2017,825.0,31161.0,49673.0,-0.13292336802270577,-0.010478296380405984,913
101,2016,854.0,35938.0,50199.0,0.008163379807557438,-0.0009552809122932713,913
102,2015,811.0,35647.0,50247.0,0.020760552087509307,-0.044025037575388594,913
103,2014,783.0,34922.0,52561.0,-0.01202365122924152,-0.00424362981907739,913
104,2013,751.0,35347.0,52785.0,0.11294080604534006,0.1354787359907071,913
105,2012,685.0,31760.0,46487.0,0.0348310579648757,0.10386341509747583,913
106,2011,649.0,30691.0,42113.0,0.007352217152985197,0.1539072775098641,913
107,2010,636.0,30467.0,36496.0,,,913
108,2021,1121.0,45990.0,74737.0,0.0110803324099723,-0.09995544155015235,914
109,2020,1087.0,45486.0,83037.0,0.00215916101172116,-0.04308795058541532,914
110,2019,985.0,45388.0,86776.0,-0.0029874351990159037,0.061817825852870635,914
111,2018,965.0,45524.0,81724.0,-0.0016228781964121232,0.24885771481838048,914
112,2017,967.0,45598.0,65439.0,0.06919595751166553,0.13120365088419852,914
113,2016,950.0,42647.0,57849.0,0.16442320819112627,0.24025041270930259,914
114,2015,914.0,36625.0,46643.0,0.10176884663979303,0.0704810428715689,914
115,2014,891.0,33242.0,43572.0,0.09083152851611209,0.05279435571556286,914
116,2013,885.0,30474.0,41387.0,0.15699153346748168,0.011066595006595984,914
117,2012,861.0,26339.0,40934.0,-0.04940811318030894,0.0344444163655202,914
118,2011,847.0,27708.0,39571.0,-0.10440235309328334,-0.12302202916537387,914
119,2010,887.0,30938.0,45122.0,,,914
120,2021,1616.0,56203.0,88150.0,0.05288497564630948,0.016935465263837938,915
121,2020,1611.0,53380.0,86682.0,-0.005051164004398799,-0.04554163271598141,915
122,2019,1623.0,53651.0,90818.0,-0.009800302683548041,0.09702123547459715,915
123,2018,1612.0,54182.0,82786.0,0.035331435232071544,0.06358158716291738,915
