tract,year,total_population,male,female,median_age,race_white,race_black,race_ai_alaskan,race_asian,race_hawaiian,race_other,race_hispanic,median_value,median_monthly_mort,median_monthly_rent,median_income,mean_income,median_income_difference,mean_income_difference,housed_population,owner_occupied,owner_occupied_pre-2000,renter_occupied,renter_occupied_pre-2000,percent_owners,percent_renters,percent_owners_pre-2000,percent_renters_pre-2000,renters_owners_ratio,renters_owners_pre-2000_ratio,BFBL,BL,BLSL,SBL,SLM,SUP,total_built_all_lanes,cumulative_length,SLMTC
1001,2010,5617.0,0.481,0.519,23.9,0.063,0.638,0.012,0.018,0.0,0.252,0.301,280400.0,2680.0,525.0,26007.0,41877.0,,,5575.0,1665.0,529.0,3910.0,755.0,0.0948878923766816,0.1354260089686098,0.3177177177177177,0.1352941176470588,0.4258312020460358,0.7006622516556291,,,,,,,,,
1001,2011,5657.0,0.48,0.52,24.5,0.109,0.619,0.0139999999999999,0.003,0.0,0.245,0.365,276900.0,2823.0,474.0,22375.0,37171.0,-0.1396547083477525,-0.1123767223058003,5607.0,1480.0,524.0,4127.0,677.0,0.0934546103085429,0.1207419297306937,0.354054054054054,0.1269687424279137,0.3586140053307487,0.7740029542097489,,,,,,,,,
1001,2012,6189.0,0.451,0.5489999999999999,25.2,0.074,0.701,0.004,0.015,0.0,0.186,0.287,268000.0,2561.0,510.0,27840.0,42515.0,0.2442458100558659,0.1437679911759167,6132.0,1697.0,677.0,4435.0,537.0,0.1104044357469015,0.087573385518591,0.398939304655274,0.1526493799323562,0.3826381059751973,1.260707635009311,,,,,,,,,
1001,2013,6295.0,0.433,0.5670000000000001,27.3,0.1119999999999999,0.727,0.001,0.011,0.0,0.119,0.266,261700.0,2155.0,538.0,24886.0,40835.0,-0.1061063218390804,-0.0395154651299541,6232.0,1561.0,543.0,4671.0,439.0,0.0871309370988446,0.0704428754813863,0.3478539397821909,0.1162491971740526,0.3341896810104902,1.2369020501138952,,,,,,,,,
1001,2014,6371.0,0.455,0.545,31.2,0.131,0.75,0.001,0.018,0.0,0.076,0.259,279300.0,1908.0,538.0,28671.0,43711.0,0.15209354657237,0.0704297783763928,6297.0,1661.0,481.0,4636.0,508.0,0.0763855804351278,0.0806733365094489,0.2895845875978326,0.1037532355478861,0.3582830025884383,0.9468503937007874,,,,,,,,,
1001,2015,6146.0,0.436,0.564,32.9,0.1689999999999999,0.75,0.001,0.018,0.0,0.034,0.267,274700.0,1978.0,686.0,25504.0,44568.0,-0.1104600467371211,0.0196060488206629,6059.0,1539.0,550.0,4520.0,579.0,0.090774055124608,0.0955603234857237,0.3573749187784275,0.1216814159292035,0.3404867256637168,0.9499136442141624,,,,,,,,,
1001,2016,6072.0,0.413,0.5870000000000001,33.3,0.146,0.772,0.0,0.0069999999999999,0.0,0.033,0.2739999999999999,290100.0,1867.0,666.0,28279.0,43782.0,0.1088064617314931,-0.0176359719978459,5983.0,1576.0,568.0,4407.0,622.0,0.0949356510111984,0.1039612234664883,0.3604060913705584,0.1288858633991377,0.3576128885863399,0.9131832797427653,,,,,,,,,
1001,2017,6742.0,0.412,0.588,30.7,0.147,0.787,0.002,0.0069999999999999,0.0,0.013,0.236,326300.0,2124.0,924.0,27750.0,46834.0,-0.0187064606244916,0.0697090128363254,6653.0,2203.0,564.0,4450.0,493.0,0.0847737862618367,0.0741019089132722,0.2560145256468452,0.1267415730337078,0.4950561797752809,1.1440162271805274,,,,,,,,,
1001,2018,7140.0,0.41,0.59,30.6,0.123,0.779,0.002,0.006,0.0,0.031,0.266,366700.0,2216.0,947.0,29483.0,52459.0,0.0624504504504504,0.1201050518853824,7050.0,2442.0,621.0,4608.0,632.0,0.0880851063829787,0.0896453900709219,0.2542997542997543,0.134765625,0.5299479166666666,0.9825949367088608,,,,,,,,,
1001,2019,7013.0,0.415,0.585,29.8,0.102,0.789,0.003,0.013,0.0,0.04,0.253,319100.0,1906.0,1134.0,28659.0,48088.0,-0.0279483091951293,-0.0833222135381917,6926.0,2427.0,994.0,4499.0,640.0,0.143517181634421,0.0924054288189431,0.4095591264936135,0.2209379862191598,0.53945321182485,1.553125,,,,,,,,,
