,year,Median income (dollars),Mean income (dollars),median_income_difference,mean_income_difference,census_tract,Total population in occupied housing units:,Owner_occupied,Owner_occupied_Moved in 1999 or earlier,Renter_occupied,Renter_occupied_Moved in 1999 or earlier,percent_owners,percent_renters,percent_old_owners,percent_old_renters,renters_owners_ratio,old_renters_owners_ratio
0,2021,33652.0,55348.0,0.0176298043484834,0.1067386522695461,901.0,5185.0,771.0,491.0,4414.0,250.0,0.1486981677917068,0.8513018322082931,0.6368352788586251,0.1112369732668781,0.1746714997734481,1.964
1,2020,33069.0,50010.0,-0.0329287907588828,-0.1052866982735486,901.0,5258.0,742.0,391.0,4516.0,368.0,0.1411182959300114,0.8588817040699885,0.5269541778975741,0.0865810451727192,0.1643046944198405,1.0625
2,2019,34195.0,55895.0,0.0456547000183475,0.1855976243504083,901.0,4994.0,992.0,560.0,4002.0,470.0,0.1986383660392471,0.8013616339607529,0.5645161290322581,0.1399300349825087,0.2478760619690155,1.1914893617021276
3,2018,32702.0,47145.0,0.0798798005481623,0.0765419130911332,901.0,,,,,,,,,,,
4,2017,30283.0,43793.0,0.0677314716874691,0.064383628232549,901.0,4918.0,671.0,460.0,4247.0,445.0,0.1364375762505083,0.8635624237494917,0.6855439642324889,0.1083117494702142,0.1579938780315516,1.0337078651685394
5,2016,28362.0,41144.0,-0.0834114339268978,-0.0572600417019911,901.0,4842.0,743.0,491.0,4099.0,483.0,0.1534489880214787,0.8465510119785212,0.6608344549125168,0.1197853134910953,0.1812637228592339,1.0165631469979295
6,2015,30943.0,43643.0,-0.0262760400276921,0.0137511323778774,901.0,4783.0,889.0,575.0,3894.0,311.0,0.1858666109136525,0.8141333890863475,0.6467941507311586,0.1476630713918849,0.2282999486389317,1.8488745980707395
7,2014,31778.0,43051.0,0.0097550125512376,-0.019250045562238,901.0,5108.0,913.0,677.0,4195.0,250.0,0.1787392325763508,0.8212607674236492,0.7415115005476451,0.1613825983313468,0.2176400476758045,2.708
8,2013,31471.0,43896.0,-0.055860558605586,-0.021445450086941,901.0,4986.0,926.0,689.0,4060.0,400.0,0.1857200160449258,0.8142799839550742,0.744060475161987,0.1697044334975369,0.2280788177339901,1.7225
9,2012,33333.0,44858.0,-0.0240096038415366,-0.0177582167334515,901.0,4941.0,1317.0,712.0,3624.0,482.0,0.2665452337583485,0.7334547662416515,0.5406226271829917,0.1964679911699779,0.36341059602649,1.4771784232365146
