route_id,direction_id,route_pattern_name,from_stop_id,from_station_id,from_stop_name,to_stop_id,to_station_id,to_stop_name,from_to_meters,cumulative_meters,from_to_miles,cumulative_miles,ObjectId
Blue,0,Wonderland - Bowdoin,70059,place-wondl,Wonderland,70057,place-rbmnl,Revere Beach,648.07954,648.07954,0.402697956434423,0.402697956434423,1
Blue,0,Wonderland - Bowdoin,70057,place-rbmnl,Revere Beach,70055,place-bmmnl,Beachmont,1198.237979,1846.317519,0.744550561595283,1.14724851802971,2
Blue,0,Wonderland - Bowdoin,70055,place-bmmnl,Beachmont,70053,place-sdmnl,Suffolk Downs,849.599507,2695.917026,0.527916658588841,1.67516517661855,3
Blue,0,Wonderland - Bowdoin,70053,place-sdmnl,Suffolk Downs,70051,place-orhte,Orient Heights,745.434098,3441.351124,0.463191274208621,2.13835645082717,4
Blue,0,Wonderland - Bowdoin,70051,place-orhte,Orient Heights,70049,place-wimnl,Wood Island,1742.139558,5183.490682,1.08251533419828,3.22087178502545,5
Blue,0,Wonderland - Bowdoin,70049,place-wimnl,Wood Island,70047,place-aport,Airport,882.258242,6065.748924,0.548209855692754,3.76908164071821,6
Blue,0,Wonderland - Bowdoin,70047,place-aport,Airport,70045,place-mvbcl,Maverick,1011.410313,7077.159237,0.628461232029945,4.39754287274815,7
Blue,0,Wonderland - Bowdoin,70045,place-mvbcl,Maverick,70043,place-aqucl,Aquarium,1527.173332,8604.332569,0.948941514057901,5.34648438680605,8
Blue,0,Wonderland - Bowdoin,70043,place-aqucl,Aquarium,70041,place-state,State,502.557083,9106.889652,0.312274493831027,5.65875888063708,9
Blue,0,Wonderland - Bowdoin,70041,place-state,State,70039,place-gover,Government Center,199.673364,9306.563016,0.124071276246719,5.7828301568838,10
Blue,0,Wonderland - Bowdoin,70039,place-gover,Government Center,70838,place-bomnl,Bowdoin,282.865476000001,9589.428492,0.175764458064901,5.9585946149487,11
Blue,1,Bowdoin - Wonderland,70038,place-bomnl,Bowdoin,70040,place-gover,Government Center,282.865476,282.865476,0.175764458064901,0.175764458064901,12
Blue,1,Bowdoin - Wonderland,70040,place-gover,Government Center,70042,place-state,State,199.650243,482.515719,0.124056909523383,0.299821367588284,13
Blue,1,Bowdoin - Wonderland,70042,place-state,State,70044,place-aqucl,Aquarium,502.580706,985.096425,0.312289172482701,0.612110540070985,14
Blue,1,Bowdoin - Wonderland,70044,place-aqucl,Aquarium,70046,place-mvbcl,Maverick,1527.173343,2512.269768,0.948941520892985,1.56105206096397,15
Blue,1,Bowdoin - Wonderland,70046,place-mvbcl,Maverick,70048,place-aport,Airport,1011.410313,3523.680081,0.628461232029945,2.18951329299392,16
Blue,1,Bowdoin - Wonderland,70048,place-aport,Airport,70050,place-wimnl,Wood Island,881.390997,4405.071078,0.547670974633142,2.73718426762706,17
Blue,1,Bowdoin - Wonderland,70050,place-wimnl,Wood Island,70052,place-orhte,Orient Heights,1743.075478,6148.146556,1.08309688792452,3.82028115555158,18
Blue,1,Bowdoin - Wonderland,70052,place-orhte,Orient Heights,70054,place-sdmnl,Suffolk Downs,776.424149,6924.570705,0.482447599145988,4.30272875469757,19
Blue,1,Bowdoin - Wonderland,70054,place-sdmnl,Suffolk Downs,70056,place-bmmnl,Beachmont,820.523796,7745.094501,0.509849849379623,4.81257860407719,20
Blue,1,Bowdoin - Wonderland,70056,place-bmmnl,Beachmont,70058,place-rbmnl,Revere Beach,1208.038768,8953.133269,0.75064048954108,5.56321909361827,21
Blue,1,Bowdoin - Wonderland,70058,place-rbmnl,Revere Beach,70060,place-wondl,Wonderland,621.286053,9574.419322,0.386049255473037,5.94926834909131,22
Green-B,0,Government Center - Boston College,70202,place-gover,Government Center,70196,place-pktrm,Park Street,415.292584,415.292584,0.258050848047403,0.258050848047403,23
Green-B,0,Government Center - Boston College,70196,place-pktrm,Park Street,70159,place-boyls,Boylston,394.917094,810.209678,0.245390105533683,0.503440953581086,24
Green-B,0,Government Center - Boston College,70159,place-boyls,Boylston,70157,place-armnl,Arlington,594.466154,1404.675832,0.369384142855722,0.872825096436809,25
Green-B,0,Government Center - Boston College,70157,place-armnl,Arlington,70155,place-coecl,Copley,569.240504,1973.916336,0.353709650640261,1.22653474707707,26
