year,Median income (dollars),Mean income (dollars),median_income_difference,mean_income_difference,census_tract,Total population in occupied housing units:,Owner_occupied,Owner_occupied_Moved in 1999 or earlier,Renter_occupied,Renter_occupied_Moved in 1999 or earlier,percent_owners,percent_renters,percent_old_owners,percent_old_renters,renters_owners_ratio,old_renters_owners_ratio
2017,62358,77474,-0.044658588,0.063969457,907,4146,1254,550,2892,52,0.302460203,0.697539797,0.438596491,0.190179806,0.433609959,10.57692308
2016,65273,72816,0.258032187,0.082492158,907,4517,1543,591,2974,143,0.341598406,0.658401594,0.383020091,0.19872226,0.518829859,4.132867133
2015,51885,67267,0.004219328,-0.010240866,907,4582,1378,529,3204,253,0.300742034,0.699257966,0.383889695,0.165106117,0.430087391,2.090909091
2014,51667,67963,-0.048367193,-0.027585812,907,4515,1375,493,3140,247,0.304540421,0.695459579,0.358545455,0.157006369,0.437898089,1.995951417
2013,54293,69891,0.020660225,0.0396424,907,4675,1276,544,3399,261,0.272941176,0.727058824,0.426332288,0.160047073,0.375404531,2.084291188
2012,53194,67226,0.371368171,0.126686443,907,4136,1413,608,2723,355,0.341634429,0.658365571,0.430290163,0.223283144,0.518912964,1.712676056
2011,38789,59667,-0.070922156,-0.056737701,907,3972,1058,578,2914,393,0.266364552,0.733635448,0.5463138,0.19835278,0.363074811,1.470737913
2010,41750,63256,,,907,4157,1279,586,2878,434,0.307673803,0.692326197,0.458170446,0.203613621,0.444405837,1.350230415
2021,30373,52529,0.18251898,0.151522459,909.01,3042,0,0,3042,60,0,1,,0,0,0
2020,25685,45617,0.000896267,-0.058880568,909.01,3204,15,0,3189,84,0.004681648,0.995318352,0,0,0.004703669,0
2019,25662,48471,0.047984645,0.083320296,909.01,3640,15,0,3625,106,0.004120879,0.995879121,0,0,0.004137931,0
2018,24487,44743,-0.126587245,-0.016183293,909.01,3776,23,0,3753,186,0.006091102,0.993908898,0,0,0.006128431,0
2017,28036,45479,0.016607441,0.01170111,909.01,3839,24,0,3815,256,0.006251628,0.993748372,0,0,0.006290957,0
2016,27578,44953,0.034433608,-0.047605932,909.01,3903,24,0,3879,250,0.006149116,0.993850884,0,0,0.006187162,0
2015,26660,47200,0.078217261,0.134097407,909.01,3816,8,0,3808,273,0.002096436,0.997903564,0,0,0.00210084,0
2014,24726,41619,-0.076802449,0.040318952,909.01,3688,9,0,3679,440,0.002440347,0.997559653,0,0,0.002446317,0
2013,26783,40006,0.153246641,0.078474188,909.01,3896,0,0,3896,470,0,1,,0,0,0
2012,23224,37095,-0.090075618,-0.03986023,909.01,3819,0,0,3819,543,0,1,,0,0,0
2011,25523,38635,-0.166269232,0.001166105,909.01,3940,0,0,3940,730,0,1,,0,0,0
2010,30613,38590,,,909.01,4026,0,0,4026,683,0,1,,0,0,0
2021,90893,114861,-0.132874138,0.021059275,910.01,3105,1277,474,1828,40,0.411272142,0.588727858,0.371182459,0.259299781,0.698577681,11.85
2020,104821,112492,0.104588181,-0.013738504,910.01,2744,1196,375,1548,98,0.435860058,0.564139942,0.313545151,0.242248062,0.772609819,3.826530612
2019,94896,114059,-0.023462583,-0.047269416,910.01,2793,1110,351,1683,206,0.397422127,0.602577873,0.316216216,0.20855615,0.659536542,1.703883495
2018,97176,119718,0.163087971,0.204370089,910.01,2939,1322,333,1617,184,0.449812862,0.550187138,0.251891074,0.20593692,0.817563389,1.809782609
2017,83550,99403,0.125783197,0.088274578,910.01,3017,1337,348,1680,162,0.443155452,0.556844548,0.260284218,0.207142857,0.795833333,2.148148148
2016,74215,91340,0.159609375,0.093159079,910.01,3204,1545,389,1659,217,0.482209738,0.517790262,0.251779935,0.234478602,0.931283906,1.792626728
2015,64000,83556,-0.033962264,0.042547351,910.01,3189,1393,545,1796,211,0.436814048,0.563185952,0.391241924,0.303452116,0.775612472,2.582938389
2014,66250,80146,0.063693143,0.054871869,910.01,3113,1452,577,1661,104,0.466431095,0.533568905,0.39738292,0.347381096,0.874172185,5.548076923
2013,62283,75977,0.053804375,0.051235576,910.01,2953,1389,471,1564,132,0.470369116,0.529630884,0.339092873,0.301150895,0.888107417,3.568181818
2012,59103,72274,-0.075620132,-0.115449105,910.01,2799,1293,370,1506,278,0.461950697,0.538049303,0.286156226,0.245683931,0.858565737,1.330935252
2011,63938,81707,0.077394894,0.027657594,910.01,2668,1338,664,1330,206,0.50149925,0.49850075,0.496263079,0.49924812,1.006015038,3.223300971
2010,59345,79508,,,910.01,2479,1217,649,1262,241,0.49092376,0.50907624,0.533278554,0.514263074,0.964342314,2.692946058
2021,108079,114038,0.210738571,0.090291986,911,4599,2087,685,2512,248,0.453794303,0.546205697,0.328222329,0.272691083,0.830812102,2.762096774
2020,89267,104594,0.050546062,-0.003847692,911,4916,2504,683,2412,258,0.509357201,0.490642799,0.272763578,0.283167496,1.03814262,2.647286822
2019,84972,104998,0.074411724,0.097869048,911,4802,2023,639,2779,332,0.421282799,0.578717201,0.315867523,0.229938827,0.727959698,1.924698795
2018,79087,95638,0.020477419,0.011079395,911,4742,2189,667,2553,128,0.46161957,0.53838043,0.304705345,0.261261261,0.85742264,5.2109375
2017,77500,94590,0.154132539,0.080398853,911,5029,2239,650,2790,119,0.445217737,0.554782263,0.290308173,0.23297491,0.802508961,5.462184874
2016,67150,87551,0.076915675,0.023784745,911,5302,2467,697,2835,354,0.465296115,0.534703885,0.282529388,0.245855379,0.870194004,1.968926554
2015,62354,85517,0.013787273,0.006769325,911,5462,2231,632,3231,546,0.40845844,0.59154156,0.28328104,0.195605076,0.690498298,1.157509158
2014,61506,84942,-0.18188348,-0.045048286,911,5286,2041,707,3245,581,0.386114264,0.613885736,0.346398824,0.217873652,0.628967643,1.21686747
2013,75180,88949,0.381655119,0.142143582,911,5534,2163,746,3371,589,0.390856523,0.609143477,0.344891355,0.221299318,0.641649362,1.26655348
2012,54413,77879,-0.149052296,-0.043737184,911,4826,1838,811,2988,709,0.380853709,0.619146291,0.441240479,0.271419009,0.615127175,1.143864598
2011,63944,81441,0.036268758,0.061715358,911,4628,2112,948,2516,457,0.456352636,0.543647364,0.448863636,0.376788553,0.839427663,2.074398249
2010,61706,76707,,,911,4344,2097,1276,2247,442,0.482734807,0.517265193,0.608488317,0.567868269,0.933244326,2.886877828
2021,71125,103719,-0.301140774,-0.031252043,912,2942,1075,673,1867,33,0.365397689,0.634602311,0.626046512,0.360471344,0.575790037,20.39393939
2020,101773,107065,0.165891491,0.010790959,912,3050,1309,737,1741,113,0.429180328,0.570819672,0.56302521,0.423319931,0.751866743,6.522123894
2019,87292,105922,-0.032968494,0.048327873,912,3226,1472,901,1754,91,0.456292622,0.543707378,0.612092391,0.51368301,0.839224629,9.901098901
2018,90268,101039,0.077826866,0.048524849,912,3117,1323,775,1794,238,0.424446583,0.575553417,0.585789872,0.431995541,0.737458194,3.256302521
2017,83750,96363,0.302893591,0.242079348,912,2878,1144,501,1734,232,0.397498263,0.602501737,0.437937063,0.288927336,0.659746251,2.159482759
2016,64280,77582,-0.038242863,-0.022391915,912,2989,1052,496,1937,267,0.351957176,0.648042824,0.47148289,0.256066082,0.543107899,1.857677903
2015,66836,79359,-0.055962033,0.073260123,912,3074,1074,574,2000,233,0.349381913,0.650618087,0.534450652,0.287,0.537,2.463519313
2014,70798,73942,0.042051191,0.030292052,912,3001,1038,641,1963,337,0.345884705,0.654115295,0.617533719,0.326541009,0.528782476,1.902077151
2013,67941,71768,0.046018598,0.014718566,912,2913,1127,702,1786,130,0.386886371,0.613113629,0.622892635,0.393057111,0.631019037,5.4
2012,64952,70727,-0.022734454,-0.076972268,912,2756,1037,724,1719,203,0.376269956,0.623730044,0.698167792,0.421175102,0.603257708,3.566502463
2011,66463,76625,0.238664107,0.246969031,912,2781,1258,948,1523,188,0.452355268,0.547644732,0.753577107,0.62245568,0.826001313,5.042553191
2010,53657,61449,,,912,2714,1189,1042,1525,300,0.438098747,0.561901253,0.876366695,0.683278689,0.779672131,3.473333333
2021,35078,62183,-0.187087205,-0.02709849,913,2397,852,300,1545,11,0.355444305,0.644555695,0.352112676,0.194174757,0.551456311,27.27272727
2020,43151,63915,0.051950268,0.116906946,913,2754,828,364,1926,74,0.300653595,0.699346405,0.439613527,0.188992731,0.429906542,4.918918919
2019,41020,57225,0.058580645,0.028579132,913,2671,634,226,2037,99,0.237364283,0.762635717,0.356466877,0.110947472,0.311242023,2.282828283
2018,38750,55635,0.243541606,0.120024963,913,2556,652,295,1904,97,0.255086072,0.744913928,0.452453988,0.154936975,0.342436975,3.041237113
2017,31161,49673,-0.132923368,-0.010478296,913,2554,717,335,1837,177,0.2807361,0.7192639,0.467224547,0.182362548,0.390310289,1.892655367
2016,35938,50199,0.00816338,-0.000955281,913,2691,635,307,2056,290,0.235971758,0.764028242,0.483464567,0.149319066,0.30885214,1.05862069
2015,35647,50247,0.020760552,-0.044025038,913,2591,576,256,2015,278,0.222307989,0.777692011,0.444444444,0.127047146,0.285856079,0.920863309
2014,34922,52561,-0.012023651,-0.00424363,913,2579,494,243,2085,369,0.191547111,0.808452889,0.491902834,0.116546763,0.236930456,0.658536585
2013,35347,52785,0.112940806,0.135478736,913,2522,442,186,2080,315,0.175257732,0.824742268,0.42081448,0.089423077,0.2125,0.59047619
2012,31760,46487,0.034831058,0.103863415,913,2239,374,217,1865,243,0.167038857,0.832961143,0.580213904,0.116353887,0.200536193,0.893004115
2011,30691,42113,0.007352217,0.153907278,913,1886,381,278,1505,137,0.202014846,0.797985154,0.729658793,0.184717608,0.253156146,2.02919708
2010,30467,36496,,,913,1741,271,208,1470,278,0.155657668,0.844342332,0.767527675,0.141496599,0.184353741,0.748201439
2021,45990,74737,0.011080332,-0.099955442,914,2764,1302,491,1462,120,0.47105644,0.52894356,0.377112135,0.335841313,0.890560876,4.091666667
2020,45486,83037,0.002159161,-0.043087951,914,3056,1433,664,1623,174,0.468913613,0.531086387,0.463363573,0.409118916,0.88293284,3.816091954
2019,45388,86776,-0.002987435,0.061817826,914,2983,1323,684,1660,263,0.443513242,0.556486758,0.517006803,0.412048193,0.796987952,2.600760456
2018,45524,81724,-0.001622878,0.248857715,914,2900,1242,584,1658,247,0.428275862,0.571724138,0.47020934,0.352231604,0.749095296,2.36437247
2017,45598,65439,0.069195958,0.131203651,914,2826,1110,535,1716,329,0.392781316,0.607218684,0.481981982,0.311771562,0.646853147,1.626139818
2016,42647,57849,0.164423208,0.240250413,914,2692,951,455,1741,295,0.353268945,0.646731055,0.478443743,0.261344055,0.546237794,1.542372881
2015,36625,46643,0.101768847,0.070481043,914,2479,858,383,1621,271,0.346107301,0.653892699,0.446386946,0.236273905,0.529302899,1.413284133
2014,33242,43572,0.090831529,0.052794356,914,2386,796,343,1590,228,0.333612741,0.666387259,0.430904523,0.21572327,0.500628931,1.504385965
2013,30474,41387,0.156991533,0.011066595,914,2135,682,335,1453,223,0.319437939,0.680562061,0.491202346,0.230557467,0.46937371,1.502242152
2012,26339,40934,-0.049408113,0.034444416,914,1981,738,457,1243,204,0.372539122,0.627460878,0.619241192,0.36765889,0.593724859,2.240196078
2011,27708,39571,-0.104402353,-0.123022029,914,1884,718,421,1166,284,0.381104034,0.618895966,0.586350975,0.361063465,0.615780446,1.482394366
2010,30938,45122,,,914,2008,716,465,1292,430,0.356573705,0.643426295,0.649441341,0.359907121,0.554179567,1.081395349
2021,56203,88150,0.052884976,0.016935465,915,4194,1965,703,2229,103,0.468526466,0.531473534,0.357760814,0.315388066,0.881561238,6.825242718
2020,53380,86682,-0.005051164,-0.045541633,915,4752,2176,950,2576,170,0.457912458,0.542087542,0.436580882,0.36878882,0.844720497,5.588235294
2019,53651,90818,-0.009800303,0.097021235,915,5192,2527,1118,2665,225,0.486710324,0.513289676,0.442421844,0.419512195,0.948217636,4.968888889
2018,54182,82786,0.035331435,0.063581587,915,5048,2186,936,2862,482,0.433042789,0.566957211,0.428179323,0.327044025,0.763801537,1.941908714
2017,52333,77837,0.075085254,-0.039642196,915,5206,2261,1263,2945,466,0.434306569,0.565693431,0.558602388,0.428862479,0.767741935,2.710300429
2016,48678,81050,0.054435178,0.476750966,915,4873,1768,934,3105,381,0.362815514,0.637184486,0.528280543,0.300805153,0.569404187,2.45144357
2015,46165,54884,0.036577151,0.022143589,915,4801,1674,838,3127,450,0.348677359,0.651322641,0.500597372,0.267988487,0.535337384,1.862222222
2014,44536,53695,0.019573728,-0.002637591,915,4602,1453,801,3149,526,0.31573229,0.68426771,0.551273228,0.254366466,0.461416323,1.522813688
2013,43681,53837,-0.000434783,-0.022655895,915,4753,1477,883,3276,503,0.310751105,0.689248895,0.597833446,0.26953602,0.450854701,1.755467197
2012,43700,55085,0.045204497,-0.000108911,915,4954,1382,706,3572,590,0.278966492,0.721033508,0.510853835,0.197648376,0.386898096,1.196610169
2011,41810,55091,,,915,4809,1408,767,3401,624,0.292784363,0.707215637,0.544744318,0.225521905,0.413995884,1.229166667
2010,,,,,915,4778,1541,1022,3237,706,0.322519883,0.677480117,0.663205711,0.315724436,0.476058078,1.447592068
2021,71111,80401,0.160067864,0.171701715,916,2579,498,136,2081,170,0.1930981,0.8069019,0.273092369,0.065353196,0.239308025,0.8
2020,61299,68619,0.295496333,0.123409898,916,2780,523,148,2257,124,0.188129496,0.811870504,0.282982792,0.06557377,0.231723527,1.193548387
2019,47317,61081,0.011717163,0.025657817,916,3031,582,153,2449,257,0.192015836,0.807984164,0.262886598,0.062474479,0.23764802,0.595330739
2018,46769,59553,0.068517249,0.03881175,916,3043,602,144,2441,89,0.197831088,0.802168912,0.239202658,0.058992216,0.246620238,1.617977528
2017,43770,57328,0.178069656,0.131913045,916,2897,562,182,2335,167,0.193993787,0.806006213,0.323843416,0.077944325,0.240685225,1.089820359
2016,37154,50647,-0.008803756,-0.046698539,916,3340,704,131,2636,121,0.210778443,0.789221557,0.186079545,0.04969651,0.26707132,1.082644628
2015,37484,53128,-0.022377549,-0.013517528,916,3323,822,336,2501,314,0.247366837,0.752633163,0.408759124,0.134346261,0.328668533,1.070063694
2014,38342,53856,0.061311484,0.052388862,916,3294,870,444,2424,199,0.264116576,0.735883424,0.510344828,0.183168317,0.358910891,2.231155779
2013,36127,51175,-0.076390132,-0.020105314,916,3296,965,412,2331,279,0.292779126,0.707220874,0.426943005,0.176748177,0.413985414,1.476702509
2012,39115,52225,0.026209466,0.066403937,916,3739,966,331,2773,606,0.25835785,0.74164215,0.342650104,0.119365308,0.348359178,0.54620462
2011,38116,48973,,,916,3517,685,340,2832,556,0.194768268,0.805231732,0.496350365,0.120056497,0.241878531,0.611510791
2010,,,,,916,3363,597,292,2766,699,0.177520071,0.822479929,0.489112228,0.105567607,0.215835141,0.417739628
2021,56772,85775,0.040466241,0.121945796,917,3447,1122,631,2325,240,0.325500435,0.674499565,0.562388592,0.271397849,0.482580645,2.629166667
2020,54564,76452,0.095662651,0.197931683,917,3502,1290,694,2212,88,0.368360937,0.631639063,0.537984496,0.313743219,0.58318264,7.886363636
2019,49800,63820,0.154782609,0.095377856,917,3238,1001,526,2237,149,0.309141445,0.690858555,0.525474525,0.235136343,0.447474296,3.530201342
2018,43125,58263,0.05893186,0.06348453,917,3188,1017,406,2171,143,0.319008783,0.680991217,0.399213373,0.187010594,0.46844772,2.839160839
2017,40725,54785,0.01614352,0.008096421,917,3224,1041,370,2183,149,0.322890819,0.677109181,0.355427474,0.169491525,0.476866697,2.483221477
2016,40078,54345,-0.024058832,-0.122604498,917,3298,897,259,2401,186,0.27198302,0.72801698,0.288740245,0.10787172,0.373594336,1.392473118
2015,41066,61939,-0.136742974,-0.057015407,917,3288,973,327,2315,203,0.295924574,0.704075426,0.336073998,0.1412527,0.420302376,1.610837438
2014,47571,65684,-0.06916996,0.011332143,917,3786,1271,364,2515,166,0.335710512,0.664289488,0.28638867,0.14473161,0.505367793,2.192771084
2013,51106,64948,0.050483042,0.02658616,917,3411,1043,380,2368,242,0.305775432,0.694224568,0.364333653,0.160472973,0.440456081,1.570247934
2012,48650,63266,0.039374453,0.014024459,917,3314,1111,577,2203,231,0.335244418,0.664755582,0.519351935,0.26191557,0.504312301,2.497835498
2011,46807,62391,,,917,3208,1151,811,2057,216,0.358790524,0.641209476,0.704604692,0.394263491,0.559552747,3.75462963
2010,,,,,917,3248,1166,882,2082,312,0.358990148,0.641009852,0.756432247,0.423631124,0.560038425,2.826923077
2021,39674,59873,0.102147401,0.105177665,918,3275,825,408,2450,43,0.251908397,0.748091603,0.494545455,0.166530612,0.336734694,9.488372093
2020,35997,54175,0.065504381,0.128034814,918,3529,915,391,2614,87,0.259280249,0.740719751,0.427322404,0.149579189,0.350038256,4.494252874
2019,33784,48026,-0.120277062,-0.092496363,918,3526,671,403,2855,118,0.190300624,0.809699376,0.600596125,0.141155867,0.23502627,3.415254237
2018,38403,52921,0.054274419,0.012706432,918,3473,687,577,2786,98,0.19781169,0.80218831,0.839883552,0.207106963,0.246590093,5.887755102
2017,36426,52257,-0.050689323,0.001283771,918,3576,673,541,2903,133,0.188199105,0.811800895,0.803863299,0.186358939,0.231829142,4.067669173
2016,38371,52190,-0.149465798,-0.109294467,918,3770,837,580,2933,386,0.222015915,0.777984085,0.692951016,0.197749744,0.285373338,1.502590674
2015,45114,58594,0.12785,0.041078853,918,3757,819,640,2938,405,0.21799308,0.78200692,0.781440781,0.217835262,0.278761062,1.580246914
2014,40000,56282,-0.061121022,0.123415637,918,3761,937,700,2824,529,0.249135868,0.750864132,0.747065101,0.247875354,0.331798867,1.323251418
2013,42604,50099,-0.095129877,-0.06924163,918,3484,1139,637,2345,688,0.326923077,0.673076923,0.559262511,0.271641791,0.485714286,0.925872093
2012,47083,53826,-0.15124475,-0.047378015,918,3388,1309,779,2079,550,0.386363636,0.613636364,0.595110772,0.374699375,0.62962963,1.416363636
2011,55473,56503,0.309313633,0.113557084,918,3269,1149,693,2120,473,0.351483634,0.648516366,0.603133159,0.326886792,0.541981132,1.465116279
2010,42368,50741,,,918,2929,1158,606,1771,426,0.395356777,0.604643223,0.523316062,0.34217956,0.653867871,1.422535211
2021,56750,73252,0.101214732,-0.061822001,919,4556,1917,959,2639,172,0.420763828,0.579236172,0.500260824,0.363395225,0.72641152,5.575581395
2020,51534,78079,-0.052248276,0.066216032,919,4526,2112,1005,2414,187,0.466637207,0.533362793,0.475852273,0.416321458,0.874896437,5.374331551
2019,54375,73230,0.071259703,0.139075114,919,4507,2116,1087,2391,221,0.469491901,0.530508099,0.513705104,0.454621497,0.884985362,4.918552036
2018,50758,64289,-0.004081152,-0.01285201,919,4173,1862,940,2311,267,0.446201773,0.553798227,0.504833512,0.406750325,0.805711813,3.520599251
2017,50966,65126,0.098476195,-0.026866296,919,3991,1624,883,2367,290,0.40691556,0.59308444,0.543719212,0.37304605,0.686100549,3.044827586
2016,46397,66924,0.08008008,0.048209755,919,4000,1498,735,2502,418,0.3745,0.6255,0.490654206,0.293764988,0.598721023,1.758373206
2015,42957,63846,0.088511048,0.010781287,919,4001,1619,794,2382,436,0.404648838,0.595351162,0.490426189,0.333333333,0.67968094,1.821100917
2014,39464,63165,0.036998108,0.004532443,919,3875,1713,958,2162,474,0.442064516,0.557935484,0.559252773,0.443108233,0.792321924,2.021097046
2013,38056,62880,-0.095347897,0.110228296,919,4115,1767,759,2348,473,0.429404617,0.570595383,0.429541596,0.323253833,0.752555366,1.604651163
2012,42067,56637,0.196989529,0.217738121,919,4072,1861,845,2211,415,0.457023576,0.542976424,0.454056959,0.382180009,0.841700588,2.036144578
2011,35144,46510,0.168778476,0.135803072,919,3851,1682,609,2169,298,0.43676967,0.56323033,0.362068966,0.28077455,0.775472568,2.043624161
2010,30069,40949,,,919,3577,1475,416,2102,276,0.412356724,0.587643276,0.282033898,0.197906755,0.701712655,1.507246377
2021,61786,85079,0.083964912,0.041626367,920,5529,1906,732,3623,74,0.344727799,0.655272201,0.384050367,0.202042506,0.526083356,9.891891892
2020,57000,81679,-0.003740343,0.164480625,920,5827,2178,913,3649,114,0.373777244,0.626222756,0.419191919,0.250205536,0.596875856,8.00877193
2019,57214,70142,0.07965203,0.071180953,920,5511,2460,1321,3051,155,0.446379967,0.553620033,0.53699187,0.432972796,0.806293019,8.522580645
2018,52993,65481,0.092796899,0.079440177,920,5269,1922,1232,3347,251,0.3647751,0.6352249,0.640998959,0.368090828,0.574245593,4.908366534
2017,48493,60662,0.041158537,0.071937234,920,5349,1568,909,3781,400,0.293138904,0.706861096,0.579719388,0.240412589,0.414705104,2.2725
2016,46576,56591,0.175924056,0.09259581,920,5218,1417,813,3801,499,0.271559985,0.728440015,0.573747354,0.213891081,0.372796632,1.629258517
2015,39608,51795,-0.10039066,-0.075270929,920,5499,1499,901,4000,519,0.272595017,0.727404983,0.601067378,0.22525,0.37475,1.736030829
2014,44028,56011,-0.03896274,-0.002297827,920,5445,1209,698,4236,734,0.222038567,0.777961433,0.577336642,0.164778093,0.285410765,0.950953678
2013,45813,56140,-0.048041558,-0.048377801,920,5174,1261,620,3913,900,0.243718593,0.756281407,0.491673275,0.158446205,0.322259136,0.688888889
2012,48125,58994,0.074314671,-0.017127053,920,5267,1505,763,3762,859,0.285741409,0.714258591,0.506976744,0.20281765,0.400053163,0.888242142
2011,44796,60022,,,920,5313,1898,960,3415,758,0.357236966,0.642763034,0.505795574,0.281112738,0.555783309,1.266490765
2010,,,,,920,5174,2007,1118,3167,925,0.387901044,0.612098956,0.557050324,0.353015472,0.633722766,1.208648649
2021,53102,82474,-0.047822267,0.088722559,921.01,6249,2278,1067,3971,229,0.364538326,0.635461674,0.468393327,0.268698061,0.573659028,4.659388646
2020,55769,75753,-0.006767707,-0.118084661,921.01,6810,3094,986,3716,275,0.454331865,0.545668135,0.318681319,0.265339074,0.832615716,3.585454545
2019,56149,85896,-0.012886326,0.054391456,921.01,7091,3296,988,3795,126,0.464814554,0.535185446,0.299757282,0.260342556,0.868511199,7.841269841
