tract,year,total_population,male,female,median_age,race_white,race_black,race_ai_alaskan,race_asian,race_hawaiian,race_other,race_hispanic,median_value,median_monthly_mort,median_monthly_rent
801,2010,2724,0.668,0.332,35,0.216,0.548,0.019,0.03,0,0.155,0.158,394400,2475,820
801,2011,3147,0.646,0.354,32.6,0.226,0.532,0.016,0.062,0,0.133,0.173,290600,2602,866
801,2012,2999,0.683,0.317,33,0.206,0.533,0.018,0.041,0,0.164,0.224,246600,2175,877
801,2013,3014,0.669,0.331,34.6,0.189,0.551,0.012,0.035,0,0.165,0.174,240200,1935,977
801,2014,2864,0.673,0.327,34.5,0.23,0.523,0.011,0.009,0,0.172,0.206,248100,1670,1007
801,2015,2814,0.668,0.332,33.4,0.226,0.537,0.018,0.019,0,0.19,0.254,323300,1850,1070
801,2016,2771,0.663,0.337,32.4,0.178,0.534,0.011,0.009,0,0.258,0.282,379300,2176,996
801,2017,2724,0.643,0.357,33.1,0.207,0.495,0.004,0.009,0,0.282,0.324,413600,2335,1044
801,2018,2690,0.607,0.393,30.6,0.193,0.499,0.021,0.016,0,0.257,0.325,446300,2336,1109
801,2019,2749,0.593,0.407,30.5,0.182,0.511,0.024,0.016,0,0.238,0.272,477600,2175,1192
801,2020,2800,0.601,0.399,33.1,0.241,0.485,0.018,0.014,0,0.205,0.235,651800,2016,1303
801,2021,2654,0.65,0.35,34.4,0.266,0.372,0.032,0.015,0,0.213,0.347,615900,2185,1429
803,2010,1739,0.368,0.632,24.8,0.074,0.79,0,0,0,0.077,0.207,379200,1858,618
803,2011,1732,0.349,0.651,27.2,0.113,0.719,0,0,0,0.135,0.305,350800,1669,489
803,2012,1685,0.362,0.638,27.8,0.166,0.632,0,0,0,0.169,0.359,357100,1684,444
803,2013,1850,0.431,0.569,30.1,0.176,0.557,0,0.001,0,0.237,0.356,325300,1576,738
803,2014,2049,0.45,0.55,30.5,0.138,0.597,0.005,0,0,0.226,0.298,223200,1353,950
803,2015,2071,0.465,0.535,30.8,0.131,0.572,0.009,0.023,0,0.213,0.315,212500,1289,1017
803,2016,2075,0.459,0.541,33.4,0.124,0.613,0.011,0.037,0,0.167,0.228,266700,1389,1065
803,2017,2342,0.454,0.546,32.1,0.076,0.694,0.014,0.021,0,0.151,0.235,337200,1494,1143
803,2018,2089,0.458,0.542,31.3,0.092,0.695,0.021,0.022,0,0.11,0.296,294600,1494,1108
803,2019,2205,0.427,0.573,30.9,0.122,0.71,0.01,0.024,0,0.058,0.253,287900,2244,970
803,2020,2200,0.369,0.631,30.6,0.204,0.62,0,0.048,0,0.061,0.182,345000,2119,1143
803,2021,2395,0.38,0.62,27.6,0.299,0.509,0,0.033,0,0.046,0.315,387300,2176,1374
805,2010,2744,0.438,0.562,28.3,0.266,0.535,0.004,0,0,0.171,0.425,165100,1401,472
805,2011,3067,0.469,0.531,23.8,0.161,0.574,0.002,0.014,0,0.211,0.373,413500,2125,445
805,2012,2629,0.461,0.539,33.1,0.171,0.463,0,0.021,0,0.296,0.423,550000,,524
805,2013,3168,0.427,0.573,25.7,0.2,0.378,0,0.015,0,0.353,0.61,290000,,487
805,2014,3073,0.453,0.547,29.1,0.191,0.424,0,0.015,0,0.308,0.52,410700,4000,565
805,2015,3286,0.463,0.537,29.1,0.212,0.413,0,0.02,0,0.287,0.506,388200,,644
805,2016,3195,0.488,0.512,29.5,0.203,0.448,0,0.021,0,0.311,0.473,420600,,635
805,2017,3123,0.496,0.504,30.4,0.215,0.408,0,0.037,0,0.305,0.488,484800,2350,646
805,2018,3212,0.509,0.491,28.8,0.195,0.461,0,0.059,0,0.267,0.437,492000,2329,611
805,2019,3600,0.466,0.534,27.5,0.139,0.466,0,0.057,0,0.318,0.424,512100,,556
805,2020,3455,0.446,0.554,29.5,0.139,0.449,0.019,0.064,0,0.282,0.359,,,791
805,2021,3589,0.414,0.586,32.2,0.115,0.378,0.059,0.049,0,0.294,0.354,546900,,993
806.01,2010,2349,0.495,0.505,22.3,0.448,0.32,0,0.117,0,0.101,0.312,149600,1048,599
806.01,2011,2897,0.472,0.528,21.5,0.48,0.311,0,0.127,0,0.062,0.251,143900,1000,691
806.01,2012,3365,0.453,0.547,20.9,0.533,0.245,0,0.124,0,0.072,0.193,161100,1311,901
806.01,2013,3756,0.493,0.507,20.7,0.501,0.254,0,0.136,0,0.088,0.176,162500,1253,712
806.01,2014,4138,0.477,0.523,20.3,0.504,0.256,0,0.131,0,0.087,0.192,225000,1361,667
806.01,2015,4540,0.497,0.503,20.3,0.465,0.301,0.001,0.149,0,0.06,0.152,262500,1443,575
806.01,2016,4524,0.493,0.507,20.3,0.471,0.283,0.005,0.16,0,0.058,0.141,300000,1409,534
806.01,2017,4334,0.491,0.509,20.4,0.44,0.286,0.01,0.178,0,0.064,0.159,324100,1548,548
806.01,2018,4126,0.452,0.548,20.6,0.452,0.275,0.012,0.176,0,0.061,0.168,296900,2214,535
806.01,2019,4022,0.441,0.559,20.7,0.432,0.273,0.013,0.203,0,0.058,0.146,356800,2013,624
806.01,2020,3908,0.438,0.562,20.8,0.425,0.206,0.009,0.252,0,0.074,0.161,312500,1704,588
806.01,2021,3884,0.433,0.567,20.8,0.406,0.208,0,0.262,0,0.063,0.141,402300,2250,971
813,2010,5230,0.514,0.486,30.3,0.167,0.479,0,0.059,0,0.261,0.467,413800,2118,409
813,2011,5129,0.458,0.542,31,0.143,0.467,0,0.038,0,0.325,0.511,427300,1958,457
813,2012,5135,0.506,0.494,30.1,0.227,0.432,0.003,0.03,0,0.256,0.448,279200,1867,674
813,2013,5382,0.481,0.519,29.6,0.224,0.471,0.002,0.034,0,0.222,0.397,272900,2109,702
813,2014,5568,0.518,0.482,31.8,0.234,0.421,0.002,0.016,0,0.273,0.447,258300,2080,522
813,2015,5428,0.478,0.522,33,0.188,0.416,0.002,0.025,0,0.298,0.428,256900,2210,507
813,2016,5300,0.475,0.525,35.7,0.209,0.397,0.003,0.024,0,0.273,0.418,290800,2098,509
813,2017,5573,0.491,0.509,35.3,0.162,0.454,0,0.025,0,0.288,0.437,286900,2068,507
813,2018,5326,0.501,0.499,35.9,0.176,0.46,0,0.036,0,0.265,0.398,,1915,473
813,2019,4885,0.431,0.569,45.3,0.226,0.44,0,0.023,0,0.22,0.443,484100,2250,536
813,2020,2320,0.386,0.614,45.2,0.31,0.298,0,0,0,0.306,0.621,,,318
813,2021,2794,0.539,0.461,40.4,0.147,0.299,0,0,0,0.249,0.527,,,895
814,2010,2943,0.561,0.439,30.9,0.283,0.565,0,0.052,0,0.054,0.126,419900,2231,1159
814,2011,2778,0.535,0.465,32.1,0.283,0.608,0,0.042,0,0.027,0.116,390800,2500,1306
