tract,year,neighborhood,total_population,male,female,median_age,race_white,race_black,race_ai_alaskan,race_asian,race_hawaiian,race_other,race_hispanic,median_value,median_monthly_mort,median_monthly_rent,median_income,mean_income,housed_population,owner_occupied,owner_occupied_pre-2000,renter_occupied,renter_occupied_pre-2000,percent_owners,percent_renters,percent_owners_pre-2000,percent_renters_pre-2000,owners_renters_ratio,renters_owners_pre-2000_ratio,BFBL,BL,BLSL,SBL,SLM,SLMTC,SUP,total_built_all_lanes,cumulative_length
1001,2010,Dorchester,5617.0,0.481,0.519,23.9,0.063,0.638,0.012,0.018,0.0,0.252,0.301,280400.0,2680.0,525.0,26007.0,41877.0,5575.0,1665.0,529.0,3910.0,755.0,0.298654709,0.701345291,0.317717718,0.135294118,0.425831202,0.700662252,0.0,2493.8158438755,0.0,0.0,563.1927063402001,0.0,0.0,3057.0085502157,3167.0469286917
1001,2011,Dorchester,5657.0,0.48,0.52,24.5,0.109,0.619,0.014,0.003,0.0,0.245,0.365,276900.0,2823.0,474.0,22375.0,37171.0,5607.0,1480.0,524.0,4127.0,677.0,0.26395577,0.73604423,0.354054054,0.126968742,0.358614005,0.774002954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3167.0469286917
1001,2012,Dorchester,6189.0,0.451,0.549,25.2,0.074,0.701,0.004,0.015,0.0,0.186,0.287,268000.0,2561.0,510.0,27840.0,42515.0,6132.0,1697.0,677.0,4435.0,537.0,0.276744945,0.723255055,0.398939305,0.15264938,0.382638106,1.260707635,0.0,851.7796681812999,0.0,0.0,684.141817164,0.0,0.0,1535.9214853453,4702.968414037
1001,2013,Dorchester,6295.0,0.433,0.567,27.3,0.112,0.727,0.001,0.011,0.0,0.119,0.266,261700.0,2155.0,538.0,24886.0,40835.0,6232.0,1561.0,543.0,4671.0,439.0,0.250481386,0.749518614,0.34785394,0.116249197,0.334189681,1.23690205,0.0,36.4506283632,0.0,0.0,0.0,0.0,0.0,36.4506283632,4739.4190424002
1001,2014,Dorchester,6371.0,0.455,0.545,31.2,0.131,0.75,0.001,0.018,0.0,0.076,0.259,279300.0,1908.0,538.0,28671.0,43711.0,6297.0,1661.0,481.0,4636.0,508.0,0.263776401,0.736223599,0.289584588,0.103753236,0.358283003,0.946850394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4739.4190424002
1001,2015,Dorchester,6146.0,0.436,0.564,32.9,0.169,0.75,0.001,0.018,0.0,0.034,0.267,274700.0,1978.0,686.0,25504.0,44568.0,6059.0,1539.0,550.0,4520.0,579.0,0.254002311,0.745997689,0.357374919,0.121681416,0.340486726,0.949913644,0.0,0.0,0.0,0.0,485.6087148854,0.0,0.0,485.6087148854,5225.0277572856
1001,2016,Dorchester,6072.0,0.413,0.587,33.3,0.146,0.772,0.0,0.007,0.0,0.033,0.274,290100.0,1867.0,666.0,28279.0,43782.0,5983.0,1576.0,568.0,4407.0,622.0,0.263413004,0.736586996,0.360406091,0.128885863,0.357612889,0.91318328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5225.0277572856
1001,2017,Dorchester,6742.0,0.412,0.588,30.7,0.147,0.787,0.002,0.007,0.0,0.013,0.236,326300.0,2124.0,924.0,27750.0,46834.0,6653.0,2203.0,564.0,4450.0,493.0,0.331128814,0.668871186,0.256014526,0.126741573,0.49505618,1.144016227,0.0,485.6495295978,0.0,0.0,0.0,0.0,0.0,485.6495295978,5710.6772868834
1001,2018,Dorchester,7140.0,0.41,0.59,30.6,0.123,0.779,0.002,0.006,0.0,0.031,0.266,366700.0,2216.0,947.0,29483.0,52459.0,7050.0,2442.0,621.0,4608.0,632.0,0.346382979,0.653617021,0.254299754,0.134765625,0.529947917,0.982594937,0.0,0.0,0.0,0.0,0.0,441.1499959985,51.3845317647,51.3845317647,5762.0618186481
1001,2019,Dorchester,7013.0,0.415,0.585,29.8,0.102,0.789,0.003,0.013,0.0,0.04,0.253,319100.0,1906.0,1134.0,28659.0,48088.0,6926.0,2427.0,994.0,4499.0,640.0,0.350418712,0.649581288,0.409559126,0.220937986,0.539453212,1.553125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5762.0618186481
1001,2020,Dorchester,7024.0,0.428,0.572,28.9,0.055,0.811,0.002,0.005,0.0,0.062,0.209,310300.0,1661.0,1320.0,31071.0,53702.0,6934.0,2067.0,829.0,4867.0,677.0,0.298096337,0.701903663,0.401064344,0.170330799,0.424696939,1.224519941,0.0,0.0,0.0,1908.1898505689,0.0,310.0080966719,0.0,1908.1898505689,7670.251669217
1001,2021,Dorchester,7328.0,0.454,0.546,29.6,0.033,0.785,0.002,0.0,0.0,0.077,0.2,350800.0,1952.0,1558.0,36471.0,62289.0,7230.0,2065.0,771.0,5165.0,451.0,0.285615491,0.714384509,0.373365617,0.149273959,0.399806389,1.709534368,0.0,0.0,0.0,0.0,0.0,711.256283144,0.0,0.0,7670.251669217
1002,2010,Dorchester,2997.0,0.409,0.591,32.7,0.061,0.865,0.003,0.0,0.0,0.06,0.185,301400.0,1869.0,1157.0,46122.0,57927.0,2893.0,1407.0,849.0,1486.0,177.0,0.486346353,0.513653647,0.603411514,0.571332436,0.946837147,4.796610169,0.0,1402.2364189296,0.0,0.0,86.7155925689,0.0,0.0,1488.9520114985,1488.9520114985
1002,2011,Dorchester,2616.0,0.392,0.608,32.3,0.065,0.85,0.003,0.0,0.0,0.068,0.197,311600.0,1818.0,1226.0,41898.0,55689.0,2597.0,1009.0,584.0,1588.0,176.0,0.388525221,0.611474779,0.578790882,0.367758186,0.635390428,3.318181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1488.9520114985
1002,2012,Dorchester,2680.0,0.419,0.581,32.4,0.032,0.902,0.004,0.015,0.0,0.028,0.1,317400.0,2023.0,1187.0,50859.0,60753.0,2664.0,1153.0,558.0,1511.0,169.0,0.432807808,0.567192192,0.4839549,0.36929186,0.763070814,3.301775148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1002,2013,Dorchester,2681.0,0.462,0.538,32.5,0.052,0.806,0.0,0.012,0.0,0.064,0.126,278400.0,1844.0,1339.0,45000.0,55205.0,2668.0,1168.0,655.0,1500.0,225.0,0.437781109,0.562218891,0.560787671,0.436666667,0.778666667,2.911111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1002,2014,Dorchester,2953.0,0.462,0.538,31.8,0.051,0.831,0.0,0.019,0.0,0.047,0.114,273800.0,2010.0,1366.0,36762.0,51740.0,2941.0,1197.0,698.0,1744.0,256.0,0.40700442,0.59299558,0.583124478,0.400229358,0.686353211,2.7265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1002,2015,Dorchester,3005.0,0.462,0.538,30.0,0.049,0.822,0.0,0.019,0.0,0.058,0.125,254800.0,1746.0,1292.0,36543.0,57293.0,2996.0,1197.0,609.0,1799.0,297.0,0.39953271,0.60046729,0.50877193,0.338521401,0.66536965,2.050505051,0.0,0.0,0.0,0.0,758.8903774967,0.0,0.0,758.8903774967,2247.8423889952
1002,2016,Dorchester,2919.0,0.458,0.542,31.1,0.052,0.816,0.0,0.03,0.0,0.043,0.134,265600.0,1733.0,1365.0,37203.0,55632.0,2909.0,1064.0,581.0,1845.0,274.0,0.36576143,0.63423857,0.546052632,0.314905149,0.576693767,2.120437956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2247.8423889952
1002,2017,Dorchester,3173.0,0.47,0.53,29.3,0.089,0.808,0.0,0.022,0.0,0.022,0.137,275300.0,1940.0,1467.0,39217.0,61163.0,3159.0,1169.0,574.0,1990.0,268.0,0.370053814,0.629946186,0.491017964,0.288442211,0.587437186,2.141791045,38.4383029346,1351.5514469297,0.0,0.0,0.0,0.0,0.0,1389.9897498643,3637.8321388595
1002,2018,Dorchester,3440.0,0.464,0.536,30.9,0.143,0.814,0.0,0.02,0.0,0.019,0.197,312300.0,1957.0,1528.0,44750.0,67812.0,3419.0,1199.0,549.0,2220.0,215.0,0.350687335,0.649312665,0.457881568,0.247297297,0.54009009,2.553488372,0.0,0.0,0.0,0.0,0.0,244.1679003926,0.0,0.0,3637.8321388595
1002,2019,Dorchester,3328.0,0.46,0.54,31.6,0.108,0.835,0.0,0.011,0.0,0.023,0.163,357300.0,1998.0,1728.0,53269.0,70768.0,3296.0,1166.0,543.0,2130.0,167.0,0.353762136,0.646237864,0.465694683,0.254929577,0.54741784,3.251497006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3637.8321388595
1002,2020,Dorchester,3783.0,0.498,0.502,33.9,0.105,0.859,0.0,0.009,0.0,0.005,0.124,464700.0,2326.0,1740.0,61221.0,72743.0,3742.0,1832.0,981.0,1910.0,100.0,0.489577766,0.510422234,0.535480349,0.513612565,0.959162304,9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1002,2021,Dorchester,3799.0,0.497,0.503,33.1,0.101,0.81,0.0,0.008,0.0,0.012,0.142,466400.0,2462.0,1745.0,58958.0,69201.0,3748.0,1670.0,986.0,2078.0,168.0,0.445570971,0.554429029,0.590419162,0.474494706,0.803657363,5.869047619,0.0,0.0,0.0,0.0,0.0,711.256283144,0.0,0.0,3637.8321388595
1003,2010,Dorchester,3555.0,0.491,0.509,36.7,0.086,0.83,0.0,0.0,0.0,0.051,0.164,281300.0,1859.0,1147.0,44071.0,51511.0,3555.0,1394.0,1069.0,2161.0,567.0,0.392123769,0.607876231,0.766857963,0.49467839,0.645071726,1.885361552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003,2011,Dorchester,3505.0,0.504,0.496,35.3,0.065,0.86,0.0,0.0,0.0,0.044,0.148,245300.0,2000.0,1191.0,45685.0,55226.0,3488.0,1364.0,716.0,2124.0,434.0,0.391055046,0.608944954,0.524926686,0.337099812,0.642184557,1.649769585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003,2012,Dorchester,3606.0,0.514,0.486,34.1,0.102,0.825,0.0,0.001,0.0,0.04,0.164,244100.0,2021.0,1280.0,43750.0,55288.0,3582.0,1490.0,654.0,2092.0,370.0,0.415968733,0.584031267,0.438926174,0.312619503,0.712237094,1.767567568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003,2013,Dorchester,3201.0,0.496,0.504,35.4,0.114,0.843,0.0,0.002,0.0,0.022,0.14,267200.0,2156.0,1203.0,48464.0,56754.0,3173.0,1603.0,561.0,1570.0,209.0,0.505200126,0.494799874,0.349968808,0.357324841,1.021019108,2.684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
