,tract,year,BFBL,BL,BLSL,SBL,SLM,SUP,total_built_all_lanes,cumulative_length,SLMTC
0,1101.03,2013,1493.940416458,0.0,0.0,0.0,0.0,0.0,1493.940416458,1493.940416458,
1,1203.01,2011,0.0,0.0,0.0,0.0,44.8755998849,0.0,44.8755998849,44.8755998849,
2,708,2009,0.0,148.4339789133,0.0,0.0,0.0,0.0,148.4339789133,148.4339789133,
3,709,2011,0.0,262.8655983768,0.0,0.0,72.021192558,0.0,334.8867909348,334.8867909348,
4,711.01,2011,0.0,228.2440949988,0.0,0.0,0.0,0.0,228.2440949988,228.2440949988,
5,711.01,2012,0.0,0.0,0.0,0.0,119.5477700017,0.0,119.5477700017,347.7918650005,
6,711.01,2020,0.0,0.0,0.0,209.871677789,0.0,0.0,209.871677789,557.6635427895,
7,801,2012,0.0,0.0,0.0,0.0,495.9484535964,0.0,495.9484535964,495.9484535964,
8,801,2020,0.0,0.0,0.0,351.36231499928,0.0,0.0,351.36231499928,847.31076859568,
9,803,2011,0.0,236.3310526207,73.5061292873,0.0,225.9166158526,0.0,535.7537977606,535.7537977606,
10,804.01,2008,0.0,0.0,0.0,0.0,17.649550569040002,0.0,17.649550569040002,17.649550569040002,
11,804.01,2011,0.0,0.0,73.5061292873,0.0,1320.3813139156,0.0,1393.8874432029,1411.53699377194,
12,804.01,2012,0.0,0.0,0.0,0.0,300.26790710390003,0.0,300.26790710390003,1711.8049008758398,
13,805,2011,0.0,0.0,0.0,0.0,610.2424305485,0.0,610.2424305485,610.2424305485,
14,806.01,2009,0.0,102.064603023,0.0,0.0,0.0,0.0,102.064603023,102.064603023,
15,806.01,2010,0.0,0.0,0.0,0.0,115.33110835000001,0.0,115.33110835000001,217.395711373,
16,806.01,2011,0.0,0.0,0.0,0.0,490.5639213612,0.0,490.5639213612,707.9596327342,
17,806.01,2016,0.0,0.0,0.0,0.0,205.672671047,0.0,205.672671047,913.6323037812001,
18,806.01,2018,0.0,0.0,0.0,487.81199152534,0.0,0.0,487.81199152534,1401.44429530654,
19,806.01,2021,0.0,0.0,0.0,237.5040355308,0.0,0.0,237.5040355308,1638.94833083734,
20,813,2011,0.0,0.0,0.0,0.0,906.2187594936,0.0,906.2187594936,906.2187594936,
21,813,2016,0.0,0.0,0.0,0.0,499.3458527726,0.0,499.3458527726,1405.5646122662001,
22,813,2021,0.0,0.0,0.0,45.1834178292,0.0,0.0,45.1834178292,1450.7480300954,
23,814,2016,0.0,0.0,0.0,0.0,424.4577019485,0.0,424.4577019485,424.4577019485,
24,815,2011,0.0,0.0,0.0,0.0,1000.9964265671,0.0,1000.9964265671,1000.9964265671,
25,815,2016,0.0,0.0,0.0,0.0,1007.9153959586,0.0,1007.9153959586,2008.9118225257,
26,817,2010,0.0,1160.9305055234,0.0,0.0,0.0,0.0,1160.9305055234,1160.9305055234,
27,817,2011,0.0,2791.6023958743,571.7739130144,0.0,674.928297662,0.0,4038.3046065506996,5199.2351120741,
28,817,2016,0.0,0.0,0.0,0.0,996.5865400678999,0.0,996.5865400678999,6195.821652142,
29,817,2021,0.0,0.0,0.0,279.42079873129995,0.0,0.0,279.42079873129995,6475.242450873299,
30,818,2010,0.0,13.1009054965,0.0,0.0,0.0,0.0,13.1009054965,13.1009054965,
31,818,2011,0.0,962.4169682859,13.6066879289,0.0,144.491302874,0.0,1120.5149590888,1133.6158645853,
32,819,2010,0.0,718.6639148809,0.0,0.0,0.0,0.0,718.6639148809,718.6639148809,
33,819,2011,0.0,55.249082026500005,0.0,0.0,1382.3867675967,0.0,1437.6358496232,2156.2997645041,
34,819,2016,836.0135618308,0.0,0.0,0.0,0.0,474.345599287,1310.3591611177999,3466.6589256219,
35,819,2021,0.0,0.0,0.0,45.1834178292,0.0,0.0,45.1834178292,3511.8423434511,
36,820,2010,0.0,0.0,0.0,0.0,675.6957142717,0.0,675.6957142717,675.6957142717,
37,820,2011,0.0,0.0,0.0,0.0,150.3110374653,0.0,150.3110374653,826.0067517370001,
38,820,2012,0.0,0.0,0.0,0.0,37.135400694299996,0.0,37.135400694299996,863.1421524313,
39,821,2010,0.0,343.3280459706,0.0,0.0,128.561461524,0.0,471.8895074946,471.8895074946,
40,821,2012,0.0,0.0,0.0,0.0,128.0291631398,0.0,128.0291631398,599.9186706344001,
41,821,2016,765.9718529639999,538.9060796035001,0.0,0.0,228.283216667,505.6930869302,2038.8542361647,2638.7729067991004,
42,901,2010,0.0,618.5072003835,0.0,0.0,0.0,0.0,618.5072003835,618.5072003835,
43,901,2012,0.0,0.0,0.0,0.0,44.8830415921,0.0,44.8830415921,663.3902419756,
44,902,2012,0.0,0.0,0.0,0.0,272.782881446,0.0,272.782881446,272.782881446,
45,924,2008,0.0,0.0,0.0,0.0,74.5710202316,0.0,74.5710202316,74.5710202316,
46,9803,0,0.0,0.0,0.0,0.0,0.0,468.471142563,468.471142563,468.471142563,
47,9803,2008,0.0,0.0,0.0,0.0,74.5710202316,0.0,74.5710202316,543.0421627946,
48,9803,2009,0.0,2140.3734557816,0.0,0.0,0.0,0.0,2140.3734557816,2683.4156185762004,
