tract,year,total_population,male,female,median_age,race_white,race_black,race_ai_alaskan,race_asian,race_hawaiian,race_other,race_hispanic,median_value,median_monthly_mort,median_monthly_rent
708.0,2010,3436,0.511,0.489,34.3,0.626,0.249,0.004,0.047,0.0,0.0579999999999999,0.106,632600.0,3500.0,973.0
709.0,2010,3057,0.467,0.5329999999999999,36.0,0.546,0.247,0.003,0.062,0.0,0.096,0.212,501600.0,2390.0,540.0
801.0,2010,2724,0.6679999999999999,0.332,35.0,0.216,0.5479999999999999,0.019,0.03,0.0,0.155,0.158,394400.0,2475.0,820.0
803.0,2010,1739,0.368,0.632,24.8,0.074,0.79,0.0,0.0,0.0,0.077,0.207,379200.0,1858.0,618.0
805.0,2010,2744,0.4379999999999999,0.562,28.3,0.266,0.535,0.004,0.0,0.0,0.171,0.425,165100.0,1401.0,472.0
806.01,2010,2349,0.495,0.505,22.3,0.4479999999999999,0.32,0.0,0.1169999999999999,0.0,0.1009999999999999,0.312,149600.0,1048.0,599.0
813.0,2010,5230,0.514,0.486,30.3,0.1669999999999999,0.479,0.0,0.059,0.0,0.261,0.467,413800.0,2118.0,409.0
814.0,2010,2943,0.561,0.439,30.9,0.283,0.565,0.0,0.052,0.0,0.054,0.126,419900.0,2231.0,1159.0
815.0,2010,2091,0.4479999999999999,0.552,33.0,0.134,0.7490000000000001,0.0,0.0,0.0,0.064,0.14,275000.0,1443.0,1064.0
817.0,2010,3446,0.473,0.527,33.8,0.047,0.7929999999999999,0.0,0.025,0.0,0.105,0.131,363700.0,2018.0,726.0
818.0,2010,2793,0.412,0.588,32.5,0.09,0.6940000000000001,0.015,0.023,0.0,0.119,0.238,331200.0,2228.0,1095.0
819.0,2010,2357,0.423,0.5770000000000001,35.1,0.07,0.823,0.0,0.0,0.0,0.102,0.214,325500.0,2082.0,883.0
820.0,2010,2542,0.449,0.551,37.9,0.0289999999999999,0.879,0.0,0.0,0.0,0.08,0.1669999999999999,423200.0,2884.0,866.0
821.0,2010,4822,0.446,0.5539999999999999,28.0,0.095,0.706,0.002,0.0,0.003,0.148,0.318,475500.0,2278.0,447.0
901.0,2010,4658,0.446,0.5539999999999999,32.5,0.047,0.748,0.004,0.021,0.0,0.145,0.22,395200.0,2275.0,923.0
902.0,2010,2075,0.442,0.5579999999999999,25.5,0.0,0.659,0.0,0.0,0.0,0.341,0.347,427900.0,3333.0,481.0
903.0,2010,2525,0.491,0.509,25.6,0.087,0.639,0.009,0.0,0.0,0.26,0.322,569600.0,2133.0,770.0
904.0,2010,3529,0.455,0.545,27.7,0.035,0.631,0.0,0.021,0.0,0.283,0.313,343500.0,1688.0,691.0
906.0,2010,1805,0.361,0.639,30.7,0.077,0.607,0.0,0.001,0.0,0.28,0.212,363300.0,1586.0,1217.0
907.0,2010,4157,0.527,0.473,33.9,0.6829999999999999,0.045,0.0,0.1939999999999999,0.0,0.067,0.093,344400.0,2080.0,1240.0
909.01,2010,4026,0.51,0.49,24.3,0.332,0.317,0.008,0.192,0.0,0.118,0.249,,,1350.0
910.01,2010,2479,0.4679999999999999,0.532,38.1,0.7559999999999999,0.075,0.0,0.149,0.0,0.019,0.017,376000.0,2084.0,1115.0
911.0,2010,4344,0.481,0.519,33.2,0.532,0.122,0.0,0.272,0.0139999999999999,0.0409999999999999,0.019,373700.0,2160.0,1226.0
912.0,2010,2888,0.532,0.4679999999999999,29.1,0.406,0.211,0.0,0.07,0.0,0.275,0.1369999999999999,343800.0,2209.0,1081.0
913.0,2010,1741,0.441,0.5589999999999999,31.4,0.0819999999999999,0.373,0.026,0.079,0.0,0.435,0.218,444400.0,2652.0,1215.0
914.0,2010,2171,0.4039999999999999,0.596,37.9,0.14,0.601,0.006,0.047,0.0,0.188,0.236,259500.0,1733.0,915.0
915.0,2010,4851,0.502,0.498,32.2,0.124,0.425,0.0,0.067,0.0,0.362,0.243,373300.0,2196.0,989.0
916.0,2010,3363,0.494,0.506,27.9,0.139,0.401,0.0,0.3,0.0,0.127,0.172,368200.0,2143.0,1099.0
917.0,2010,3248,0.41,0.59,26.4,0.096,0.425,0.0,0.009,0.0,0.3939999999999999,0.272,338200.0,2042.0,1326.0
918.0,2010,2929,0.447,0.5529999999999999,28.7,0.102,0.565,0.0289999999999999,0.004,0.0,0.255,0.286,372500.0,1976.0,1267.0
919.0,2010,3577,0.457,0.5429999999999999,24.9,0.086,0.743,0.0,0.0,0.0,0.139,0.221,367400.0,2316.0,1187.0
920.0,2010,5174,0.4539999999999999,0.546,31.8,0.063,0.6459999999999999,0.005,0.124,0.001,0.139,0.188,367900.0,2712.0,1157.0
921.01,2010,5884,0.4589999999999999,0.541,35.0,0.353,0.193,0.0,0.342,0.0,0.0969999999999999,0.0819999999999999,357900.0,2137.0,1170.0
922.0,2010,2932,0.613,0.387,38.4,0.349,0.332,0.016,0.055,0.0,0.226,0.272,466200.0,2551.0,1319.0
923.0,2010,2662,0.535,0.465,34.1,0.005,0.855,0.0,0.004,0.0,0.134,0.1169999999999999,380400.0,3160.0,1169.0
924.0,2010,5995,0.477,0.523,24.5,0.106,0.655,0.013,0.02,0.0,0.196,0.327,384500.0,2609.0,834.0
1001.0,2010,5617,0.481,0.519,23.9,0.063,0.638,0.012,0.018,0.0,0.252,0.301,280400.0,2680.0,525.0
1002.0,2010,2997,0.409,0.591,32.7,0.061,0.865,0.003,0.0,0.0,0.06,0.185,301400.0,1869.0,1157.0
1003.0,2010,3555,0.491,0.509,36.7,0.086,0.83,0.0,0.0,0.0,0.051,0.1639999999999999,281300.0,1859.0,1147.0
1004.0,2010,4866,0.424,0.5760000000000001,35.0,0.136,0.753,0.0,0.071,0.0,0.036,0.102,340900.0,2423.0,1347.0
1005.0,2010,4803,0.4679999999999999,0.532,34.2,0.136,0.67,0.0069999999999999,0.066,0.0,0.088,0.153,436500.0,2276.0,1097.0
1006.01,2010,4653,0.501,0.499,35.4,0.4679999999999999,0.276,0.008,0.183,0.0,0.023,0.033,326500.0,2209.0,1186.0
1006.03,2010,1971,0.411,0.589,45.4,0.698,0.129,0.0,0.093,0.0,0.016,0.024,297200.0,1910.0,957.0
1007.0,2010,4212,0.466,0.534,35.5,0.952,0.025,0.0,0.0,0.0,0.017,0.021,392300.0,2308.0,1115.0
1008.0,2010,5602,0.46,0.54,38.7,0.5710000000000001,0.295,0.0,0.075,0.0,0.0409999999999999,0.094,347600.0,2209.0,1205.0
708.0,2011,3544,0.5720000000000001,0.428,32.8,0.648,0.198,0.004,0.095,0.0,0.053,0.084,655300.0,3663.0,1144.0
709.0,2011,3226,0.485,0.515,34.4,0.614,0.16,0.001,0.077,0.0,0.103,0.2319999999999999,583600.0,2391.0,946.0
801.0,2011,3147,0.6459999999999999,0.354,32.6,0.226,0.532,0.016,0.062,0.0,0.133,0.173,290600.0,2602.0,866.0
803.0,2011,1732,0.349,0.6509999999999999,27.2,0.113,0.7190000000000001,0.0,0.0,0.0,0.135,0.305,350800.0,1669.0,489.0
805.0,2011,3067,0.469,0.531,23.8,0.161,0.574,0.002,0.0139999999999999,0.0,0.211,0.373,413500.0,2125.0,445.0
806.01,2011,2897,0.472,0.528,21.5,0.48,0.311,0.0,0.127,0.0,0.062,0.251,143900.0,1000.0,691.0
813.0,2011,5129,0.4579999999999999,0.542,31.0,0.143,0.467,0.0,0.038,0.0,0.325,0.511,427300.0,1958.0,457.0
814.0,2011,2778,0.535,0.465,32.1,0.283,0.608,0.0,0.042,0.0,0.027,0.1159999999999999,390800.0,2500.0,1306.0
815.0,2011,2027,0.434,0.5660000000000001,34.3,0.157,0.6809999999999999,0.0,0.024,0.0,0.066,0.187,291300.0,1484.0,897.0
817.0,2011,3709,0.492,0.508,27.8,0.05,0.711,0.005,0.043,0.0,0.119,0.181,347300.0,2194.0,699.0
818.0,2011,2802,0.397,0.603,33.1,0.088,0.705,0.008,0.0,0.0,0.138,0.257,317300.0,2289.0,1047.0
819.0,2011,2512,0.4529999999999999,0.547,35.2,0.074,0.838,0.0,0.0,0.0,0.087,0.2,245600.0,2185.0,955.0
820.0,2011,2702,0.462,0.5379999999999999,35.6,0.071,0.78,0.0,0.003,0.0,0.135,0.2019999999999999,381700.0,2868.0,892.0
821.0,2011,5120,0.442,0.5579999999999999,27.2,0.084,0.7170000000000001,0.004,0.0,0.0,0.176,0.307,434700.0,2531.0,456.0
901.0,2011,4948,0.44,0.56,33.3,0.051,0.7490000000000001,0.003,0.02,0.0,0.154,0.184,393100.0,2390.0,934.0
902.0,2011,2422,0.439,0.561,25.3,0.019,0.5920000000000001,0.0,0.039,0.01,0.337,0.3429999999999999,359100.0,1721.0,575.0
903.0,2011,2578,0.49,0.51,27.1,0.104,0.6409999999999999,0.059,0.0,0.0,0.191,0.273,419000.0,1971.0,535.0
904.0,2011,3561,0.4539999999999999,0.546,27.4,0.076,0.655,0.0,0.024,0.0,0.203,0.319,310600.0,1453.0,927.0
906.0,2011,1821,0.379,0.621,30.7,0.079,0.657,0.0,0.0,0.0,0.214,0.161,346900.0,1757.0,1249.0
907.0,2011,4010,0.53,0.47,35.7,0.598,0.096,0.0,0.1989999999999999,0.0,0.094,0.086,342800.0,2154.0,1222.0
909.01,2011,3946,0.491,0.509,23.9,0.344,0.265,0.004,0.237,0.0,0.111,0.254,,,1368.0
910.01,2011,2674,0.512,0.488,37.4,0.635,0.071,0.0,0.249,0.0,0.04,0.026,335600.0,1905.0,1121.0
911.0,2011,4643,0.46,0.54,32.8,0.561,0.069,0.0,0.244,0.012,0.093,0.066,343200.0,2189.0,1194.0
912.0,2011,2957,0.5670000000000001,0.433,30.6,0.471,0.215,0.0,0.051,0.0,0.209,0.146,403400.0,2286.0,1106.0
913.0,2011,1887,0.523,0.477,31.2,0.115,0.368,0.011,0.081,0.0,0.3939999999999999,0.1639999999999999,295900.0,1704.0,1155.0
914.0,2011,2093,0.449,0.551,35.6,0.193,0.5589999999999999,0.002,0.034,0.0,0.196,0.3229999999999999,295800.0,1966.0,759.0
915.0,2011,4859,0.469,0.531,30.9,0.11,0.431,0.004,0.053,0.0,0.375,0.201,361100.0,1981.0,1063.0
916.0,2011,3589,0.498,0.502,28.1,0.157,0.42,0.0,0.268,0.0,0.138,0.139,320700.0,2153.0,1117.0
917.0,2011,3225,0.456,0.544,27.7,0.086,0.442,0.0,0.009,0.0,0.4379999999999999,0.309,317300.0,2125.0,1290.0
918.0,2011,3322,0.419,0.581,28.8,0.1009999999999999,0.586,0.019,0.004,0.0,0.252,0.211,284200.0,1968.0,1215.0
919.0,2011,3887,0.4479999999999999,0.552,31.8,0.074,0.7190000000000001,0.003,0.0,0.0,0.162,0.214,359600.0,2535.0,1358.0
920.0,2011,5353,0.457,0.5429999999999999,28.8,0.092,0.685,0.002,0.062,0.001,0.1369999999999999,0.237,342100.0,2809.0,1233.0
921.01,2011,6992,0.477,0.523,34.0,0.3379999999999999,0.155,0.0,0.38,0.0,0.084,0.047,346200.0,2142.0,1211.0
922.0,2011,2870,0.5489999999999999,0.451,38.9,0.262,0.469,0.016,0.068,0.0,0.172,0.195,465500.0,2561.0,1184.0
923.0,2011,2974,0.514,0.486,31.7,0.021,0.8190000000000001,0.0139999999999999,0.003,0.0,0.131,0.145,366400.0,3009.0,1123.0
924.0,2011,5653,0.473,0.527,29.1,0.115,0.667,0.013,0.017,0.0,0.172,0.319,357400.0,2487.0,943.0
1001.0,2011,5657,0.48,0.52,24.5,0.109,0.619,0.0139999999999999,0.003,0.0,0.245,0.365,276900.0,2823.0,474.0
1002.0,2011,2616,0.392,0.608,32.3,0.065,0.85,0.003,0.0,0.0,0.068,0.1969999999999999,311600.0,1818.0,1226.0
1003.0,2011,3505,0.504,0.496,35.3,0.065,0.86,0.0,0.0,0.0,0.044,0.148,245300.0,2000.0,1191.0
1004.0,2011,4617,0.423,0.5770000000000001,36.3,0.161,0.742,0.0,0.075,0.0,0.011,0.091,333100.0,2377.0,1311.0
1005.0,2011,5229,0.4539999999999999,0.546,34.3,0.131,0.67,0.0069999999999999,0.087,0.0,0.061,0.168,425700.0,2301.0,1144.0
1006.01,2011,5004,0.513,0.487,35.2,0.374,0.336,0.002,0.196,0.0,0.023,0.055,321800.0,2181.0,1275.0
1006.03,2011,1852,0.4579999999999999,0.542,41.8,0.757,0.139,0.003,0.0559999999999999,0.0,0.017,0.0289999999999999,286200.0,2088.0,1020.0
1007.0,2011,4359,0.4679999999999999,0.532,34.6,0.955,0.025,0.0,0.0,0.0,0.013,0.019,365800.0,2335.0,986.0
1008.0,2011,6254,0.4589999999999999,0.541,37.8,0.5529999999999999,0.335,0.0,0.076,0.0,0.017,0.08,343100.0,2390.0,1159.0
708.0,2012,3764,0.597,0.4029999999999999,32.1,0.649,0.1969999999999999,0.005,0.087,0.0,0.057,0.12,573400.0,3014.0,1077.0
709.0,2012,2979,0.507,0.493,35.9,0.613,0.182,0.0,0.089,0.0,0.069,0.171,629700.0,2471.0,1255.0
801.0,2012,2999,0.6829999999999999,0.317,33.0,0.206,0.5329999999999999,0.018,0.0409999999999999,0.0,0.1639999999999999,0.2239999999999999,246600.0,2175.0,877.0
803.0,2012,1685,0.362,0.638,27.8,0.166,0.632,0.0,0.0,0.0,0.1689999999999999,0.359,357100.0,1684.0,444.0
805.0,2012,2629,0.461,0.539,33.1,0.171,0.4629999999999999,0.0,0.021,0.0,0.296,0.423,550000.0,,524.0
806.01,2012,3365,0.4529999999999999,0.547,20.9,0.5329999999999999,0.245,0.0,0.124,0.0,0.072,0.193,161100.0,1311.0,901.0
813.0,2012,5135,0.506,0.494,30.1,0.2269999999999999,0.432,0.003,0.03,0.0,0.256,0.4479999999999999,279200.0,1867.0,674.0
814.0,2012,2707,0.539,0.461,27.8,0.366,0.5529999999999999,0.0,0.027,0.0,0.022,0.102,374800.0,2356.0,1319.0
