tract,year,median_value,median_monthly_mort,median_monthly_rent
1101.03,2010,294100.0,2102.0,1066.0
1201.04,2010,318700.0,1718.0,1346.0
1202.01,2010,342000.0,2189.0,1363.0
1101.03,2011,311500.0,2150.0,1019.0
1201.04,2011,338400.0,2015.0,1355.0
1202.01,2011,349500.0,2317.0,1403.0
1101.03,2012,337300.0,2093.0,1179.0
1201.04,2012,350400.0,2066.0,1370.0
1202.01,2012,353700.0,2340.0,1366.0
1101.03,2013,343900.0,2061.0,1252.0
1201.04,2013,365600.0,2134.0,1366.0
1202.01,2013,333200.0,2269.0,1305.0
1101.03,2014,336700.0,2107.0,1190.0
1201.04,2014,392100.0,1827.0,1459.0
1202.01,2014,342000.0,2237.0,1235.0
1101.03,2015,335200.0,1997.0,1262.0
1201.04,2015,379800.0,2056.0,1523.0
1202.01,2015,347100.0,2147.0,896.0
1101.03,2016,382000.0,2179.0,1385.0
1201.04,2016,390300.0,2211.0,1683.0
1202.01,2016,363400.0,1984.0,1046.0
1101.03,2017,443500.0,2345.0,1368.0
1201.04,2017,408700.0,2607.0,1780.0
1202.01,2017,383600.0,1958.0,1044.0
1101.03,2018,486000.0,2593.0,1461.0
1201.04,2018,456300.0,2429.0,1783.0
1202.01,2018,440400.0,2097.0,1347.0
1101.03,2019,574100.0,2806.0,1665.0
1201.04,2019,503300.0,2783.0,1850.0
1202.01,2019,473500.0,2151.0,1666.0
1101.05,2020,550600.0,2540.0,2304.0
1201.04,2020,583900.0,2505.0,1832.0
1202.01,2020,504300.0,2201.0,1813.0
1101.05,2021,556000.0,2260.0,2181.0
1201.04,2021,587900.0,2345.0,2114.0
1202.01,2021,580700.0,2340.0,1934.0
