tract,year,male,female,race_white,race_black,race_ai_alaskan,race_asian,race_hawaiian,race_other,race_hispanic
708.0,2010,0.511,0.489,0.626,0.249,0.004,0.047,0.0,0.057999999999999996,0.106
709.0,2010,0.467,0.5329999999999999,0.546,0.247,0.003,0.062,0.0,0.096,0.212
801.0,2010,0.6679999999999999,0.332,0.21600000000000003,0.5479999999999999,0.019,0.03,0.0,0.155,0.158
803.0,2010,0.368,0.632,0.07400000000000001,0.79,0.0,0.0,0.0,0.077,0.207
805.0,2010,0.43799999999999994,0.562,0.266,0.535,0.004,0.0,0.0,0.171,0.425
806.01,2010,0.495,0.505,0.44799999999999995,0.32,0.0,0.11699999999999999,0.0,0.10099999999999999,0.312
813.0,2010,0.514,0.486,0.16699999999999998,0.479,0.0,0.059000000000000004,0.0,0.261,0.467
814.0,2010,0.561,0.439,0.28300000000000003,0.565,0.0,0.052000000000000005,0.0,0.054000000000000006,0.126
815.0,2010,0.44799999999999995,0.552,0.134,0.7490000000000001,0.0,0.0,0.0,0.064,0.14
817.0,2010,0.473,0.527,0.047,0.7929999999999999,0.0,0.025,0.0,0.105,0.131
818.0,2010,0.41200000000000003,0.588,0.09,0.6940000000000001,0.015,0.023,0.0,0.11900000000000001,0.23800000000000002
819.0,2010,0.423,0.5770000000000001,0.07,0.823,0.0,0.0,0.0,0.102,0.214
820.0,2010,0.449,0.551,0.028999999999999998,0.879,0.0,0.0,0.0,0.08,0.16699999999999998
821.0,2010,0.446,0.5539999999999999,0.095,0.706,0.002,0.0,0.003,0.14800000000000002,0.318
901.0,2010,0.446,0.5539999999999999,0.047,0.748,0.004,0.021,0.0,0.145,0.22
902.0,2010,0.442,0.5579999999999999,0.0,0.659,0.0,0.0,0.0,0.341,0.34700000000000003
903.0,2010,0.491,0.509,0.087,0.639,0.009000000000000001,0.0,0.0,0.26,0.322
904.0,2010,0.455,0.545,0.035,0.631,0.0,0.021,0.0,0.28300000000000003,0.313
906.0,2010,0.361,0.639,0.077,0.607,0.0,0.001,0.0,0.28,0.212
907.0,2010,0.527,0.473,0.6829999999999999,0.045,0.0,0.19399999999999998,0.0,0.067,0.09300000000000001
909.01,2010,0.51,0.49,0.332,0.317,0.008,0.192,0.0,0.11800000000000001,0.249
910.01,2010,0.46799999999999997,0.532,0.7559999999999999,0.075,0.0,0.149,0.0,0.019,0.017
911.0,2010,0.48100000000000004,0.519,0.532,0.122,0.0,0.272,0.013999999999999999,0.040999999999999995,0.019
912.0,2010,0.532,0.46799999999999997,0.406,0.21100000000000002,0.0,0.07,0.0,0.275,0.13699999999999998
913.0,2010,0.441,0.5589999999999999,0.08199999999999999,0.373,0.026000000000000002,0.079,0.0,0.435,0.218
914.0,2010,0.40399999999999997,0.596,0.14,0.601,0.006,0.047,0.0,0.188,0.23600000000000002
915.0,2010,0.502,0.498,0.124,0.425,0.0,0.067,0.0,0.36200000000000004,0.243
916.0,2010,0.494,0.506,0.139,0.401,0.0,0.3,0.0,0.127,0.172
917.0,2010,0.41,0.59,0.096,0.425,0.0,0.009000000000000001,0.0,0.39399999999999996,0.272
918.0,2010,0.447,0.5529999999999999,0.102,0.565,0.028999999999999998,0.004,0.0,0.255,0.28600000000000003
919.0,2010,0.457,0.5429999999999999,0.086,0.743,0.0,0.0,0.0,0.139,0.221
920.0,2010,0.45399999999999996,0.546,0.063,0.6459999999999999,0.005,0.124,0.001,0.139,0.188
921.01,2010,0.45899999999999996,0.541,0.353,0.193,0.0,0.342,0.0,0.09699999999999999,0.08199999999999999
