tract,year,total_population,male,female,median_age,race_white,race_black,race_ai_alaskan,race_asian,race_hawaiian,race_other,race_hispanic,median_value,median_monthly_mort,median_monthly_rent
815.0,2012,2073,984,1089,36.7,314,1354,0,62,0,166,530,278400.0,1530.0,935.0
817.0,2012,3453,1556,1897,33.1,187,2400,16,107,0,504,674,316100.0,2054.0,601.0
818.0,2012,3147,1256,1891,32.9,273,2248,26,0,0,469,830,313700.0,2068.0,1011.0
819.0,2012,2883,1361,1522,30.6,458,2229,0,0,0,194,795,262500.0,2155.0,943.0
820.0,2012,2865,1291,1574,40.0,174,2501,0,32,0,117,281,336200.0,2671.0,876.0
821.0,2012,5005,2116,2889,28.5,391,3676,0,0,0,832,1594,408200.0,2500.0,465.0
901.0,2012,4954,2336,2618,30.5,268,3848,0,96,0,561,856,365600.0,2295.0,932.0
902.0,2012,2453,1090,1363,25.6,82,1295,0,80,20,961,973,426600.0,2157.0,614.0
903.0,2012,3176,1287,1889,27.4,309,1920,180,0,0,693,978,360700.0,2145.0,682.0
904.0,2012,3665,1757,1908,27.9,399,2510,0,38,0,560,1124,215000.0,1385.0,789.0
906.0,2012,2163,970,1193,29.9,110,1432,25,0,0,535,356,339300.0,1897.0,1333.0
907.0,2012,4172,2277,1895,35.9,2559,426,0,877,0,310,327,335200.0,2129.0,1259.0
909.01,2012,3826,1999,1827,24.5,1236,917,23,988,0,508,1066,,,1500.0
910.01,2012,2811,1444,1367,36.4,1476,439,0,757,0,114,69,307600.0,1836.0,1057.0
911.0,2012,4842,2221,2621,31.8,2463,402,0,1294,0,488,316,321700.0,2154.0,1267.0
912.0,2012,2936,1580,1356,28.6,1410,577,0,178,0,579,473,389500.0,2207.0,1090.0
913.0,2012,2241,1167,1074,29.5,261,940,18,157,0,816,456,321200.0,1872.0,1152.0
914.0,2012,2197,1028,1169,36.2,409,1107,5,97,0,507,758,277900.0,1933.0,818.0
915.0,2012,4992,2250,2742,32.2,352,2246,27,328,0,1888,634,339900.0,2150.0,1242.0
916.0,2012,3807,1890,1917,28.9,636,1529,0,1144,0,443,599,312500.0,2164.0,1163.0
917.0,2012,3330,1537,1793,28.8,314,1776,4,23,0,1100,1063,300500.0,2125.0,1360.0
918.0,2012,3442,1486,1956,28.6,400,2048,69,19,0,748,786,240400.0,2354.0,1269.0
919.0,2012,4102,1912,2190,34.1,393,2951,15,1,0,653,916,295200.0,2314.0,1326.0
920.0,2012,5314,2441,2873,30.6,564,3525,21,457,0,565,1474,326300.0,2592.0,1176.0
921.01,2012,6767,3020,3747,34.6,1892,914,0,3118,0,396,521,298300.0,1968.0,1204.0
922.0,2012,2890,1592,1298,36.7,760,1419,48,208,0,394,464,451200.0,2717.0,1194.0
923.0,2012,3167,1674,1493,32.0,113,2679,47,10,0,292,371,339700.0,2750.0,1122.0
924.0,2012,5905,2844,3061,29.6,539,4235,29,42,0,989,1791,329900.0,2382.0,1043.0
1001.0,2012,6189,2789,3400,25.2,459,4338,25,92,0,1152,1775,268000.0,2561.0,510.0
1002.0,2012,2680,1124,1556,32.4,85,2418,10,39,0,76,268,317400.0,2023.0,1187.0
1003.0,2012,3606,1853,1753,34.1,368,2975,0,4,0,143,590,244100.0,2021.0,1280.0
1004.0,2012,4617,2036,2581,36.5,710,3524,0,232,0,76,444,317400.0,2401.0,1295.0
1005.0,2012,5672,2593,3079,35.0,741,3821,53,421,0,335,1185,409800.0,2281.0,1150.0
1006.01,2012,4954,2512,2442,34.1,2060,1330,9,1032,0,112,393,287500.0,2158.0,1300.0
1006.03,2012,2023,1021,1002,41.8,1326,353,7,233,0,35,40,300500.0,1973.0,1070.0
1007.0,2012,4358,2084,2274,34.6,4023,163,0,87,0,39,74,366800.0,2323.0,1251.0
1008.0,2012,6601,2903,3698,37.2,2975,2618,0,774,0,58,425,302800.0,2188.0,1206.0
708.0,2013,3986,2423,1563,31.5,2698,616,17,417,0,224,519,560500.0,3050.0,1011.0
709.0,2013,3339,1693,1646,32.4,1973,562,0,346,0,245,713,563600.0,2511.0,1504.0
801.0,2013,3014,2016,998,34.6,571,1661,35,106,0,497,525,240200.0,1935.0,977.0
803.0,2013,1850,798,1052,30.1,325,1031,0,1,0,438,658,325300.0,1576.0,738.0
805.0,2013,3168,1354,1814,25.7,633,1196,0,46,0,1117,1931,290000.0,,487.0
806.01,2013,3756,1851,1905,20.7,1882,955,0,509,0,332,660,162500.0,1253.0,712.0
813.0,2013,5382,2589,2793,29.6,1205,2537,9,181,0,1197,2138,272900.0,2109.0,702.0
814.0,2013,2940,1670,1270,27.5,980,1527,0,164,0,185,367,376000.0,2202.0,1326.0
815.0,2013,2126,1077,1049,34.8,337,1396,0,75,0,179,508,272100.0,1605.0,994.0
817.0,2013,3277,1375,1902,36.7,118,2384,12,116,0,377,532,336400.0,2173.0,640.0
818.0,2013,3233,1265,1968,34.1,232,2411,16,0,0,487,915,313900.0,1982.0,889.0
819.0,2013,3212,1367,1845,30.6,444,2370,0,0,0,384,999,282500.0,2056.0,941.0
820.0,2013,2837,1302,1535,40.7,176,2482,0,34,0,97,301,295100.0,2537.0,801.0
821.0,2013,4924,2257,2667,27.4,408,3269,0,82,0,1064,1735,323300.0,2539.0,399.0
901.0,2013,5005,2401,2604,30.3,352,3663,0,98,0,751,1076,353600.0,2160.0,976.0
902.0,2013,2235,1063,1172,29.5,96,1212,0,117,19,758,807,300000.0,1966.0,799.0
903.0,2013,3368,1258,2110,27.6,285,1866,222,0,0,871,1145,316200.0,1909.0,641.0
904.0,2013,3569,1652,1917,27.2,609,2302,0,24,0,482,1139,216500.0,1398.0,1053.0
906.0,2013,2053,847,1206,31.5,130,1381,28,0,0,418,292,335300.0,1939.0,1226.0
907.0,2013,4708,2737,1971,33.3,2533,456,21,969,0,710,672,346000.0,2079.0,1256.0
909.01,2013,3906,1995,1911,24.5,1364,764,29,961,0,634,1082,,,1567.0
910.01,2013,2970,1540,1430,33.8,1701,394,0,684,0,131,68,325300.0,1902.0,1207.0
911.0,2013,5547,2628,2919,31.4,3021,306,0,1621,0,413,319,299400.0,2153.0,1276.0
912.0,2013,3088,1582,1506,30.0,1309,753,37,56,0,657,588,420000.0,2262.0,1095.0
913.0,2013,2525,1224,1301,29.4,332,1021,0,183,0,905,535,292400.0,1729.0,1140.0
914.0,2013,2357,1205,1152,36.3,389,1059,5,53,0,788,697,251300.0,1831.0,804.0
915.0,2013,4779,2217,2562,31.1,353,1976,45,383,0,1788,687,283500.0,2364.0,1238.0
916.0,2013,3358,1651,1707,30.8,525,1642,0,688,0,435,532,346800.0,1994.0,1181.0
917.0,2013,3424,1620,1804,28.9,379,1846,6,83,0,1046,1158,325300.0,2117.0,1321.0
918.0,2013,3537,1586,1951,28.9,560,1752,71,20,0,969,960,248200.0,2542.0,1267.0
