tract,year,median_value,median_monthly_mort,median_monthly_rent
708.0,2010,632600.0,3500.0,973.0
709.0,2010,501600.0,2390.0,540.0
801.0,2010,394400.0,2475.0,820.0
803.0,2010,379200.0,1858.0,618.0
805.0,2010,165100.0,1401.0,472.0
806.01,2010,149600.0,1048.0,599.0
813.0,2010,413800.0,2118.0,409.0
814.0,2010,419900.0,2231.0,1159.0
815.0,2010,275000.0,1443.0,1064.0
817.0,2010,363700.0,2018.0,726.0
818.0,2010,331200.0,2228.0,1095.0
819.0,2010,325500.0,2082.0,883.0
820.0,2010,423200.0,2884.0,866.0
821.0,2010,475500.0,2278.0,447.0
901.0,2010,395200.0,2275.0,923.0
902.0,2010,427900.0,3333.0,481.0
903.0,2010,569600.0,2133.0,770.0
904.0,2010,343500.0,1688.0,691.0
906.0,2010,363300.0,1586.0,1217.0
907.0,2010,344400.0,2080.0,1240.0
909.01,2010,,,1350.0
910.01,2010,376000.0,2084.0,1115.0
911.0,2010,373700.0,2160.0,1226.0
912.0,2010,343800.0,2209.0,1081.0
913.0,2010,444400.0,2652.0,1215.0
914.0,2010,259500.0,1733.0,915.0
915.0,2010,373300.0,2196.0,989.0
916.0,2010,368200.0,2143.0,1099.0
917.0,2010,338200.0,2042.0,1326.0
918.0,2010,372500.0,1976.0,1267.0
919.0,2010,367400.0,2316.0,1187.0
920.0,2010,367900.0,2712.0,1157.0
921.01,2010,357900.0,2137.0,1170.0
922.0,2010,466200.0,2551.0,1319.0
923.0,2010,380400.0,3160.0,1169.0
924.0,2010,384500.0,2609.0,834.0
1001.0,2010,280400.0,2680.0,525.0
1002.0,2010,301400.0,1869.0,1157.0
1003.0,2010,281300.0,1859.0,1147.0
1004.0,2010,340900.0,2423.0,1347.0
1005.0,2010,436500.0,2276.0,1097.0
1006.01,2010,326500.0,2209.0,1186.0
1006.03,2010,297200.0,1910.0,957.0
1007.0,2010,392300.0,2308.0,1115.0
1008.0,2010,347600.0,2209.0,1205.0
