tract,year,total_population,male,female,median_age,race_white,race_black,race_ai_alaskan,race_asian,race_hawaiian,race_other,race_hispanic
804.01,2010,2415,0.381,0.619,29.7,0.12,0.598,0.013999999999999999,0.054000000000000006,0.0,0.16399999999999998,0.31
804.01,2011,2384,0.354,0.6459999999999999,31.1,0.133,0.534,0.015,0.055999999999999994,0.0,0.19,0.379
804.01,2012,2514,0.365,0.635,32.3,0.152,0.578,0.012,0.054000000000000006,0.0,0.157,0.33799999999999997
804.01,2013,2543,0.409,0.591,32.0,0.19399999999999998,0.542,0.009000000000000001,0.024,0.0,0.175,0.425
804.01,2014,2839,0.431,0.569,32.2,0.193,0.579,0.0,0.024,0.0,0.159,0.381
804.01,2015,2995,0.433,0.5670000000000001,32.4,0.15,0.583,0.0,0.012,0.0,0.203,0.37
804.01,2016,3129,0.47200000000000003,0.528,32.9,0.159,0.5489999999999999,0.0,0.016,0.0,0.21899999999999997,0.40399999999999997
804.01,2017,3091,0.483,0.517,32.7,0.207,0.498,0.0,0.027000000000000003,0.0,0.205,0.445
804.01,2018,3265,0.478,0.522,32.5,0.171,0.483,0.0,0.032,0.0,0.254,0.45799999999999996
804.01,2019,3040,0.534,0.466,32.4,0.196,0.48200000000000004,0.003,0.024,0.0,0.231,0.45399999999999996
804.01,2020,2914,0.49700000000000005,0.503,33.9,0.226,0.439,0.005,0.025,0.0,0.24100000000000002,0.535
804.01,2021,2773,0.452,0.5479999999999999,33.7,0.179,0.40399999999999997,0.005,0.053,0.0,0.305,0.5329999999999999
