,census_tract,Total population in occupied housing units:,Owner_occupied,Owner_occupied_Moved in 1999 or earlier,Renter_occupied,Renter_occupied_Moved in 1999 or earlier,year,percent_owners,percent_renters,percent_old_owners,percent_old_renters,renters_owners_ratio,old_renters_owners_ratio
33,1101.03,5742,2093,566,3649,395,2010,0.36450714036920934,0.6354928596307907,0.2704252269469661,0.15511098931214032,0.5735818032337626,1.4329113924050634
30,1101.03,5859,2228,738,3631,281,2011,0.38026967059225125,0.6197303294077487,0.33123877917414724,0.20324979344533187,0.6136050674745249,2.626334519572954
27,1101.03,5888,2569,918,3319,258,2012,0.43631114130434784,0.5636888586956522,0.3573374854028805,0.2765893341367882,0.7740283217836698,3.558139534883721
24,1101.03,5849,2634,1123,3215,173,2013,0.45033339032313213,0.5496666096768679,0.4263477600607441,0.34930015552099536,0.8192846034214619,6.491329479768786
21,1101.03,6218,3236,1679,2982,275,2014,0.5204245738179479,0.4795754261820521,0.5188504326328801,0.5630449362843729,1.085177733065057,6.1054545454545455
18,1101.03,6548,2911,1641,3637,260,2015,0.44456322541233967,0.5554367745876604,0.563723806252147,0.4511960406928787,0.8003849326367886,6.311538461538461
15,1101.03,6538,3248,1618,3290,341,2016,0.49678800856531047,0.5032119914346895,0.4981527093596059,0.4917933130699088,0.9872340425531915,4.744868035190616
12,1101.03,6293,3135,1374,3158,288,2017,0.4981725726998252,0.5018274273001748,0.4382775119617225,0.435085497150095,0.9927169094363522,4.770833333333333
9,1101.03,6657,3327,1728,3330,344,2018,0.4997746732762506,0.5002253267237494,0.5193868349864743,0.518918918918919,0.9990990990990991,5.023255813953488
6,1101.03,6803,3303,1638,3500,152,2019,0.48552109363516094,0.5144789063648391,0.49591280653950953,0.468,0.9437142857142857,10.776315789473685
3,1101.05,2934,1167,267,1767,106,2020,0.39775051124744376,0.6022494887525562,0.22879177377892032,0.15110356536502548,0.6604414261460102,2.518867924528302
0,1101.05,2539,955,188,1584,20,2021,0.37613233556518316,0.6238676644348169,0.1968586387434555,0.11868686868686869,0.6029040404040404,9.4
34,1201.04,1945,1058,418,887,226,2010,0.5439588688946015,0.45604113110539846,0.3950850661625709,0.47125140924464487,1.1927846674182638,1.8495575221238938
31,1201.04,1839,925,277,914,169,2011,0.5029907558455683,0.49700924415443176,0.29945945945945945,0.30306345733041573,1.012035010940919,1.6390532544378698
28,1201.04,1966,993,297,973,177,2012,0.5050864699898271,0.49491353001017296,0.2990936555891239,0.3052415210688592,1.0205549845837616,1.6779661016949152
25,1201.04,2142,919,308,1223,157,2013,0.4290382819794584,0.5709617180205415,0.33514689880304677,0.2518397383483238,0.7514309076042518,1.9617834394904459
22,1201.04,2162,850,374,1312,69,2014,0.393154486586494,0.606845513413506,0.44,0.2850609756097561,0.6478658536585366,5.420289855072464
19,1201.04,2264,918,358,1346,86,2015,0.40547703180212014,0.5945229681978799,0.3899782135076253,0.2659732540861813,0.6820208023774146,4.162790697674419
16,1201.04,2286,908,276,1378,78,2016,0.39720034995625547,0.6027996500437446,0.3039647577092511,0.20029027576197386,0.6589259796806967,3.5384615384615383
13,1201.04,2298,1018,238,1280,111,2017,0.44299390774586594,0.557006092254134,0.2337917485265226,0.1859375,0.7953125,2.144144144144144
10,1201.04,2205,976,210,1229,94,2018,0.44263038548752837,0.5573696145124717,0.2151639344262295,0.1708706265256306,0.7941415785191213,2.234042553191489
7,1201.04,2330,1130,230,1200,83,2019,0.48497854077253216,0.5150214592274678,0.20353982300884957,0.19166666666666668,0.9416666666666667,2.7710843373493974
4,1201.04,2424,1431,280,993,67,2020,0.5903465346534653,0.40965346534653463,0.19566736547868624,0.28197381671701915,1.4410876132930515,4.17910447761194
1,1201.04,2435,1276,273,1159,83,2021,0.5240246406570842,0.4759753593429158,0.2139498432601881,0.2355478861087144,1.1009490940465918,3.289156626506024
35,1202.01,3920,1072,346,2848,475,2010,0.27346938775510204,0.726530612244898,0.32276119402985076,0.12148876404494383,0.37640449438202245,0.728421052631579
32,1202.01,3635,1188,309,2447,551,2011,0.32682255845942226,0.6731774415405777,0.2601010101010101,0.12627707396812424,0.4854924397221087,0.5607985480943739
29,1202.01,3832,1121,305,2711,633,2012,0.2925365344467641,0.7074634655532359,0.272078501338091,0.11250461084470675,0.4135005533013648,0.48183254344391785
26,1202.01,3802,1261,345,2541,589,2013,0.3316675433982115,0.6683324566017885,0.2735923869944489,0.1357733175914994,0.49626131444313265,0.5857385398981324
23,1202.01,4067,1215,293,2852,651,2014,0.29874600442586674,0.7012539955741333,0.2411522633744856,0.10273492286115007,0.42601683029453014,0.4500768049155146
20,1202.01,3673,1235,309,2438,558,2015,0.3362374081132589,0.6637625918867411,0.25020242914979757,0.12674323215750616,0.5065627563576702,0.553763440860215
17,1202.01,3632,1165,288,2467,521,2016,0.3207599118942731,0.6792400881057269,0.24721030042918454,0.11674098094852046,0.472233481961897,0.5527831094049904
14,1202.01,3770,1219,302,2551,318,2017,0.323342175066313,0.676657824933687,0.24774405250205087,0.11838494707957664,0.4778518228145825,0.949685534591195
11,1202.01,3912,1366,407,2546,327,2018,0.34918200408997957,0.6508179959100204,0.2979502196193265,0.1598586017282011,0.5365278868813825,1.2446483180428134
8,1202.01,3984,1437,337,2547,217,2019,0.36069277108433734,0.6393072289156626,0.23451635351426584,0.13231252453867295,0.5641931684334511,1.5529953917050692
5,1202.01,4199,1422,264,2777,122,2020,0.3386520600142891,0.6613479399857108,0.18565400843881857,0.0950666186532229,0.5120633777457688,2.1639344262295084
2,1202.01,4248,1571,271,2677,48,2021,0.3698210922787194,0.6301789077212806,0.17250159134309356,0.10123272319760926,0.5868509525588346,5.645833333333333
